区分,男女計／実数（千人、％）,男女計／前年（千人、％）,男女計／対前年／増減数（千人、ポイント）,男女計／対前年／増減率（％）,男／実数（千人、％）,男／前年（千人、％）,男／対前年／増減数（千人、ポイント）,男／対前年／増減率（％）,女／実数（千人、％）,女／前年（千人、％）,女／対前年／増減数（千人、ポイント）,女／対前年／増減率（％）
15歳以上人口,11337,11277,60,0.5,5622,5594,28,0.5,5715,5684,31,0.5
〔就業状態〕／労働力人口,7158,7105,53,0.7,4274,4252,22,0.5,2884,2853,31,1.1
〔就業状態〕／労働力人口／就業者数,6885,6832,53,0.8,4118,4093,25,0.6,2767,2740,27,1
〔就業状態〕／労働力人口／就業者数／自営業主数,567,577,-10,-1.7,414,427,-13,-3,153,150,3,2
〔就業状態〕／労働力人口／就業者数／家族従業者数,126,143,-17,-11.9,21,27,-6,-22.2,105,117,-12,-10.3
〔就業状態〕／労働力人口／就業者数／雇用者数,6156,6067,89,1.5,3661,3616,45,1.2,2494,2451,43,1.8
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,5329,5221,108,2.1,3354,3302,52,1.6,1975,1918,57,3
〔就業状態〕／労働力人口／完全失業者数,273,273,0,0,156,159,-3,-1.9,117,114,3,2.6
〔就業状態〕／非労働力人口,4176,4163,13,0.3,1346,1337,9,0.7,2829,2826,3,0.1
〔就業者の活動状態別内訳〕／就業者数（再掲）,6885,6832,53,0.8,4118,4093,25,0.6,2767,2740,27,1
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数,6747,6697,50,0.7,4046,4028,18,0.4,2701,2669,32,1.2
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／主に仕事,5791,5723,68,1.2,3887,3859,28,0.7,1903,1864,39,2.1
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,754,763,-9,-1.2,47,53,-6,-11.3,707,710,-3,-0.4
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,202,211,-9,-4.3,111,116,-5,-4.3,91,95,-4,-4.2
〔就業者の活動状態別内訳〕／就業者数（再掲）／休業者数,138,135,3,2.2,72,64,8,12.5,66,71,-5,-7
〔就業者の主な産業別内訳〕／建設業,494,484,10,2.1,420,415,5,1.2,74,69,5,7.2
〔就業者の主な産業別内訳〕／製造業,866,875,-9,-1,633,633,0,0,233,242,-9,-3.7
