区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,11354,11307,47,0.4,5630,5609,21,0.4,5724,5698,26,0.5
〔就業状態〕／労働力人口,7175,7028,147,2.1,4264,4206,58,1.4,2912,2822,90,3.2
〔就業状態〕／労働力人口／就業者数,6907,6767,140,2.1,4118,4074,44,1.1,2789,2693,96,3.6
〔就業状態〕／労働力人口／就業者数／自営業主数,584,587,-3,-0.5,413,426,-13,-3.1,171,161,10,6.2
〔就業状態〕／労働力人口／就業者数／家族従業者数,118,124,-6,-4.8,17,24,-7,-29.2,101,100,1,1
〔就業状態〕／労働力人口／就業者数／雇用者数,6172,6018,154,2.6,3666,3598,68,1.9,2505,2420,85,3.5
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,5348,5267,81,1.5,3347,3316,31,0.9,2002,1951,51,2.6
〔就業状態〕／労働力人口／完全失業者数,268,261,7,2.7,146,132,14,10.6,123,129,-6,-4.7
〔就業状態〕／非労働力人口,4177,4271,-94,-2.2,1365,1401,-36,-2.6,2812,2869,-57,-2
〔就業者の活動状況別内訳〕／就業者数（再掲）,6907,6767,140,2.1,4118,4074,44,1.1,2789,2693,96,3.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,6785,6634,151,2.3,4055,4005,50,1.2,2730,2630,100,3.8
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,5846,5651,195,3.5,3890,3820,70,1.8,1956,1831,125,6.8
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,727,748,-21,-2.8,47,53,-6,-11.3,680,695,-15,-2.2
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,212,235,-23,-9.8,118,131,-13,-9.9,94,104,-10,-9.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,122,132,-10,-7.6,63,69,-6,-8.7,59,63,-4,-6.3
〔就業者の主な産業別内訳〕／建設業,506,464,42,9.1,434,403,31,7.7,72,61,11,18
〔就業者の主な産業別内訳〕／製造業,888,845,43,5.1,655,624,31,5,233,221,12,5.4
〔就業者の主な産業別内訳〕／情報通信業,604,537,67,12.5,427,389,38,9.8,177,148,29,19.6
〔就業者の主な産業別内訳〕／運輸業,289,328,-39,-11.9,241,287,-46,-16,48,41,7,17.1
〔就業者の主な産業別内訳〕／卸売・小売業,1175,1188,-13,-1.1,645,644,1,0.2,530,544,-14,-2.6
〔就業者の主な産業別内訳〕／金融・保険業,241,273,-32,-11.7,130,150,-20,-13.3,111,123,-12,-9.8
〔就業者の主な産業別内訳〕／不動産業,173,177,-4,-2.3,109,118,-9,-7.6,65,59,6,10.2
〔就業者の主な産業別内訳〕／飲食店，宿泊業,437,446,-9,-2,227,209,18,8.6,210,237,-27,-11.4
〔就業者の主な産業別内訳〕／医療，福祉,576,537,39,7.3,161,142,19,13.4,415,395,20,5.1
〔就業者の主な産業別内訳〕／教育，学習支援業,289,300,-11,-3.7,124,131,-7,-5.3,166,169,-3,-1.8
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,1440,1336,104,7.8,770,748,22,2.9,671,588,83,14.1
〔雇用者の主な産業別内訳〕／建設業,442,395,47,11.9,374,339,35,10.3,68,56,12,21.4
〔雇用者の主な産業別内訳〕／製造業,812,777,35,4.5,605,578,27,4.7,207,199,8,4
〔雇用者の主な産業別内訳〕／情報通信業,564,514,50,9.7,398,372,26,7,166,141,25,17.7
〔雇用者の主な産業別内訳〕／運輸業,270,302,-32,-10.6,224,262,-38,-14.5,46,40,6,15
〔雇用者の主な産業別内訳〕／卸売・小売業,1084,1089,-5,-0.5,599,590,9,1.5,485,500,-15,-3
〔雇用者の主な産業別内訳〕／金融・保険業,240,271,-31,-11.4,130,149,-19,-12.8,110,122,-12,-9.8
〔雇用者の主な産業別内訳〕／不動産業,154,154,0,0,97,105,-8,-7.6,57,49,8,16.3
〔雇用者の主な産業別内訳〕／飲食店，宿泊業,359,359,0,0,184,159,25,15.7,175,201,-26,-12.9
〔雇用者の主な産業別内訳〕／医療，福祉,533,493,40,8.1,138,115,23,20,394,378,16,4.2
〔雇用者の主な産業別内訳〕／教育，学習支援業,262,277,-15,-5.4,121,128,-7,-5.5,141,149,-8,-5.4
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,1216,1107,109,9.8,634,611,23,3.8,581,496,85,17.1
〔非農林業雇用者の従業者規模別内訳〕／総数,6166,6013,153,2.5,3661,3593,68,1.9,2504,2420,84,3.5
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1910,1817,93,5.1,1086,1054,32,3,824,762,62,8.1
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,1943,1929,14,0.7,1157,1136,21,1.8,786,793,-7,-0.9
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,1927,1870,57,3,1203,1171,32,2.7,724,699,25,3.6
〔完全失業率（年齢階級別）(%)〕／総数,3.7,3.7,0,,3.4,3.1,0.3,,4.2,4.6,-0.4,
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,5.9,4.7,1.2,,5.9,3.6,2.3,,6,6,0,
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,5,4,1,,4.5,3.6,0.9,,5.7,4.6,1.1,
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,3.2,4.2,-1,,2.6,3,-0.4,,4,6,-2,
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,2.9,2.8,0.1,,3,3.2,-0.2,,3,2.1,0.9,
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,3.3,4,-0.7,,3.6,3,0.6,,2.9,5.5,-2.6,
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,1.9,2,-0.1,,1.7,2.3,-0.6,,2.8,1.5,1.3,
〔労働力人口比率(%)〕／総数,63.2,62.2,1,,75.7,75,0.7,,50.9,49.5,1.4,
,,,,,,,,,,,,
東京の労働力統計データ（平成20年10～12月期平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
平成20年10～12月期平均,,,,,,,,,,,,
注1)15歳以上人口及び就業者数には、不詳を含む。,,,,,,,,,,,,
注2)非農林業雇用者の従業者規模別内訳の総数には、官公・従業者規模不詳を含むため、規模別内訳を積み上げても、総数と一致しない。,,,,,,,,,,,,
