年・期,西暦(年),四半期,男女計／１５歳以上人口（千人）,男女計／１５歳以上人口／労働力人口（千人）,男女計／１５歳以上人口／労働力人口／就業者数（千人）,男女計／１５歳以上人口／労働力人口／完全失業者数（千人）,男女計／１５歳以上人口／非労働力人口（千人）,男女計／労働力人口比率（％、ポイント）,男女計／完全失業率（％、ポイント）,男／１５歳以上人口（千人）,男／１５歳以上人口／労働力人口（千人）,男／１５歳以上人口／労働力人口／就業者数（千人）,男／１５歳以上人口／労働力人口／完全失業者数（千人）,男／１５歳以上人口／非労働力人口（千人）,男／労働力人口比率（％、ポイント）,男／完全失業率（％、ポイント）,女／１５歳以上人口（千人）,女／１５歳以上人口／労働力人口（千人）,女／１５歳以上人口／労働力人口／就業者数（千人）,女／１５歳以上人口／労働力人口／完全失業者数（千人）,女／１５歳以上人口／非労働力人口（千人）,女／労働力人口比率（％、ポイント）,女／完全失業率（％、ポイント）
実数／平成９年平均,1997,,10311,6646,6371,275,3646,64.5,4.1,5133,4037,3879,158,1085,78.6,3.9,5178,2609,2492,118,2561,50.4,4.5
実数／平成10年平均,1998,,10356,6650,6322,328,3691,64.2,4.9,5142,4029,3827,201,1104,78.4,5,5214,2621,2494,127,2587,50.3,4.8
実数／平成11年平均,1999,,10356,6587,6227,360,3750,63.6,5.5,5120,3989,3765,224,1120,77.9,5.6,5236,2598,2463,136,2630,49.6,5.2
実数／平成12年平均,2000,,10380,6524,6196,328,3842,62.9,5,5113,3945,3749,196,1159,77.2,5,5267,2579,2447,132,2683,49,5.1
実数／平成13年平均,2001,,10426,6511,6175,336,3905,62.4,5.2,5119,3924,3717,207,1191,76.7,5.3,5306,2588,2458,129,2714,48.8,5
実数／平成14年平均,2002,,10725,6702,6330,372,4013,62.5,5.6,5317,4054,3827,227,1257,76.2,5.6,5408,2648,2503,145,2755,49,5.5
実数／平成15年平均,2003,,10814,6724,6385,339,4082,62.2,5,5358,4059,3860,199,1295,75.8,4.9,5457,2665,2525,140,2787,48.8,5.3
実数／平成16年平均,2004,,10875,6714,6379,335,4151,61.7,5,5382,4022,3820,202,1355,74.7,5,5493,2692,2559,133,2797,49,4.9
実数／平成17年平均,2005,,10946,6772,6453,320,4162,61.9,4.7,5412,4031,3840,191,1375,74.5,4.7,5534,2741,2613,129,2787,49.5,4.7
実数／平成18年平均,2006,,11026,6844,6557,286,4175,62.1,4.2,5449,4054,3879,175,1392,74.4,4.3,5577,2790,2678,112,2783,50,4
実数／平成19年平均,2007,,11277,7105,6832,273,4163,63,3.8,5594,4252,4093,159,1337,76,3.7,5684,2853,2740,114,2826,50.2,4
実数／平成９年１～３月平均,1997,01～03,10276,6561,6303,258,3697,63.8,3.9,5117,3999,3859,140,1107,78.2,3.5,5159,2562,2445,117,2589,49.7,4.6
実数／平成９年４～６月平均,1997,04～06,10321,6758,6455,303,3543,65.5,4.5,5136,4080,3914,167,1043,79.4,4.1,5185,2677,2541,136,2500,51.6,5.1
実数／平成９年７～９月平均,1997,07～09,10317,6649,6360,289,3653,64.4,4.3,5137,4058,3877,182,1070,79,4.5,5180,2591,2483,108,2583,50,4.2
実数／平成９年10～12月平均,1997,10～12,10330,6616,6365,251,3692,64,3.8,5141,4009,3867,142,1122,78,3.5,5189,2607,2498,109,2570,50.2,4.2
