年・期,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業（千人）,卸売・小売業（千人）,金融・保険業（千人）,不動産業（千人）,飲食店，宿泊業（千人）,医療，福祉（千人）,教育，学習支援業（千人）,※サービス業（千人）
実数／男女計／平成14年平均,2002,,489,915,390,333,1166,218,151,445,401,287,1145
実数／男女計／平成15年平均,2003,,480,849,463,337,1153,216,149,437,454,281,1151
実数／男女計／平成16年平均,2004,,491,809,459,289,1183,241,132,412,464,290,1189
実数／男女計／平成17年平均,2005,,469,837,457,299,1143,228,159,429,522,292,1223
実数／男女計／平成18年平均,2006,,460,836,481,345,1155,220,175,434,515,293,1267
実数／男女計／平成19年平均,2007,,484,875,531,337,1226,245,192,447,515,291,1304
実数／男女計／平成14年１～３月平均,2002,01～03,504,947,375,333,1134,213,143,437,417,309,1192
実数／男女計／平成14年４～６月平均,2002,04～06,488,983,375,316,1183,225,140,461,418,226,1105
実数／男女計／平成14年７～９月平均,2002,07～09,471,858,411,328,1173,227,162,439,400,291,1132
実数／男女計／平成14年10～12月平均,2002,10～12,494,872,399,357,1175,208,160,444,371,322,1150
実数／男女計／平成15年１～３月平均,2003,01～03,502,898,423,338,1034,188,172,428,430,302,1134
実数／男女計／平成15年４～６月平均,2003,04～06,503,877,539,309,1177,220,132,427,436,253,1156
実数／男女計／平成15年７～９月平均,2003,07～09,460,786,490,337,1263,215,147,411,477,291,1167
実数／男女計／平成15年10～12月平均,2003,10～12,457,837,402,366,1138,240,147,482,473,279,1145
実数／男女計／平成16年１～３月平均,2004,01～03,502,852,473,286,1113,239,152,413,433,269,1124
実数／男女計／平成16年４～６月平均,2004,04～06,512,799,494,258,1200,219,130,419,434,313,1206
実数／男女計／平成16年７～９月平均,2004,07～09,485,797,460,307,1226,223,132,399,475,274,1243
実数／男女計／平成16年10～12月平均,2004,10～12,465,790,408,307,1192,283,115,417,514,304,1184
実数／男女計／平成17年１～３月平均,2005,01～03,474,791,474,284,1148,214,148,440,485,282,1203
実数／男女計／平成17年４～６月平均,2005,04～06,464,878,446,265,1117,214,150,412,538,297,1236
実数／男女計／平成17年７～９月平均,2005,07～09,476,866,463,328,1111,224,179,426,539,286,1224
実数／男女計／平成17年10～12月平均,2005,10～12,463,813,443,320,1196,259,161,437,528,303,1229
実数／男女計／平成18年１～３月平均,2006,01～03,461,850,471,348,1159,208,187,400,458,310,1210
実数／男女計／平成18年４～６月平均,2006,04～06,490,895,501,342,1138,207,171,441,539,313,1281
実数／男女計／平成18年７～９月平均,2006,07～09,454,827,516,350,1151,232,184,459,549,294,1278
実数／男女計／平成18年10～12月平均,2006,10～12,436,771,435,340,1171,235,159,435,514,256,1298
実数／男女計／平成19年１～３月平均,2007,01～03,472,911,533,375,1202,217,208,404,490,272,1225
実数／男女計／平成19年４～６月平均,2007,04～06,527,924,517,333,1203,221,202,436,505,282,1295
実数／男女計／平成19年７～９月平均,2007,07～09,471,819,538,312,1311,269,180,500,528,311,1359
実数／男女計／平成19年10～12月平均,2007,10～12,464,845,537,328,1188,273,177,446,537,300,1336
実数／男女計／平成20年１～３月平均,2008,01～03,511,900,555,354,1230,282,205,455,480,292,1245
実数／男女計／平成20年４～６月平均,2008,04～06,475,843,488,299,1316,291,184,445,505,329,1291
実数／男女計／平成20年７～９月平均,2008,07～09,483,834,554,318,1204,286,180,440,580,323,1330
実数／男女計／平成20年10～12月平均,2008,10～12,506,888,604,289,1175,241,173,437,576,289,1440
実数／男／平成14年平均,2002,,413,643,277,283,631,102,87,214,109,142,647
実数／男／平成15年平均,2003,,402,601,346,280,620,118,85,206,121,133,650
実数／男／平成16年平均,2004,,404,578,337,240,634,122,80,190,118,140,674
実数／男／平成17年平均,2005,,403,592,328,247,601,119,100,209,131,134,697
実数／男／平成18年平均,2006,,391,584,355,288,595,122,110,205,128,133,708
実数／男／平成19年平均,2007,,415,633,391,281,651,136,117,211,142,139,720
実数／男／平成14年１～３月平均,2002,01～03,425,663,269,280,592,109,82,219,126,151,691
実数／男／平成14年４～６月平均,2002,04～06,405,693,248,269,652,111,83,219,111,110,618
実数／男／平成14年７～９月平均,2002,07～09,403,615,306,287,652,96,94,210,102,148,644
