区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,11342,11273,69,0.6,5623,5591,32,0.6,5719,5683,36,0.6
〔就業状態〕／労働力人口,7160,7160,0,0,4284,4296,-12,-0.3,2876,2864,12,0.4
〔就業状態〕／労働力人口／就業者数,6878,6889,-11,-0.2,4121,4144,-23,-0.6,2757,2745,12,0.4
〔就業状態〕／労働力人口／就業者数／自営業主数,543,577,-34,-5.9,424,437,-13,-3,118,140,-22,-15.7
〔就業状態〕／労働力人口／就業者数／家族従業者数,116,161,-45,-28,18,31,-13,-41.9,97,130,-33,-25.4
〔就業状態〕／労働力人口／就業者数／雇用者数,6173,6090,83,1.4,3651,3646,5,0.1,2522,2445,77,3.1
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,5306,5191,115,2.2,3330,3310,20,0.6,1977,1881,96,5.1
〔就業状態〕／労働力人口／完全失業者数,282,271,11,4.1,163,153,10,6.5,119,119,0,0
〔就業状態〕／非労働力人口,4180,4102,78,1.9,1338,1288,50,3.9,2842,2814,28,1
〔就業者の活動状況別内訳〕／就業者数（再掲）,6878,6889,-11,-0.2,4121,4144,-23,-0.6,2757,2745,12,0.4
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,6751,6764,-13,-0.2,4050,4084,-34,-0.8,2702,2680,22,0.8
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,5806,5785,21,0.4,3880,3899,-19,-0.5,1926,1886,40,2.1
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,734,760,-26,-3.4,49,61,-12,-19.7,686,699,-13,-1.9
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,211,219,-8,-3.7,120,124,-4,-3.2,90,95,-5,-5.3
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,126,125,1,0.8,71,60,11,18.3,55,65,-10,-15.4
〔就業者の主な産業別内訳〕／建設業,475,527,-52,-9.9,402,454,-52,-11.5,74,73,1,1.4
〔就業者の主な産業別内訳〕／製造業,843,924,-81,-8.8,617,677,-60,-8.9,226,247,-21,-8.5
〔就業者の主な産業別内訳〕／情報通信業,488,517,-29,-5.6,368,386,-18,-4.7,121,131,-10,-7.6
〔就業者の主な産業別内訳〕／運輸業,299,333,-34,-10.2,248,276,-28,-10.1,51,57,-6,-10.5
〔就業者の主な産業別内訳〕／卸売・小売業,1316,1203,113,9.4,696,654,42,6.4,620,549,71,12.9
〔就業者の主な産業別内訳〕／金融・保険業,291,221,70,31.7,165,128,37,28.9,125,93,32,34.4
〔就業者の主な産業別内訳〕／不動産業,184,202,-18,-8.9,115,112,3,2.7,70,91,-21,-23.1
〔就業者の主な産業別内訳〕／飲食店，宿泊業,445,436,9,2.1,218,202,16,7.9,227,234,-7,-3
〔就業者の主な産業別内訳〕／医療，福祉,505,505,0,0,119,137,-18,-13.1,387,368,19,5.2
〔就業者の主な産業別内訳〕／教育，学習支援業,329,282,47,16.7,156,140,16,11.4,173,141,32,22.7
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,1291,1295,-4,-0.3,752,686,66,9.6,540,610,-70,-11.5
〔雇用者の主な産業別内訳〕／建設業,401,439,-38,-8.7,335,375,-40,-10.7,66,63,3,4.8
〔雇用者の主な産業別内訳〕／製造業,801,857,-56,-6.5,593,637,-44,-6.9,209,220,-11,-5
〔雇用者の主な産業別内訳〕／情報通信業,472,501,-29,-5.8,355,375,-20,-5.3,117,126,-9,-7.1
〔雇用者の主な産業別内訳〕／運輸業,263,294,-31,-10.5,211,238,-27,-11.3,51,56,-5,-8.9
〔雇用者の主な産業別内訳〕／卸売・小売業,1221,1102,119,10.8,641,595,46,7.7,580,507,73,14.4
〔雇用者の主な産業別内訳〕／金融・保険業,290,218,72,33,165,127,38,29.9,125,92,33,35.9
〔雇用者の主な産業別内訳〕／不動産業,155,164,-9,-5.5,97,92,5,5.4,58,73,-15,-20.5
〔雇用者の主な産業別内訳〕／飲食店，宿泊業,362,331,31,9.4,168,151,17,11.3,194,180,14,7.8
〔雇用者の主な産業別内訳〕／医療，福祉,476,467,9,1.9,100,113,-13,-11.5,377,354,23,6.5
〔雇用者の主な産業別内訳〕／教育，学習支援業,302,259,43,16.6,148,134,14,10.4,155,125,30,24
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,1090,1096,-6,-0.5,614,558,56,10,476,538,-62,-11.5
〔非農林業雇用者の従業者規模別内訳〕／総数,6167,6083,84,1.4,3646,3640,6,0.2,2520,2443,77,3.2
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1859,1949,-90,-4.6,1064,1134,-70,-6.2,795,815,-20,-2.5
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,1991,1950,41,2.1,1157,1148,9,0.8,834,802,32,4
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,1856,1721,135,7.8,1159,1081,78,7.2,696,640,56,8.8
〔完全失業率（年齢階級別）(%)〕／総数,3.9,3.8,0.1,,3.8,3.6,0.2,,4.1,4.2,-0.1,
