区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,11352,11295,57,0.5,5630,5603,27,0.5,5722,5692,30,0.5
〔就業状態〕／労働力人口,7187,7196,-9,-0.1,4288,4257,31,0.7,2898,2939,-41,-1.4
〔就業状態〕／労働力人口／就業者数,6905,6951,-46,-0.7,4127,4100,27,0.7,2778,2851,-73,-2.6
〔就業状態〕／労働力人口／就業者数／自営業主数,580,592,-12,-2,407,419,-12,-2.9,173,173,0,0
〔就業状態〕／労働力人口／就業者数／家族従業者数,129,146,-17,-11.6,25,28,-3,-10.7,104,117,-13,-11.1
〔就業状態〕／労働力人口／就業者数／雇用者数,6165,6185,-20,-0.3,3678,3640,38,1,2487,2545,-58,-2.3
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,5361,5369,-8,-0.1,3364,3325,39,1.2,1997,2043,-46,-2.3
〔就業状態〕／労働力人口／完全失業者数,281,245,36,14.7,161,157,4,2.5,120,88,32,36.4
〔就業状態〕／非労働力人口,4160,4087,73,1.8,1338,1339,-1,-0.1,2821,2747,74,2.7
〔就業者の活動状況別内訳〕／就業者数（再掲）,6905,6951,-46,-0.7,4127,4100,27,0.7,2778,2851,-73,-2.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,6752,6788,-36,-0.5,4049,4024,25,0.6,2703,2764,-61,-2.2
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,5767,5815,-48,-0.8,3885,3859,26,0.7,1882,1956,-74,-3.8
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,789,779,10,1.3,50,58,-8,-13.8,740,720,20,2.8
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,196,195,1,0.5,114,106,8,7.5,81,89,-8,-9
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,153,162,-9,-5.6,78,76,2,2.6,74,87,-13,-14.9
〔就業者の主な産業別内訳〕／建設業,483,471,12,2.5,416,409,7,1.7,67,62,5,8.1
〔就業者の主な産業別内訳〕／製造業,834,819,15,1.8,615,593,22,3.7,218,226,-8,-3.5
〔就業者の主な産業別内訳〕／情報通信業,554,538,16,3,415,373,42,11.3,139,164,-25,-15.2
〔就業者の主な産業別内訳〕／運輸業,318,312,6,1.9,270,251,19,7.6,48,61,-13,-21.3
