男女・年,西暦(年),建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業（千人）,卸売・小売業（千人）,金融・保険業（千人）,不動産業（千人）,飲食店，宿泊業（千人）,医療，福祉（千人）,教育，学習支援業（千人）,※サービス業（千人）,その他(左記以外のもの)（千人）
実数／男女計／平成14年平均,2002,489,915,390,333,1166,218,151,445,401,287,1145,388
実数／男女計／平成15年平均,2003,480,849,463,337,1153,216,149,437,454,281,1151,414
実数／男女計／平成16年平均,2004,491,809,459,289,1183,241,132,412,464,290,1189,420
実数／男女計／平成17年平均,2005,469,837,457,299,1143,228,159,429,522,292,1223,396
実数／男女計／平成18年平均,2006,460,836,481,345,1155,220,175,434,515,293,1267,375
実数／男女計／平成19年平均,2007,484,875,531,337,1226,245,192,447,515,291,1304,386
実数／男女計／平成20年平均,2008,494,866,550,315,1231,275,186,444,536,308,1327,328
実数／男／平成14年平均,2002,413,643,277,283,631,102,87,214,109,142,647,279
実数／男／平成15年平均,2003,402,601,346,280,620,118,85,206,121,133,650,298
実数／男／平成16年平均,2004,404,578,337,240,634,122,80,190,118,140,674,304
実数／男／平成17年平均,2005,403,592,328,247,601,119,100,209,131,134,697,278
実数／男／平成18年平均,2006,391,584,355,288,595,122,110,205,128,133,708,257
実数／男／平成19年平均,2007,415,633,391,281,651,136,117,211,142,139,720,255
実数／男／平成20年平均,2008,420,633,406,262,659,151,114,216,143,132,745,220
実数／女／平成14年平均,2002,76,272,113,50,535,117,64,231,293,145,498,110
実数／女／平成15年平均,2003,78,249,117,58,533,97,64,231,333,149,501,115
実数／女／平成16年平均,2004,88,232,121,49,548,119,52,222,346,150,515,117
実数／女／平成17年平均,2005,66,245,128,52,542,109,59,220,392,158,525,117
実数／女／平成18年平均,2006,69,251,126,57,559,99,65,229,387,161,558,117
実数／女／平成19年平均,2007,69,242,141,56,575,109,74,236,373,152,584,130
実数／女／平成20年平均,2008,74,233,145,52,572,124,72,228,393,177,582,107
対前年増減数／男女計／平成15年平均,2003,-9,-66,73,4,-13,-2,-2,-8,53,-6,6,26
対前年増減数／男女計／平成16年平均,2004,11,-40,-4,-48,30,25,-17,-25,10,9,38,6
対前年増減数／男女計／平成17年平均,2005,-22,28,-2,10,-40,-13,27,17,58,2,34,-24
対前年増減数／男女計／平成18年平均,2006,-9,-1,24,46,12,-8,16,5,-7,1,44,-21
対前年増減数／男女計／平成19年平均,2007,24,39,50,-8,71,25,17,13,0,-2,37,11
対前年増減数／男女計／平成20年平均,2008,10,-9,19,-22,5,30,-6,-3,21,17,23,-58
対前年増減数／男／平成15年平均,2003,-11,-42,69,-3,-11,16,-2,-8,12,-9,3,19
対前年増減数／男／平成16年平均,2004,2,-23,-9,-40,14,4,-5,-16,-3,7,24,6
対前年増減数／男／平成17年平均,2005,-1,14,-9,7,-33,-3,20,19,13,-6,23,-26
対前年増減数／男／平成18年平均,2006,-12,-8,27,41,-6,3,10,-4,-3,-1,11,-21
対前年増減数／男／平成19年平均,2007,24,49,36,-7,56,14,7,6,14,6,12,-2
対前年増減数／男／平成20年平均,2008,5,0,15,-19,8,15,-3,5,1,-7,25,-35
対前年増減数／女／平成15年平均,2003,2,-23,4,8,-2,-20,0,0,40,4,3,5
対前年増減数／女／平成16年平均,2004,10,-17,4,-9,15,22,-12,-9,13,1,14,2
対前年増減数／女／平成17年平均,2005,-22,13,7,3,-6,-10,7,-2,46,8,10,1
対前年増減数／女／平成18年平均,2006,3,6,-2,5,17,-10,6,9,-5,3,33,-4
対前年増減数／女／平成19年平均,2007,0,-9,15,-1,16,10,9,7,-14,-9,26,6
対前年増減数／女／平成20年平均,2008,5,-9,4,-4,-3,15,-2,-8,20,25,-2,-23
,,,,,,,,,,,,,
東京の労働力統計データ（平成20年平均）,,,,,,,,,,,,,
第４表　主な産業別就業者数,,,,,,,,,,,,,
※サービス業は、他に分類されないものを含む。,,,,,,,,,,,,,
