年,西暦(年),東京都／男女計（％、ポイント）,東京都／男（％、ポイント）,東京都／女（％、ポイント）,南関東／男女計（％、ポイント）,南関東／男（％、ポイント）,南関東／女（％、ポイント）,全国／男女計（％、ポイント）,全国／男（％、ポイント）,全国／女（％、ポイント）
実数／平成９年平均,1997,4.1,3.9,4.5,3.8,3.6,4.2,3.4,3.4,3.4
実数／平成10年平均,1998,4.9,5,4.8,4.5,4.5,4.5,4.1,4.2,4
実数／平成11年平均,1999,5.5,5.6,5.2,5.1,5.1,5.1,4.7,4.8,4.5
実数／平成12年平均,2000,5,5,5.1,4.8,4.8,4.9,4.7,4.9,4.5
実数／平成13年平均,2001,5.2,5.3,5,4.9,5.1,4.8,5,5.2,4.7
実数／平成14年平均,2002,5.6,5.6,5.5,5.4,5.5,5.2,5.4,5.5,5.1
実数／平成15年平均,2003,5,4.9,5.3,5.1,5.1,5,5.3,5.5,4.9
実数／平成16年平均,2004,5,5,4.9,4.6,4.6,4.4,4.7,4.9,4.4
実数／平成17年平均,2005,4.7,4.7,4.7,4.3,4.4,4.4,4.4,4.6,4.2
実数／平成18年平均,2006,4.2,4.3,4,4,4,3.9,4.1,4.3,3.9
実数／平成19年平均,2007,3.8,3.7,4,3.6,3.6,3.6,3.9,3.9,3.7
実数／平成20年平均,2008,3.8,3.6,4.1,3.8,3.7,3.7,4,4.1,3.8
対前年増減数／平成10年平均,1998,0.8,1.1,0.3,0.7,0.9,0.3,0.7,0.8,0.6
対前年増減数／平成11年平均,1999,0.6,0.6,0.4,0.6,0.6,0.6,0.6,0.6,0.5
対前年増減数／平成12年平均,2000,-0.5,-0.6,-0.1,-0.3,-0.3,-0.2,0,0.1,0
対前年増減数／平成13年平均,2001,0.2,0.3,-0.1,0.1,0.3,-0.1,0.3,0.3,0.2
対前年増減数／平成14年平均,2002,0.4,0.3,0.5,0.5,0.4,0.4,0.4,0.3,0.4
対前年増減数／平成15年平均,2003,-0.6,-0.7,-0.2,-0.3,-0.4,-0.2,-0.1,0,-0.2
対前年増減数／平成16年平均,2004,0,0.1,-0.4,-0.5,-0.5,-0.6,-0.6,-0.6,-0.5
対前年増減数／平成17年平均,2005,-0.3,-0.3,-0.2,-0.3,-0.2,0,-0.3,-0.3,-0.2
対前年増減数／平成18年平均,2006,-0.5,-0.4,-0.7,-0.3,-0.4,-0.5,-0.3,-0.3,-0.3
対前年増減数／平成19年平均,2007,-0.4,-0.6,0,-0.4,-0.4,-0.3,-0.2,-0.4,-0.2
対前年増減数／平成20年平均,2008,0,-0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.1
,,,,,,,,,,
東京の労働力統計データ（平成20年平均）,,,,,,,,,,
参考　東京都、南関東及び全国の完全失業率（原数値）,,,,,,,,,,
注）南関東：埼玉県、千葉県、東京都、神奈川県,,,,,,,,,,
