"年月[西暦]","調査項目","設問","選択肢","回答数[人]","構成比[%]"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。","路上や空き地にごみが散乱している","127","19.3"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。","公園のトイレ等に落書きがされている","89","13.5"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。","自転車・バイクが放置されている","161","24.5"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。","若者が集団でたむろしている","80","12.2"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。","見知らぬ人に声をかけられる","36","5.5"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。","違法に貼られたビラ・広告が多い","65","9.9"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。","客引きがいる","86","13.1"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。","暴力団事務所が近くにある","42","6.4"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。","地域の住民の連帯感が薄い","159","24.2"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。","近所付き合いがほとんどない","170","25.8"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。","その他","41","6.2"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。","特にない","155","23.6"

"第32回港区民世論調査単純集計表・生活安全Q24","Ver202003",,,,
