対象品目,区分,27年度実績,29,30,31,32,33
無色ガラス容器,都全域,58(94%),58(94%),58(94%),59(95%),59(95%),59(95%)
無色ガラス容器,23区,23(100%),23(100%),23(100%),23(100%),23(100%),23(100%)
無色ガラス容器,多摩,30(100%),30(100%),30(100%),30(100%),30(100%),30(100%)
無色ガラス容器,島しょ,5(56%),5(56%),5(56%),6(67%),6(67%),6(67%)
茶色ガラス容器,都全域,58(94%),58(94%),58(94%),59(95%),59(95%),59(95%)
茶色ガラス容器,23区,23(100%),23(100%),23(100%),23(100%),23(100%),23(100%)
茶色ガラス容器,多摩,30(100%),30(100%),30(100%),30(100%),30(100%),30(100%)
茶色ガラス容器,島しょ,5(56%),5(56%),5(56%),6(67%),6(67%),6(67%)
その他ガラス容器,都全域,58(94%),59(95%),59(95%),60(97%),60(97%),60(97%)
その他ガラス容器,23区,23(100%),23(100%),23(100%),23(100%),23(100%),23(100%)
その他ガラス容器,多摩,30(100%),30(100%),30(100%),30(100%),30(100%),30(100%)
その他ガラス容器,島しょ,5(56%),5(56%),5(56%),6(67%),6(67%),6(67%)
紙製容器包装,都全域,6(10%),13(21%),13(21%),13(21%),13(21%),13(21%)
紙製容器包装,23区,2(9%),3(13%),3(13%),3(13%),3(13%),3(13%)
紙製容器包装,多摩,3(10%),9(30%),9(30%),9(30%),9(30%),9(30%)
紙製容器包装,島しょ,1(11%),1(11%),1(11%),1(11%),1(11%),1(11%)
ペットボトル,都全域,62(100%),62(100%),62(100%),62(100%),62(100%),62(100%)
プラスチック製容器包装,都全域,53(85%),56(90%),56(90%),56(90%),56(90%),56(90%)
プラスチック製容器包装,23区,23(100%),23(100%),23(100%),23(100%),23(100%),23(100%)
プラスチック製容器包装,多摩,26(87%),29(97%),29(97%),29(97%),29(97%),29(97%)
プラスチック製容器包装,島しょ,4(44%),4(44%),4(44%),4(44%),4(44%),4(44%)
プラスチック製容器包装(うち白色トレイ),計,20(32%),27(44%),27(44%),27(44%),27(44%),27(44%)
プラスチック製容器包装(うち白色トレイ),23区,12(52%),13(57%),13(57%),13(57%),13(57%),13(57%)
プラスチック製容器包装(うち白色トレイ),多摩,8(27%),14(47%),14(47%),14(47%),14(47%),14(47%)
プラスチック製容器包装(うち白色トレイ),島しょ,0(0%),0(0%),0(0%),0(0%),0(0%),0(0%)
スチール缶,都全域,62(100%),62(100%),62(100%),62(100%),62(100%),62(100%)
アルミ缶,都全域,62(100%),62(100%),62(100%),62(100%),62(100%),62(100%)
段ボール,都全域,54(87%),55(89%),55(89%),56(90%),56(90%),56(90%)
段ボール,23区,22(96%),23(100%),23(100%),23(100%),23(100%),23(100%)
段ボール,多摩,30(100%),30(100%),30(100%),30(100%),30(100%),30(100%)
段ボール,島しょ,2(22%),2(22%),2(22%),2(22%),2(22%),2(22%)
飲料用紙パック,都全域,48(77%),51(82%),51(82%),51(82%),51(82%),51(82%)
飲料用紙パック,23区,20(87%),22(96%),22(96%),22(96%),22(96%),22(96%)
飲料用紙パック,多摩,27(90%),27(90%),27(90%),27(90%),27(90%),27(90%)
飲料用紙パック,島しょ,1(11%),2(22%),2(22%),2(22%),2(22%),2(22%)
