,無色ガラス容器,茶色ガラス容器,その他ガラス容器,紙製容器包装,ペットボトル,プラスチック製容器包装,スチール缶,アルミ缶,段ボール,飲料用紙パック
平成9年度実績（t）,31957.85,14372.27,11048.95,0,4881.15,0,25584.66,9162.06,0,486
平成10年度実績（t）,36910.21,17175.68,13808.17,0,6924.12,0,27409.56,9766.03,0,1308
平成11年度実績（t）,38697.02,19699.55,18609.1,0,9786.46,0,31924.71,11242.62,0,1277
平成12年度実績（t）,43164.27,22861.99,26941.25,2710.21,12994.63,4123,33537.52,12117.47,86260,1171
平成13年度実績（t）,43255,22281,26769,4377,15267,12458,31877,12303,94766,1205
平成14年度実績（t）,43782,22228,26870,4633,17516,18760,29468,13241,99488,1212
平成15年度実績（t）,44135,22468,27803,5197,18686,24954,26848,13224,102575,1211
平成16年度実績（t）,43757,22246,28048,583,21404,26067,25383,13110,102125,1288
平成17年度実績（t）,43220,22174,29186,678,25256,28815,24426,13272,106381,1356
平成18年度実績（t）,43781,22683,29968,748,28304,33170,23194,13218,107950,1434
平成19年度実績（t）,44872,23612,30481,714,32952,38341,23145,13308,106455,1473
平成20年度実績（t）,47877,25693,32199,715,39486,58356,24840,14397,105582,1487
平成21年度実績（t）,49126,27247,35626,699,42622,65106,26508,15238,105386,1475
平成22年度実績（t）,49288,26688,34652,1144,43203,67191,24654,15512,99355,1517
平成23年度実績（t）,49023,26582,35448,430,47295,72637,24045,14867,105307,1381
平成24年度実績（t）,48073.03,26484.74,36495.44,434.09,46890.41,72180.36,23304.72,14960.14,105830.36,1879.16
平成25年度実績（t）,47801.21,26287.77,37275.14,544.62,46208.96,71708.57,22633.08,15383.32,109798.37,1323.09
平成26年度実績（t）,47735.36,25610.366,38875.472,564.95,45614.44,70630.14,21665.78,15489.786,114897.056,1209.93
平成27年度実績（t）,48176.85,26005.51,39763.22,538.64,44340.7,73530.81,20499.67,15978.15,117135.07,1150.2
