市町村番号,市町村名,無色ガラス,茶色ガラス,その他ガラス,紙製容器包装,ペットボトル,プラスチック製容器包装,プラスチック製容器包装(内、白色トレイ以外のプラスチック),プラスチック製容器包装(内、白色トレイ),スチール,アルミ,段ボール,紙パック,実施品目数
101,千代田区,○,○,○,○,○,○,○,,○,○,○,○,10
102,中央区,○,○,○,,○,○,○,○,○,○,○,○,10
103,港区,○,○,○,,○,○,○,,○,○,○,,8
104,新宿区,○,○,○,,○,○,○,○,○,○,○,○,10
105,文京区,○,○,○,,○,○,○,○,○,○,○,○,10
106,台東区,○,○,○,,○,○,○,○,○,○,○,○,10
107,墨田区,○,○,○,,○,○,○,○,○,○,○,○,10
108,江東区,○,○,○,,○,○,○,,○,○,○,○,9
109,品川区,○,○,○,○,○,○,○,,○,○,○,○,10
110,目黒区,○,○,○,,○,○,○,,○,○,○,○,9
111,大田区,○,○,○,,○,○,○,,○,○,○,○,9
112,世田谷区,○,○,○,,○,○,○,○,○,○,○,○,10
113,渋谷区,○,○,○,,○,○,,○,○,○,○,○,9
114,中野区,○,○,○,,○,○,○,,○,○,○,○,9
115,杉並区,○,○,○,,○,○,○,,○,○,○,○,9
116,豊島区,○,○,○,○,○,○,○,○,○,○,○,○,11
117,北区,○,○,○,,○,○,,○,○,○,○,○,9
118,荒川区,○,○,○,,○,○,,○,○,○,○,○,9
119,板橋区,○,○,○,,○,○,○,○,○,○,○,○,10
120,練馬区,○,○,○,,○,○,○,,○,○,○,○,9
121,足立区,○,○,○,,○,○,,○,○,○,○,○,9
122,葛飾区,○,○,○,,○,○,○,○,○,○,○,○,10
123,江戸川区,○,○,○,,○,○,○,,○,○,○,○,9
201,八王子市,○,○,○,,○,○,○,,○,○,○,○,9
202,立川市,○,○,○,,○,○,○,,○,○,○,,8
203,武蔵野市,○,○,○,,○,○,○,○,○,○,○,○,10
204,三鷹市,○,○,○,○,○,○,○,,○,○,○,○,10
205,青梅市,○,○,○,○,○,○,○,○,○,○,○,○,11
206,府中市,○,○,○,,○,○,○,,○,○,○,○,9
207,昭島市,○,○,○,,○,○,○,○,○,○,○,○,10
208,調布市,○,○,○,○,○,○,○,,○,○,○,○,10
209,町田市,○,○,○,○,○,○,○,○,○,○,○,○,11
210,小金井市,○,○,○,,○,○,○,,○,○,○,○,9
211,小平市,○,○,○,○,○,○,○,○,○,○,○,○,11
212,日野市,○,○,○,,○,○,○,,○,○,○,○,9
213,東村山市,○,○,○,,○,○,○,,○,○,○,○,9
214,国分寺市,○,○,○,○,○,○,○,,○,○,○,○,10
215,国立市,○,○,○,,○,○,○,,○,○,○,○,9
218,福生市,○,○,○,○,○,○,○,,○,○,○,,9
219,狛江市,○,○,○,○,○,,,,○,○,○,○,9
220,東大和市,○,○,○,,○,○,○,○,○,○,○,○,10
221,清瀬市,○,○,○,○,○,○,○,○,○,○,○,○,11
222,東久留米市,○,○,○,,○,○,○,,○,○,○,○,9
223,武蔵村山市,○,○,○,,○,○,○,,○,○,○,○,9
224,多摩市,○,○,○,,○,○,○,○,○,○,○,○,10
225,稲城市,○,○,○,,○,○,,○,○,○,○,○,9
227,羽村市,○,○,○,,○,○,○,○,○,○,○,○,10
228,あきる野市,○,○,○,,○,○,,○,○,○,○,○,9
229,西東京市,○,○,○,,○,○,○,,○,○,○,,8
303,瑞穂町,○,○,○,,○,○,○,,○,○,○,○,9
305,日の出町,○,○,○,,○,○,,○,○,○,○,○,9
307,檜原村,○,○,○,,○,○,,○,○,○,○,○,9
308,奥多摩町,○,○,○,,○,○,,○,○,○,○,○,9
361,大島町,,,,,○,○,○,,○,○,,,5
362,利島村,,,○,,○,○,○,,○,○,,,6
363,新島村,,,,,○,,,,○,○,,,4
364,神津島村,○,○,○,,○,,,,○,○,,○,8
381,三宅村,○,○,○,,○,,,,○,○,,,7
382,御蔵島村,○,○,○,,○,,,,○,○,,,7
401,八丈町,,,,,○,,,,○,○,,,4
402,青ｹ島村,○,○,○,,○,○,○,,○,○,○,,8
421,小笠原村,○,○,○,○,○,○,○,,○,○,○,○,10
合計,62,58,58,59,13,62,56,47,27,62,62,55,51,
比率(％),100,94,94,95,21,100,90,76,44,100,100,89,82,
