,,,,,,,,,,,(単位：トン）
国名,,平成29年(2017年),,,0,,0,平成28年(2016年),0,0,計：増減
,,輸出入計,,,輸出,輸入,コンテナ貨物,計,輸出,輸入,
,,計,前年比,構成比,,,,,,,
総計,,"50,116,156 ",104.2%,100%,"13,508,587 ","36,607,569 ","48,151,899 ","48,102,417 ","13,368,468 ","34,733,949 ","2,013,739 "
1 ,中国,"19,437,839 ",102.8%,38.8%,"3,951,689 ","15,486,150 ","19,364,505 ","18,903,615 ","4,004,974 ","14,898,641 ","534,224 "
,(香港),"2,498,457 ",95.8%,5.0%,"593,250 ","1,905,207 ","2,493,308 ","2,608,930 ","662,253 ","1,946,677 ","-110,473 "
2 ,アメリカ,"7,207,929 ",106.2%,14.4%,"2,850,198 ","4,357,731 ","6,980,232 ","6,786,180 ","2,850,643 ","3,935,537 ","421,749 "
3 ,タイ,"3,216,869 ",103.4%,6.4%,"880,140 ","2,336,729 ","3,216,869 ","3,111,818 ","835,777 ","2,276,041 ","105,051 "
4 ,ベトナム,"2,799,974 ",100.4%,5.6%,"894,474 ","1,905,500 ","2,524,005 ","2,788,724 ","1,062,522 ","1,726,202 ","11,250 "
5 ,韓国,"2,131,629 ",106.7%,4.3%,"692,901 ","1,438,728 ","1,910,551 ","1,998,641 ","557,087 ","1,441,554 ","132,988 "
6 ,台湾,"1,880,221 ",109.8%,3.8%,"719,029 ","1,161,192 ","1,866,168 ","1,712,022 ","639,904 ","1,072,118 ","168,199 "
7 ,カナダ,"1,649,663 ",103.5%,3.3%,"175,699 ","1,473,964 ","1,335,610 ","1,594,099 ","203,898 ","1,390,201 ","55,564 "
8 ,フィリピン,"1,558,663 ",107.8%,3.1%,"228,519 ","1,330,144 ","1,016,378 ","1,445,657 ","229,007 ","1,216,650 ","113,006 "
9 ,シンガポール,"1,390,140 ",120.6%,2.8%,"243,241 ","1,146,899 ","1,390,140 ","1,152,806 ","206,651 ","946,155 ","237,334 "
10 ,マレーシア,"1,378,417 ",90.1%,2.8%,"380,116 ","998,301 ","1,370,162 ","1,529,629 ","491,684 ","1,037,945 ","-151,212 "
11 ,インドネシア,"1,196,718 ",102.7%,2.4%,"349,981 ","846,737 ","1,195,966 ","1,165,705 ","343,859 ","821,846 ","31,013 "
12 ,オランダ,"1,047,941 ",106.9%,2.1%,"517,032 ","530,909 ","1,047,941 ","980,182 ","484,911 ","495,271 ","67,759 "
13 ,ドイツ,"794,864 ",111.9%,1.6%,"215,383 ","579,481 ","794,864 ","710,251 ","194,020 ","516,231 ","84,613 "
14 ,チリ,"489,606 ",105.1%,1.0%,"3,921 ","485,685 ","489,606 ","465,816 ","8,454 ","457,362 ","23,790 "
15 ,インド,"457,796 ",124.2%,0.9%,"356,081 ","101,715 ","457,796 ","368,516 ","286,498 ","82,018 ","89,280 "
16 ,フランス,"377,782 ",104.3%,0.8%,"68,127 ","309,655 ","377,782 ","362,099 ","67,486 ","294,613 ","15,683 "
17 ,イギリス,"351,154 ",116.0%,0.7%,"174,566 ","176,588 ","351,154 ","302,626 ","136,513 ","166,113 ","48,528 "
18 ,ニュージーランド,"338,514 ",123.6%,0.7%,"23,053 ","315,461 ","259,258 ","273,928 ","24,559 ","249,369 ","64,586 "
19 ,イタリア,"221,404 ",97.7%,0.4%,"33,509 ","187,895 ","221,404 ","226,643 ","32,033 ","194,610 ","-5,239 "
20 ,オーストラリア,"212,522 ",92.8%,0.4%,"62,047 ","150,475 ","78,208 ","229,109 ","50,043 ","179,066 ","-16,587 "
,その他,"1,976,511 ",99.1%,3.9%,"688,881 ","1,287,630 ","1,903,300 ","1,994,351 ","657,945 ","1,336,406 ","-17,840 "
,,,,,,,,,,,
,(注)コンテナ貨物は輸出入合計で内数,,,,,,,,,,
