,,,,,,,,,(単位：トン）,,,
年次,合計,,,外貿,,,内貿,,,,,
,計,出貨,入貨,計,輸出,輸入,計,移出,移入,,,
昭和58年(1983),"57,927,926","18,903,891","39,024,035","16,937,824","6,808,019","10,129,805","40,990,102","12,095,872","28,894,230",,,
　　59年(1984),"60,756,819","19,568,560","41,188,259","17,927,720","7,745,593","10,182,127","42,829,099","11,822,967","31,006,132",,,
　　60年(1985),"59,546,034","19,597,605","39,948,429","18,463,451","8,195,371","10,268,080","41,082,583","11,402,234","29,680,349",,,
　　61年(1986),"61,782,999","19,133,184","42,649,815","19,730,217","7,979,378","11,750,839","42,052,782","11,153,806","30,898,976",,,
　　62年(1987),"66,402,827","19,913,983","46,488,844","22,715,632","8,259,239","14,456,393","43,687,195","11,654,744","32,032,451",,,
　　63年(1988),"70,430,855","20,568,705","49,862,150","23,957,253","8,084,639","15,872,614","46,473,602","12,484,066","33,989,536",,,
平成 元年(1989),"75,570,753","23,233,288","52,337,465","24,465,754","8,356,461","16,109,293","51,104,999","14,876,827","36,228,172",,,
　　 2年(1990),"79,335,223","25,957,297","53,377,926","25,371,358","9,663,866","15,707,492","53,963,865","16,293,431","37,670,434",,,
　　 3年(1991),"84,146,734","27,712,695","56,434,039","27,699,430","10,444,392","17,255,038","56,447,304","17,268,303","39,179,001",,,
　　 4年(1992),"81,538,674","27,494,022","54,044,652","27,649,121","10,487,962","17,161,159","53,889,553","17,006,060","36,883,493",,,
　　 5年(1993),"73,690,144","24,569,532","49,120,612","22,736,532","7,795,534","14,940,998","50,953,612","16,773,998","34,179,614",,,
　　 6年(1994),"77,907,628","25,702,422","52,205,206","25,293,272","8,474,743","16,818,529","52,614,356","17,227,679","35,386,677",,,
　　 7年(1995),"87,289,654","30,208,754","57,080,900","28,643,974","10,040,820","18,603,154","58,645,680","20,167,934","38,477,746",,,
　　 8年(1996),"92,196,137","32,675,099","59,521,038","34,541,524","13,074,637","21,466,887","57,654,613","19,600,462","38,054,151",,,
　　 9年(1997),"93,131,079","34,197,940","58,933,139","35,393,493","14,089,630","21,303,863","57,737,586","20,108,310","37,629,276",,,
　　10年(1998),"88,391,508","32,812,548","55,578,960","33,969,621","14,332,817","19,636,804","54,421,887","18,479,731","35,942,156",,,
　　11年(1999),"85,414,441","31,765,887","53,648,554","36,112,328","14,614,638","21,497,690","49,302,113","17,151,249","32,150,864",,,
　　12年(2000),"84,559,363","31,034,313","53,525,050","39,283,394","15,512,031","23,771,363","45,275,969","15,522,282","29,753,687",,,
　　13年(2001),"82,056,013","29,090,256","52,965,757","38,064,298","15,054,858","23,009,440","43,991,715","14,035,398","29,956,317",,,
　　14年(2002),"82,519,796","30,591,857","51,927,939","39,809,943","16,008,849","23,801,094","42,709,853","14,583,008","28,126,845",,,
　　15年(2003),"88,473,966","32,842,827","55,631,139","43,329,278","17,197,803","26,131,475","45,144,688","15,645,024","29,499,664",,,
　　16年(2004),"91,426,731","34,455,324","56,971,407","45,954,479","18,382,322","27,572,157","45,472,252","16,073,002","29,399,250",,,
    17年(2005),"92,032,259","34,952,568","57,079,691","46,509,208","18,717,399","27,791,809","45,523,051","16,235,169","29,287,882",,,
    18年(2006),"90,811,219","33,827,231","56,983,988","45,858,277","17,492,342","28,365,935","44,952,942","16,334,889","28,618,053",,,
    19年(2007),"87,629,230","32,569,889","55,059,341","46,111,571","17,635,901","28,475,670","41,517,659","14,933,988","26,583,671",,,
    20年(2008),"81,356,537","26,133,976","55,222,561","45,118,924","13,678,997","31,439,927","36,237,613","12,454,979","23,782,634",,,
