年・期,西暦(年),四半期,男女計／１５歳以上人口（千人）,男女計／１５歳以上人口／労働力人口（千人）,男女計／１５歳以上人口／労働力人口／就業者数（千人）,男女計／１５歳以上人口／労働力人口／完全失業者数（千人）,男女計／１５歳以上人口／非労働力人口（千人）,男女計／労働力人口比率（％、ポイント）,男女計／完全失業率（％、ポイント）,男／１５歳以上人口（千人）,男／１５歳以上人口／労働力人口（千人）,男／１５歳以上人口／労働力人口／就業者数（千人）,男／１５歳以上人口／労働力人口／完全失業者数（千人）,男／１５歳以上人口／非労働力人口（千人）,男／労働力人口比率（％、ポイント）,男／完全失業率（％、ポイント）,女／１５歳以上人口（千人）,女／１５歳以上人口／労働力人口（千人）,女／１５歳以上人口／労働力人口／就業者数（千人）,女／１５歳以上人口／労働力人口／完全失業者数（千人）,女／１５歳以上人口／非労働力人口（千人）,女／労働力人口比率（％、ポイント）,女／完全失業率（％、ポイント）
実数／平成18年平均,2006,,11026,6844,6557,286,4175,62.1,4.2,5449,4054,3879,175,1392,74.4,4.3,5577,2790,2678,112,2783,50,4
実数／平成19年平均,2007,,11277,7105,6832,273,4163,63,3.8,5594,4252,4093,159,1337,76,3.7,5684,2853,2740,114,2826,50.2,4
実数／平成20年平均,2008,,11337,7158,6885,273,4176,63.1,3.8,5622,4274,4118,156,1346,76,3.6,5715,2884,2767,117,2829,50.5,4.1
実数／平成21年平均,2009,,11373,7115,6781,334,4252,62.6,4.7,5637,4197,4011,186,1436,74.5,4.4,5736,2917,2770,147,2816,50.9,5
実数／平成22年平均,2010,,11388,7117,6728,389,4263,62.5,5.5,5635,4179,3941,238,1451,74.2,5.7,5753,2938,2787,151,2811,51.1,5.1
実数／平成23年平均,2011,,11694,7420,7062,358,4270,63.5,4.8,5756,4336,4122,214,1418,75.3,4.9,5938,3084,2940,144,2853,51.9,4.7
実数／平成24年平均,2012,,11730,7406,7070,336,4321,63.1,4.5,5768,4328,4130,198,1439,75,4.6,5962,3078,2940,138,2883,51.6,4.5
実数／平成19年10～12月平均,2007,10～12,11307,7028,6767,261,4271,62.2,3.7,5609,4206,4074,132,1401,75,3.1,5698,2822,2693,129,2869,49.5,4.6
実数／平成20年１～３月平均,2008,01～03,11301,7109,6851,258,4185,62.9,3.6,5605,4259,4107,152,1344,76,3.6,5696,2850,2744,106,2841,50,3.7
実数／平成20年４～６月平均,2008,04～06,11342,7160,6878,282,4180,63.1,3.9,5623,4284,4121,163,1338,76.2,3.8,5719,2876,2757,119,2842,50.3,4.1
実数／平成20年７～９月平均,2008,07～09,11352,7187,6905,281,4160,63.3,3.9,5630,4288,4127,161,1338,76.2,3.8,5722,2898,2778,120,2821,50.6,4.1
実数／平成20年10～12月平均,2008,10～12,11354,7175,6907,268,4177,63.2,3.7,5630,4264,4118,146,1365,75.7,3.4,5724,2912,2789,123,2812,50.9,4.2
実数／平成21年１～３月平均,2009,01～03,11344,7047,6771,276,4286,62.1,3.9,5625,4187,4041,146,1430,74.4,3.5,5718,2860,2729,131,2855,50,4.6
実数／平成21年４～６月平均,2009,04～06,11377,7177,6832,345,4193,63.1,4.8,5642,4226,4028,197,1412,74.9,4.7,5736,2951,2803,148,2782,51.4,5
