男女・年,西暦(年),15歳以上人口（千人）,15歳以上人口／労働力人口（千人）,15歳以上人口／労働力人口／就業者数（千人）,15歳以上人口／労働力人口／就業者数／従業者数（千人）,15歳以上人口／労働力人口／就業者数／従業者数／主に仕事（千人）,15歳以上人口／労働力人口／就業者数／従業者数／通学のかたわらに仕事（千人）,15歳以上人口／労働力人口／就業者数／従業者数／家事などのかたわらに仕事（千人）,15歳以上人口／労働力人口／就業者数／休業者数（千人）,15歳以上人口／労働力人口／就業者数／自営業主数（千人）,15歳以上人口／労働力人口／就業者数／家族従業者数（千人）,15歳以上人口／労働力人口／就業者数／雇用者数（千人）,15歳以上人口／労働力人口／就業者数／雇用者数／うち正規の職員・従業員（千人）,15歳以上人口／労働力人口／就業者数／雇用者数／うち非正規の職員･従業員（千人）,15歳以上人口／労働力人口／就業者数／雇用者数／うち常雇（再掲）（千人）,15歳以上人口／労働力人口／完全失業者数（千人）,15歳以上人口／非労働力人口（千人）,15歳以上人口／非労働力人口／通学（千人）,15歳以上人口／非労働力人口／家事（千人）,15歳以上人口／非労働力人口／その他（千人）,労働力人口比率（％、ポイント）,就業率（％、ポイント）,完全失業率（％、ポイント）
実数／男女計／平成15年平均,2003,10814,6724,6385,6267,5381,190,696,118,595,180,5581,…,…,4824,339,4082,887,1855,1340,62.2,…,5
実数／男女計／平成16年平均,2004,10875,6714,6379,6265,5405,172,689,114,590,171,5590,…,…,4777,335,4151,884,1839,1428,61.7,…,5
実数／男女計／平成17年平均,2005,10946,6772,6453,6333,5410,186,737,120,611,158,5647,…,…,4819,320,4162,852,1805,1504,61.9,…,4.7
実数／男女計／平成18年平均,2006,11026,6844,6557,6432,5482,192,758,125,577,157,5781,…,…,4961,286,4175,868,1758,1548,62.1,…,4.2
実数／男女計／平成19年平均,2007,11277,7105,6832,6697,5723,211,763,135,577,143,6067,…,…,5221,273,4163,782,1790,1592,63,…,3.8
実数／男女計／平成20年平均,2008,11337,7158,6885,6747,5791,202,754,138,567,126,6156,…,…,5329,273,4176,779,1784,1612,63.1,60.7,3.8
実数／男女計／平成21年平均,2009,11373,7115,6781,6611,5683,183,745,170,587,119,6036,…,…,5200,334,4252,798,1717,1737,62.6,59.6,4.7
実数／男女計／平成22年平均,2010,11388,7117,6728,6566,5616,188,762,163,571,119,5995,…,…,5160,389,4263,794,1745,1724,62.5,59.1,5.5
実数／男女計／平成23年平均,2011,11694,7420,7062,6899,5925,177,797,162,572,120,6330,…,…,5489,358,4270,798,1817,1655,63.5,60.4,4.8
実数／男女計／平成24年平均,2012,11730,7406,7070,6905,5946,180,780,165,563,107,6358,…,…,5499,336,4321,776,1777,1769,63.1,60.3,4.5
実数／男女計／平成25年平均,2013,11776,7475,7163,6992,6011,182,798,172,578,111,6432,3742,2164,5923,312,4294,749,1682,1863,63.5,60.8,4.2
実数／男／平成15年平均,2003,5358,4059,3860,3798,3667,99,32,62,439,32,3375,…,…,3104,199,1295,488,29,778,75.8,…,4.9
実数／男／平成16年平均,2004,5382,4022,3820,3761,3632,93,36,59,445,28,3330,…,…,3028,202,1355,482,39,833,74.7,…,5
実数／男／平成17年平均,2005,5412,4031,3840,3777,3626,101,50,63,444,33,3342,…,…,3034,191,1375,471,40,864,74.5,…,4.7
実数／男／平成18年平均,2006,5449,4054,3879,3811,3659,98,54,68,429,33,3393,…,…,3091,175,1392,478,45,869,74.4,…,4.3
実数／男／平成19年平均,2007,5594,4252,4093,4028,3859,116,53,64,427,27,3616,…,…,3302,159,1337,427,54,856,76,…,3.7
実数／男／平成20年平均,2008,5622,4274,4118,4046,3887,111,47,72,414,21,3661,…,…,3354,156,1346,426,50,870,76,73.2,3.6
実数／男／平成21年平均,2009,5637,4197,4011,3931,3786,88,57,80,417,19,3555,…,…,3261,186,1436,454,49,934,74.5,71.2,4.4
実数／男／平成22年平均,2010,5635,4179,3941,3871,3713,97,61,70,399,21,3498,…,…,3192,238,1451,452,54,945,74.2,69.9,5.7
実数／男／平成23年平均,2011,5756,4336,4122,4050,3906,89,55,72,412,19,3672,…,…,3367,214,1418,433,64,920,75.3,71.6,4.9
実数／男／平成24年平均,2012,5768,4328,4130,4057,3899,93,65,72,409,20,3679,…,…,3360,198,1439,425,63,951,75,71.6,4.6
実数／男／平成25年平均,2013,5787,4315,4130,4060,3905,90,64,70,414,22,3674,2502,764,3462,185,1468,418,64,986,74.6,71.4,4.3
実数／女／平成15年平均,2003,5457,2665,2525,2468,1714,91,663,56,157,148,2206,…,…,1720,140,2787,400,1825,562,48.8,…,5.3
実数／女／平成16年平均,2004,5493,2692,2559,2505,1773,78,653,55,145,143,2260,…,…,1749,133,2797,401,1800,595,49,…,4.9
実数／女／平成17年平均,2005,5534,2741,2613,2556,1784,85,687,57,168,125,2306,…,…,1785,129,2787,381,1766,640,49.5,…,4.7
実数／女／平成18年平均,2006,5577,2790,2678,2621,1824,94,704,57,148,124,2388,…,…,1870,112,2783,390,1713,680,50,…,4
実数／女／平成19年平均,2007,5684,2853,2740,2669,1864,95,710,71,150,117,2451,…,…,1918,114,2826,355,1736,735,50.2,…,4
実数／女／平成20年平均,2008,5715,2884,2767,2701,1903,91,707,66,153,105,2494,…,…,1975,117,2829,353,1734,742,50.5,48.4,4.1
実数／女／平成21年平均,2009,5736,2917,2770,2680,1897,95,688,90,170,100,2481,…,…,1939,147,2816,344,1669,804,50.9,48.3,5
実数／女／平成22年平均,2010,5753,2938,2787,2694,1903,91,700,93,172,98,2497,…,…,1968,151,2811,342,1691,779,51.1,48.4,5.1
実数／女／平成23年平均,2011,5938,3084,2940,2849,2019,89,741,91,160,101,2658,…,…,2122,144,2853,365,1753,735,51.9,49.5,4.7
実数／女／平成24年平均,2012,5962,3078,2940,2848,2047,86,715,92,154,87,2680,…,…,2140,138,2883,351,1714,818,51.6,49.3,4.5
実数／女／平成25年平均,2013,5989,3160,3033,2932,2106,92,733,101,164,90,2757,1240,1400,2461,127,2826,330,1618,877,52.8,50.6,4
対前年増減数／男女計／平成15年平均,2003,89,22,55,50,39,20,-9,5,19,-6,41,…,…,36,-33,69,16,68,-16,-0.3,…,-0.6
対前年増減数／男女計／平成16年平均,2004,61,-10,-6,-2,24,-18,-7,-4,-5,-9,9,…,…,-47,-4,69,-3,-16,88,-0.5,…,0
対前年増減数／男女計／平成17年平均,2005,71,58,74,68,5,14,48,6,21,-13,57,…,…,42,-15,11,-32,-34,76,0.2,…,-0.3
対前年増減数／男女計／平成18年平均,2006,80,72,104,99,72,6,21,5,-34,-1,134,…,…,142,-34,13,16,-47,44,0.2,…,-0.5
対前年増減数／男女計／平成19年平均,2007,251,261,275,265,241,19,5,10,0,-14,286,…,…,260,-13,-12,-86,32,44,0.9,…,-0.4
対前年増減数／男女計／平成20年平均,2008,60,53,53,50,68,-9,-9,3,-10,-17,89,…,…,108,0,13,-3,-6,20,0.1,…,0
対前年増減数／男女計／平成21年平均,2009,36,-43,-104,-136,-108,-19,-9,32,20,-7,-120,…,…,-129,61,76,19,-67,125,-0.5,-1.1,0.9
対前年増減数／男女計／平成22年平均,2010,15,2,-53,-45,-67,5,17,-7,-16,0,-41,…,…,-40,55,11,-4,28,-13,-0.1,-0.5,0.8
対前年増減数／男女計／平成23年平均,2011,306,303,334,333,309,-11,35,-1,1,1,335,…,…,329,-31,7,4,72,-69,1,1.3,-0.7
対前年増減数／男女計／平成24年平均,2012,36,-14,8,6,21,3,-17,3,-9,-13,28,…,…,10,-22,51,-22,-40,114,-0.4,-0.1,-0.3
対前年増減数／男女計／平成25年平均,2013,46,69,93,87,65,2,18,7,15,4,74,…,…,424,-24,-27,-27,-95,94,0.4,0.5,-0.3
対前年増減数／男／平成15年平均,2003,41,5,33,29,34,5,-9,4,14,-1,21,…,…,22,-28,38,18,-2,22,-0.4,…,-0.7
対前年増減数／男／平成16年平均,2004,24,-37,-40,-37,-35,-6,4,-3,6,-4,-45,…,…,-76,3,60,-6,10,55,-1.1,…,0.1
対前年増減数／男／平成17年平均,2005,30,9,20,16,-6,8,14,4,-1,5,12,…,…,6,-11,20,-11,1,31,-0.2,…,-0.3
対前年増減数／男／平成18年平均,2006,37,23,39,34,33,-3,4,5,-15,0,51,…,…,57,-16,17,7,5,5,-0.1,…,-0.4
対前年増減数／男／平成19年平均,2007,145,198,214,217,200,18,-1,-4,-2,-6,223,…,…,211,-16,-55,-51,9,-13,1.6,…,-0.6
対前年増減数／男／平成20年平均,2008,28,22,25,18,28,-5,-6,8,-13,-6,45,…,…,52,-3,9,-1,-4,14,0,…,-0.1
対前年増減数／男／平成21年平均,2009,15,-77,-107,-115,-101,-23,10,8,3,-2,-106,…,…,-93,30,90,28,-1,64,-1.5,-2,0.8
対前年増減数／男／平成22年平均,2010,-2,-18,-70,-60,-73,9,4,-10,-18,2,-57,…,…,-69,52,15,-2,5,11,-0.3,-1.3,1.3
対前年増減数／男／平成23年平均,2011,121,157,181,179,193,-8,-6,2,13,-2,174,…,…,175,-24,-33,-19,10,-25,1.1,1.7,-0.8
対前年増減数／男／平成24年平均,2012,12,-8,8,7,-7,4,10,0,-3,1,7,…,…,-7,-16,21,-8,-1,31,-0.3,0,-0.3
対前年増減数／男／平成25年平均,2013,19,-13,0,3,6,-3,-1,-2,5,2,-5,…,…,102,-13,29,-7,1,35,-0.4,-0.2,-0.3
対前年増減数／女／平成15年平均,2003,49,17,22,20,6,15,-1,1,6,-5,20,…,…,14,-5,32,-1,70,-38,-0.2,…,-0.2
対前年増減数／女／平成16年平均,2004,36,27,34,37,59,-13,-10,-1,-12,-5,54,…,…,29,-7,10,1,-25,33,0.2,…,-0.4
対前年増減数／女／平成17年平均,2005,41,49,54,51,11,7,34,2,23,-18,46,…,…,36,-4,-10,-20,-34,45,0.5,…,-0.2
