区分・年,西暦(年),実数／総数（千人、％）,実数／15～24歳（千人、％）,実数／25～34歳（千人、％）,実数／35～44歳（千人、％）,実数／45～54歳（千人、％）,実数／55～64歳（千人、％）,実数／65歳以上（千人、％）,対前年増減数／総数（千人、ポイント）,対前年増減数／15～24歳（千人、ポイント）,対前年増減数／25～34歳（千人、ポイント）,対前年増減数／35～44歳（千人、ポイント）,対前年増減数／45～54歳（千人、ポイント）,対前年増減数／55～64歳（千人、ポイント）,対前年増減数／65歳以上（千人、ポイント）,対前年増減率／総数（％）,対前年増減率／15～24歳（％）,対前年増減率／25～34歳（％）,対前年増減率／35～44歳（％）,対前年増減率／45～54歳（％）,対前年増減率／55～64歳（％）,対前年増減率／65歳以上（％）
15歳以上人口／平成15年平均,2003,5457,732,1045,841,781,836,1221,49,-16,-2,34,-38,27,43,0.9,-2.1,-0.2,4.2,-4.6,3.3,3.7
15歳以上人口／平成16年平均,2004,5493,713,1037,871,750,866,1257,36,-19,-8,30,-31,30,36,0.7,-2.6,-0.8,3.6,-4,3.6,2.9
15歳以上人口／平成17年平均,2005,5534,702,1029,902,727,878,1297,41,-11,-8,31,-23,12,40,0.7,-1.5,-0.8,3.6,-3.1,1.4,3.2
15歳以上人口／平成18年平均,2006,5577,702,1014,932,714,872,1342,43,0,-15,30,-13,-6,45,0.8,0,-1.5,3.3,-1.8,-0.7,3.5
15歳以上人口／平成19年平均,2007,5684,690,990,989,733,873,1408,107,-12,-24,57,19,1,66,1.9,-1.7,-2.4,6.1,2.7,0.1,4.9
15歳以上人口／平成20年平均,2008,5715,674,966,1022,741,858,1453,31,-16,-24,33,8,-15,45,0.5,-2.3,-2.4,3.3,1.1,-1.7,3.2
15歳以上人口／平成21年平均,2009,5736,654,942,1045,757,838,1500,21,-20,-24,23,16,-20,47,0.4,-3,-2.5,2.3,2.2,-2.3,3.2
15歳以上人口／平成22年平均,2010,5753,632,921,1056,779,833,1531,17,-22,-21,11,22,-5,31,0.3,-3.4,-2.2,1.1,2.9,-0.6,2.1
15歳以上人口／平成23年平均,2011,5938,654,970,1108,819,840,1548,185,22,49,52,40,7,17,3.2,3.5,5.3,4.9,5.1,0.8,1.1
15歳以上人口／平成24年平均,2012,5962,644,954,1111,847,811,1595,24,-10,-16,3,28,-29,47,0.4,-1.5,-1.6,0.3,3.4,-3.5,3
