区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,11794,11744,50,0.4,5794,5773,21,0.4,5999,5971,28,0.5
〔就業状態〕／労働力人口,7496,7334,162,2.2,4274,4284,-10,-0.2,3222,3050,172,5.6
〔就業状態〕／労働力人口／就業者数,7208,7029,179,2.5,4112,4111,1,0,3096,2918,178,6.1
〔就業状態〕／労働力人口／就業者数／自営業主数,550,556,-6,-1.1,390,402,-12,-3,160,154,6,3.9
〔就業状態〕／労働力人口／就業者数／家族従業者数,100,96,4,4.2,20,13,7,53.8,80,84,-4,-4.8
〔就業状態〕／労働力人口／就業者数／雇用者数,6507,6319,188,3,3676,3667,9,0.2,2832,2652,180,6.8
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,3705,-,-,-,2475,-,-,-,1230,-,-,-
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2268,-,-,-,775,-,-,-,1493,-,-,-
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1483,-,-,-,394,-,-,-,1089,-,-,-
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,6000,5484,516,9.4,3480,3339,141,4.2,2520,2145,375,17.5
〔就業状態〕／労働力人口／完全失業者数,288,305,-17,-5.6,162,173,-11,-6.4,126,132,-6,-4.5
〔就業状態〕／非労働力人口,4293,4407,-114,-2.6,1517,1487,30,2,2777,2920,-143,-4.9
〔就業者の活動状況別内訳〕／就業者数（再掲）,7208,7029,179,2.5,4112,4111,1,0,3096,2918,178,6.1
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,7057,6883,174,2.5,4054,4045,9,0.2,3004,2838,166,5.8
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6010,5939,71,1.2,3879,3872,7,0.2,2131,2067,64,3.1
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,208,196,12,6.1,107,107,0,0,100,89,11,12.4
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,840,748,92,12.3,67,66,1,1.5,773,683,90,13.2
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,150,146,4,2.7,58,66,-8,-12.1,92,80,12,15
〔就業者の主な産業別内訳〕／建設業,388,436,-48,-11,327,363,-36,-9.9,61,73,-12,-16.4
〔就業者の主な産業別内訳〕／製造業,778,794,-16,-2,549,564,-15,-2.7,229,230,-1,-0.4
〔就業者の主な産業別内訳〕／情報通信業,651,593,58,9.8,464,435,29,6.7,188,158,30,19
〔就業者の主な産業別内訳〕／運輸業，郵便業,388,339,49,14.5,313,273,40,14.7,74,66,8,12.1
〔就業者の主な産業別内訳〕／卸売業，小売業,1225,1087,138,12.7,602,534,68,12.7,623,553,70,12.7
〔就業者の主な産業別内訳〕／金融業，保険業,277,302,-25,-8.3,132,161,-29,-18,145,142,3,2.1
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,198,222,-24,-10.8,120,141,-21,-14.9,78,81,-3,-3.7
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,417,416,1,0.2,244,264,-20,-7.6,173,152,21,13.8
