年・期,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
実数／男女計／平成22年平均,2010,,417,756,598,384,1118,265,203,396,487,265,329,583,582
実数／男女計／平成23年平均,2011,,440,771,603,374,1192,283,235,408,478,289,340,615,626
実数／男女計／平成24年平均,2012,,441,751,594,345,1170,277,235,416,502,281,329,640,655
実数／男女計／平成23年１～３月平均,2011,01～03,453,761,580,401,1222,258,229,400,481,287,343,650,606
実数／男女計／平成23年４～６月平均,2011,04～06,443,798,557,386,1215,304,259,418,446,270,328,595,646
実数／男女計／平成23年７～９月平均,2011,07～09,430,764,624,361,1189,301,220,388,494,287,313,598,606
実数／男女計／平成23年10～12月平均,2011,10～12,436,759,651,346,1143,268,231,429,491,311,374,616,644
実数／男女計／平成24年１～３月平均,2012,01～03,427,732,596,340,1219,276,239,400,499,280,326,684,681
実数／男女計／平成24年４～６月平均,2012,04～06,463,765,565,363,1171,277,242,406,482,264,347,611,647
実数／男女計／平成24年７～９月平均,2012,07～09,439,712,623,339,1204,252,235,442,527,299,293,634,648
実数／男女計／平成24年10～12月平均,2012,10～12,436,794,593,339,1087,302,222,416,498,280,348,632,646
実数／男女計／平成25年１～３月平均,2013,01～03,435,713,582,377,1176,314,231,400,516,253,371,723,564
実数／男女計／平成25年４～６月平均,2013,04～06,467,719,640,403,1148,282,239,467,502,290,395,668,544
実数／男／平成22年平均,2010,,360,537,444,301,592,130,123,250,233,118,147,166,306
実数／男／平成23年平均,2011,,365,533,429,304,606,147,150,271,223,137,149,178,342
実数／男／平成24年平均,2012,,368,542,426,279,595,148,152,268,228,133,145,190,360
実数／男／平成23年１～３月平均,2011,01～03,378,541,417,309,607,131,144,252,193,130,143,210,341
実数／男／平成23年４～６月平均,2011,04～06,368,547,387,318,619,164,170,281,214,136,137,161,337
