区分,男女計／実数（千人、％）,男女計／前年（千人、％）,男女計／対前年／増減数（千人、ポイント）,男女計／対前年／増減率（％）,男／実数（千人、％）,男／前年（千人、％）,男／対前年／増減数（千人、ポイント）,男／対前年／増減率（％）,女／実数（千人、％）,女／前年（千人、％）,女／対前年／増減数（千人、ポイント）,女／対前年／増減率（％）
15歳以上人口,11776,11730,46,0.4,5787,5768,19,0.3,5989,5962,27,0.5
〔就業状態〕／労働力人口,7475,7406,69,0.9,4315,4328,-13,-0.3,3160,3078,82,2.7
〔就業状態〕／労働力人口／就業者数,7163,7070,93,1.3,4130,4130,0,0,3033,2940,93,3.2
〔就業状態〕／労働力人口／就業者数／自営業主数,578,563,15,2.7,414,409,5,1.2,164,154,10,6.5
〔就業状態〕／労働力人口／就業者数／家族従業者数,111,107,4,3.7,22,20,2,10,90,87,3,3.4
〔就業状態〕／労働力人口／就業者数／雇用者数,6432,6358,74,1.2,3674,3679,-5,-0.1,2757,2680,77,2.9
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,3742,-,-,-,2502,-,-,-,1240,-,-,-
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2164,-,-,-,764,-,-,-,1400,-,-,-
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1391,-,-,-,387,-,-,-,1004,-,-,-
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,5923,5499,424,7.7,3462,3360,102,3,2461,2140,321,15
〔就業状態〕／労働力人口／完全失業者数,312,336,-24,-7.1,185,198,-13,-6.6,127,138,-11,-8
〔就業状態〕／非労働力人口,4294,4321,-27,-0.6,1468,1439,29,2,2826,2883,-57,-2
〔就業者の活動状態別内訳〕／就業者数（再掲）,7163,7070,93,1.3,4130,4130,0,0,3033,2940,93,3.2
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数,6992,6905,87,1.3,4060,4057,3,0.1,2932,2848,84,2.9
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／主に仕事,6011,5946,65,1.1,3905,3899,6,0.2,2106,2047,59,2.9
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,182,180,2,1.1,90,93,-3,-3.2,92,86,6,7
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,798,780,18,2.3,64,65,-1,-1.5,733,715,18,2.5
〔就業者の活動状態別内訳〕／就業者数（再掲）／休業者数,172,165,7,4.2,70,72,-2,-2.8,101,92,9,9.8
〔就業者の主な産業別内訳〕／建設業,413,441,-28,-6.3,348,368,-20,-5.4,64,73,-9,-12.3
〔就業者の主な産業別内訳〕／製造業,734,751,-17,-2.3,541,542,-1,-0.2,194,208,-14,-6.7
〔就業者の主な産業別内訳〕／情報通信業,637,594,43,7.2,450,426,24,5.6,187,168,19,11.3
〔就業者の主な産業別内訳〕／運輸業，郵便業,385,345,40,11.6,315,279,36,12.9,70,66,4,6.1
〔就業者の主な産業別内訳〕／卸売業，小売業,1196,1170,26,2.2,593,595,-2,-0.3,603,575,28,4.9
〔就業者の主な産業別内訳〕／金融業，保険業,283,277,6,2.2,137,148,-11,-7.4,145,129,16,12.4
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,218,235,-17,-7.2,131,152,-21,-13.8,87,83,4,4.8
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,436,416,20,4.8,275,268,7,2.6,161,148,13,8.8
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,507,502,5,1,234,228,6,2.6,273,274,-1,-0.4
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,267,281,-14,-5,116,133,-17,-12.8,151,148,3,2
〔就業者の主な産業別内訳〕／教育，学習支援業,364,329,35,10.6,166,145,21,14.5,198,184,14,7.6
〔就業者の主な産業別内訳〕／医療，福祉,701,640,61,9.5,205,190,15,7.9,496,451,45,10
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,555,655,-100,-15.3,331,360,-29,-8.1,225,295,-70,-23.7
〔雇用者の主な産業別内訳〕／建設業,348,372,-24,-6.5,288,305,-17,-5.6,60,67,-7,-10.4
〔雇用者の主な産業別内訳〕／製造業,694,713,-19,-2.7,512,515,-3,-0.6,182,198,-16,-8.1
〔雇用者の主な産業別内訳〕／情報通信業,602,565,37,6.5,424,406,18,4.4,177,159,18,11.3
〔雇用者の主な産業別内訳〕／運輸業，郵便業,353,319,34,10.7,286,254,32,12.6,67,65,2,3.1
〔雇用者の主な産業別内訳〕／卸売業，小売業,1114,1082,32,3,549,546,3,0.5,565,536,29,5.4
〔雇用者の主な産業別内訳〕／金融業，保険業,279,274,5,1.8,135,145,-10,-6.9,144,128,16,12.5
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,187,197,-10,-5.1,114,132,-18,-13.6,72,65,7,10.8
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,319,304,15,4.9,195,185,10,5.4,124,119,5,4.2
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,428,428,0,0,189,191,-2,-1,239,237,2,0.8
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,207,221,-14,-6.3,92,104,-12,-11.5,116,117,-1,-0.9
〔雇用者の主な産業別内訳〕／教育，学習支援業,330,298,32,10.7,157,139,18,12.9,173,159,14,8.8
〔雇用者の主な産業別内訳〕／医療，福祉,662,604,58,9.6,180,166,14,8.4,482,438,44,10
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,510,611,-101,-16.5,300,331,-31,-9.4,209,280,-71,-25.4
〔非農林業雇用者の従業者規模別内訳〕／総数,6425,6351,74,1.2,3670,3673,-3,-0.1,2755,2678,77,2.9
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1717,1746,-29,-1.7,967,1010,-43,-4.3,750,736,14,1.9
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,2001,1968,33,1.7,1121,1104,17,1.5,881,863,18,2.1
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,2167,2105,62,2.9,1296,1250,46,3.7,872,855,17,2
〔完全失業率（年齢階級別）(%)〕／総数,4.2,4.5,-0.3,-,4.3,4.6,-0.3,-,4,4.5,-0.5,-
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,5.7,7.1,-1.4,-,6.1,7.4,-1.3,-,5.1,6.9,-1.8,-
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,4.9,4.7,0.2,-,5.3,5,0.3,-,4.4,4.6,-0.2,-
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,3.9,4.5,-0.6,-,3.8,4.5,-0.7,-,4.1,4.5,-0.4,-
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,3.7,3.9,-0.2,-,3.4,3.3,0.1,-,3.9,4.5,-0.6,-
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,4.2,4.8,-0.6,-,4.5,5.4,-0.9,-,3.6,3.9,-0.3,-
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,2.9,2.9,0,-,3.4,3.5,-0.1,-,2.2,1.9,0.3,-
〔就業率（%）〕／総数,60.8,60.3,0.5,-,71.4,71.6,-0.2,-,50.6,49.3,1.3,-
〔労働力人口比率(%)〕／総数,63.5,63.1,0.4,-,74.6,75,-0.4,-,52.8,51.6,1.2,-
,,,,,,,,,,,,
東京の労働力統計データ（平成25年平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
平成25年平均,,,,,,,,,,,,
注)非農林業雇用者の従業者規模別内訳の総数には官公・従業者規模不詳を含んでいるため、内訳の合計とは一致しない。,,,,,,,,,,,,
