区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,11780,11733,47,0.4,5788,5770,18,0.3,5991,5963,28,0.5
〔就業状態〕／労働力人口,7568,7497,71,0.9,4391,4434,-43,-1,3177,3063,114,3.7
〔就業状態〕／労働力人口／就業者数,7252,7135,117,1.6,4212,4233,-21,-0.5,3039,2903,136,4.7
〔就業状態〕／労働力人口／就業者数／自営業主数,612,537,75,14,428,397,31,7.8,183,140,43,30.7
〔就業状態〕／労働力人口／就業者数／家族従業者数,120,113,7,6.2,25,29,-4,-13.8,95,84,11,13.1
〔就業状態〕／労働力人口／就業者数／雇用者数,6469,6442,27,0.4,3735,3783,-48,-1.3,2734,2659,75,2.8
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,3770,-,-,-,2572,-,-,-,1199,-,-,-
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2181,-,-,-,762,-,-,-,1419,-,-,-
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1362,-,-,-,374,-,-,-,988,-,-,-
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,5990,5585,405,7.3,3538,3468,70,2,2452,2118,334,15.8
〔就業状態〕／労働力人口／完全失業者数,316,362,-46,-12.7,178,202,-24,-11.9,138,160,-22,-13.8
〔就業状態〕／非労働力人口,4202,4232,-30,-0.7,1394,1333,61,4.6,2808,2899,-91,-3.1
〔就業者の活動状況別内訳〕／就業者数（再掲）,7252,7135,117,1.6,4212,4233,-21,-0.5,3039,2903,136,4.7
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,7097,6991,106,1.5,4145,4180,-35,-0.8,2953,2811,142,5.1
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6122,6036,86,1.4,3998,4027,-29,-0.7,2124,2009,115,5.7
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,170,162,8,4.9,80,83,-3,-3.6,90,79,11,13.9
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,806,793,13,1.6,67,71,-4,-5.6,739,722,17,2.4
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,155,144,11,7.6,68,53,15,28.3,87,92,-5,-5.4
〔就業者の主な産業別内訳〕／建設業,467,463,4,0.9,400,397,3,0.8,67,66,1,1.5
〔就業者の主な産業別内訳〕／製造業,719,765,-46,-6,562,553,9,1.6,157,212,-55,-25.9
〔就業者の主な産業別内訳〕／情報通信業,640,565,75,13.3,454,399,55,13.8,186,167,19,11.4
〔就業者の主な産業別内訳〕／運輸業，郵便業,403,363,40,11,349,299,50,16.7,54,64,-10,-15.6
〔就業者の主な産業別内訳〕／卸売業，小売業,1148,1171,-23,-2,546,602,-56,-9.3,602,569,33,5.8
〔就業者の主な産業別内訳〕／金融業，保険業,282,277,5,1.8,135,151,-16,-10.6,147,126,21,16.7
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,239,242,-3,-1.2,151,164,-13,-7.9,88,77,11,14.3
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,467,406,61,15,313,274,39,14.2,154,132,22,16.7
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,502,482,20,4.1,234,221,13,5.9,268,260,8,3.1
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,290,264,26,9.8,124,129,-5,-3.9,166,135,31,23
〔就業者の主な産業別内訳〕／教育，学習支援業,395,347,48,13.8,163,152,11,7.2,232,195,37,19
〔就業者の主な産業別内訳〕／医療，福祉,668,611,57,9.3,184,180,4,2.2,484,431,53,12.3
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,544,647,-103,-15.9,307,329,-22,-6.7,238,318,-80,-25.2
〔雇用者の主な産業別内訳〕／建設業,387,395,-8,-2,326,334,-8,-2.4,61,62,-1,-1.6
〔雇用者の主な産業別内訳〕／製造業,685,734,-49,-6.7,535,529,6,1.1,151,205,-54,-26.3
〔雇用者の主な産業別内訳〕／情報通信業,602,536,66,12.3,428,380,48,12.6,174,156,18,11.5
〔雇用者の主な産業別内訳〕／運輸業，郵便業,373,333,40,12,321,269,52,19.3,52,64,-12,-18.8
〔雇用者の主な産業別内訳〕／卸売業，小売業,1063,1080,-17,-1.6,498,551,-53,-9.6,565,529,36,6.8
〔雇用者の主な産業別内訳〕／金融業，保険業,276,274,2,0.7,130,148,-18,-12.2,146,126,20,15.9
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,206,213,-7,-3.3,131,150,-19,-12.7,75,63,12,19
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,358,300,58,19.3,241,192,49,25.5,117,108,9,8.3
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,410,399,11,2.8,177,175,2,1.1,233,224,9,4
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,229,213,16,7.5,101,102,-1,-1,128,111,17,15.3
〔雇用者の主な産業別内訳〕／教育，学習支援業,353,318,35,11,153,146,7,4.8,200,172,28,16.3
〔雇用者の主な産業別内訳〕／医療，福祉,623,584,39,6.7,161,165,-4,-2.4,462,419,43,10.3
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,499,606,-107,-17.7,286,305,-19,-6.2,214,301,-87,-28.9
〔非農林業雇用者の従業者規模別内訳〕／総数,6464,6437,27,0.4,3732,3779,-47,-1.2,2732,2658,74,2.8
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1699,1795,-96,-5.3,967,1040,-73,-7,732,755,-23,-3
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,1955,1878,77,4.1,1110,1067,43,4,845,811,34,4.2
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,2241,2145,96,4.5,1367,1299,68,5.2,875,847,28,3.3
〔完全失業率（年齢階級別）(%)〕／総数,4.2,4.8,-0.6,-,4.1,4.6,-0.5,-,4.3,5.2,-0.9,-
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,6.8,9.1,-2.3,-,4.5,8.8,-4.3,-,8.8,9.4,-0.6,-
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,5.1,5.4,-0.3,-,4.7,5.5,-0.8,-,5.4,5.2,0.2,-
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,3.4,4.3,-0.9,-,3.2,4.2,-1,-,3.8,4.4,-0.6,-
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,3.8,3.6,0.2,-,4.5,2.9,1.6,-,3,4.6,-1.6,-
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,4.4,5.3,-0.9,-,4.9,5.1,-0.2,-,3.3,5.7,-2.4,-
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,2.3,3,-0.7,-,2.6,2.8,-0.2,-,1.8,3.2,-1.4,-
〔労働力人口比率(%)〕／総数,64.2,63.9,0.3,-,75.9,76.8,-0.9,-,53,51.4,1.6,-
,,,,,,,,,,,,
東京の労働力統計データ（平成25年4～6月期平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
平成25年4～6月期平均,,,,,,,,,,,,
注)非農林業雇用者の従業者規模別内訳の総数には官公・従業者規模不詳を含んでいるため、内訳の合計とは一致しない。,,,,,,,,,,,,
