男女・年,西暦(年),建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）,その他（左記以外のもの）（千人）
実数／男女計／平成21年平均,2009,392,766,539,337,1050,263,175,273,404,212,285,507,552,274
実数／男女計／平成22年平均,2010,349,715,576,353,1014,261,170,287,410,204,288,531,545,285
実数／男女計／平成23年平均,2011,368,730,577,340,1093,281,200,299,403,223,301,576,589,345
実数／男女計／平成24年平均,2012,372,713,565,319,1082,274,197,304,428,221,298,604,611,361
実数／男女計／平成25年平均,2013,348,694,602,353,1114,279,187,319,428,207,330,662,510,392
実数／男／平成21年平均,2009,328,566,399,261,558,140,110,171,191,93,136,127,284,188
実数／男／平成22年平均,2010,298,513,428,272,531,129,107,179,195,90,137,137,281,196
実数／男／平成23年平均,2011,301,509,410,272,554,145,133,194,184,104,140,153,317,250
実数／男／平成24年平均,2012,305,515,406,254,546,145,132,185,191,104,139,166,331,252
実数／男／平成25年平均,2013,288,512,424,286,549,135,114,195,189,92,157,180,300,247
実数／女／平成21年平均,2009,63,200,141,75,493,124,65,102,214,119,150,380,268,86
実数／女／平成22年平均,2010,51,202,148,81,483,132,63,108,216,115,151,394,264,89
実数／女／平成23年平均,2011,67,221,167,68,539,136,66,105,220,119,161,422,271,96
実数／女／平成24年平均,2012,67,198,159,65,536,128,65,119,237,117,159,438,280,109
実数／女／平成25年平均,2013,60,182,177,67,565,144,72,124,239,116,173,482,209,144
対前年増減数／男女計／平成22年平均,2010,-43,-51,37,16,-36,-2,-5,14,6,-8,3,24,-7,11
対前年増減数／男女計／平成23年平均,2011,19,15,1,-13,79,20,30,12,-7,19,13,45,44,60
対前年増減数／男女計／平成24年平均,2012,4,-17,-12,-21,-11,-7,-3,5,25,-2,-3,28,22,16
対前年増減数／男女計／平成25年平均,2013,-24,-19,37,34,32,5,-10,15,0,-14,32,58,-101,31
対前年増減数／男／平成22年平均,2010,-30,-53,29,11,-27,-11,-3,8,4,-3,1,10,-3,8
対前年増減数／男／平成23年平均,2011,3,-4,-18,0,23,16,26,15,-11,14,3,16,36,54
対前年増減数／男／平成24年平均,2012,4,6,-4,-18,-8,0,-1,-9,7,0,-1,13,14,2
対前年増減数／男／平成25年平均,2013,-17,-3,18,32,3,-10,-18,10,-2,-12,18,14,-31,-5
対前年増減数／女／平成22年平均,2010,-12,2,7,6,-10,8,-2,6,2,-4,1,14,-4,3
対前年増減数／女／平成23年平均,2011,16,19,19,-13,56,4,3,-3,4,4,10,28,7,7
対前年増減数／女／平成24年平均,2012,0,-23,-8,-3,-3,-8,-1,14,17,-2,-2,16,9,13
対前年増減数／女／平成25年平均,2013,-7,-16,18,2,29,16,7,5,2,-1,14,44,-71,35
,,,,,,,,,,,,,,,
東京の労働力統計データ（平成25年平均）,,,,,,,,,,,,,,,
第５表　主な産業別雇用者数,,,,,,,,,,,,,,,
