区分・年,西暦(年),実数／総数（千人、％）,実数／15～24歳（千人、％）,実数／25～34歳（千人、％）,実数／35～44歳（千人、％）,実数／45～54歳（千人、％）,実数／55～64歳（千人、％）,実数／65歳以上（千人、％）,対前年増減数／総数（千人、ポイント）,対前年増減数／15～24歳（千人、ポイント）,対前年増減数／25～34歳（千人、ポイント）,対前年増減数／35～44歳（千人、ポイント）,対前年増減数／45～54歳（千人、ポイント）,対前年増減数／55～64歳（千人、ポイント）,対前年増減数／65歳以上（千人、ポイント）,対前年増減率／総数（％）,対前年増減率／15～24歳（％）,対前年増減率／25～34歳（％）,対前年増減率／35～44歳（％）,対前年増減率／45～54歳（％）,対前年増減率／55～64歳（％）,対前年増減率／65歳以上（％）
15歳以上人口／平成15年平均,2003,10814,1522,2164,1750,1593,1638,2147,89,-39,-6,70,-75,59,80,0.8,-2.5,-0.3,4.2,-4.5,3.7,3.9
15歳以上人口／平成16年平均,2004,10875,1476,2147,1810,1530,1699,2213,61,-46,-17,60,-63,61,66,0.6,-3,-0.8,3.4,-4,3.7,3.1
15歳以上人口／平成17年平均,2005,10946,1446,2131,1869,1485,1726,2289,71,-30,-16,59,-45,27,76,0.7,-2,-0.7,3.3,-2.9,1.6,3.4
15歳以上人口／平成18年平均,2006,11026,1446,2100,1926,1462,1719,2373,80,0,-31,57,-23,-7,84,0.7,0,-1.5,3,-1.5,-0.4,3.7
15歳以上人口／平成19年平均,2007,11277,1444,2043,2046,1512,1745,2489,251,-2,-57,120,50,26,116,2.3,-0.1,-2.7,6.2,3.4,1.5,4.9
15歳以上人口／平成20年平均,2008,11337,1409,1995,2108,1533,1718,2575,60,-35,-48,62,21,-27,86,0.5,-2.4,-2.3,3,1.4,-1.5,3.5
15歳以上人口／平成21年平均,2009,11373,1365,1945,2149,1568,1681,2665,36,-44,-50,41,35,-37,90,0.3,-3.1,-2.5,1.9,2.3,-2.2,3.5
15歳以上人口／平成22年平均,2010,11388,1309,1901,2166,1617,1674,2721,15,-56,-44,17,49,-7,56,0.1,-4.1,-2.3,0.8,3.1,-0.4,2.1
15歳以上人口／平成23年平均,2011,11694,1336,1996,2276,1692,1692,2702,306,27,95,110,75,18,-19,2.7,2.1,5,5.1,4.6,1.1,-0.7
15歳以上人口／平成24年平均,2012,11730,1314,1962,2278,1749,1635,2791,36,-22,-34,2,57,-57,89,0.3,-1.6,-1.7,0.1,3.4,-3.4,3.3
