"年月[西暦]","調査項目","設問","事業所の従業者数","選択肢A[件]","選択肢B[件]","選択肢C[件]","選択肢D[件]","選択肢E[件]","選択肢F[件]","選択肢G[件]","選択肢H[件]","選択肢I[件]","選択肢J[件]","選択肢K[件]","選択肢L[件]","選択肢M[件]","選択肢N[件]","選択肢O[件]","選択肢P[件]","選択肢A[%]","選択肢B[%]","選択肢C[%]","選択肢D[%]","選択肢E[%]","選択肢F[%]","選択肢G[%]","選択肢H[%]","選択肢I[%]","選択肢J[%]","選択肢K[%]","選択肢L[%]","選択肢M[%]","選択肢N[%]","選択肢O[%]","選択肢P[%]"
"202003","環境に関する取組","Q2. 貴組織の事業活動における環境に配慮した取組の中で、重要な課題として位置づけられているものは何ですか。（○はいくつでも）","1～4人","12","6","2","13","15","6","5","3","6","10","2","0","0","5","5","1","38.7","19.4","6.5","41.9","48.4","19.4","16.1","9.7","19.4","32.3","6.5","0.0","0.0","16.1","16.1","3.2"
"202003","環境に関する取組","Q2. 貴組織の事業活動における環境に配慮した取組の中で、重要な課題として位置づけられているものは何ですか。（○はいくつでも）","5～9人","16","6","5","12","6","4","4","2","2","6","1","1","0","6","1","0","64.0","24.0","20.0","48.0","24.0","16.0","16.0","8.0","8.0","24.0","4.0","4.0","0.0","24.0","4.0","0.0"
"202003","環境に関する取組","Q2. 貴組織の事業活動における環境に配慮した取組の中で、重要な課題として位置づけられているものは何ですか。（○はいくつでも）","10～19人","6","4","2","5","3","1","1","1","2","2","1","2","2","2","1","0","54.5","36.4","18.2","45.5","27.3","9.1","9.1","9.1","18.2","18.2","9.1","18.2","18.2","18.2","9.1","0.0"
"202003","環境に関する取組","Q2. 貴組織の事業活動における環境に配慮した取組の中で、重要な課題として位置づけられているものは何ですか。（○はいくつでも）","20～49人","4","0","1","1","5","0","1","0","0","1","0","3","1","1","2","0","40.0","0.0","10.0","10.0","50.0","0.0","10.0","0.0","0.0","10.0","0.0","30.0","10.0","10.0","20.0","0.0"
"202003","環境に関する取組","Q2. 貴組織の事業活動における環境に配慮した取組の中で、重要な課題として位置づけられているものは何ですか。（○はいくつでも）","50～99人","8","3","1","6","4","1","1","0","1","2","1","3","1","3","0","0","80.0","30.0","10.0","60.0","40.0","10.0","10.0","0.0","10.0","20.0","10.0","30.0","10.0","30.0","0.0","0.0"
"202003","環境に関する取組","Q2. 貴組織の事業活動における環境に配慮した取組の中で、重要な課題として位置づけられているものは何ですか。（○はいくつでも）","100～299人","6","4","1","7","5","2","2","1","3","3","2","4","3","2","2","0","50.0","33.3","8.3","58.3","41.7","16.7","16.7","8.3","25.0","25.0","16.7","33.3","25.0","16.7","16.7","0.0"
"202003","環境に関する取組","Q2. 貴組織の事業活動における環境に配慮した取組の中で、重要な課題として位置づけられているものは何ですか。（○はいくつでも）","300人以上","24","23","17","21","24","12","10","10","11","16","15","20","18","19","0","0","85.7","82.1","60.7","75.0","85.7","42.9","35.7","35.7","39.3","57.1","53.6","71.4","64.3","67.9","0.0","0.0"
"202003","環境に関する取組","Q2. 貴組織の事業活動における環境に配慮した取組の中で、重要な課題として位置づけられているものは何ですか。（○はいくつでも）","無回答","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0.0","0.0","0.0","0.0","50.0","0.0","0.0","0.0","50.0","0.0","0.0","0.0","0.0","0.0","50.0","0.0"

"港区の環境に関する事業者アンケート調査結果・クロス集計表・環境に関する取組Q2","Ver202003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
