 2-(4)入港船舶係留施設別表,,,,,,,,,,,,単位：隻、総トン
係留施設,合計,,,,外航船,,,,内航船,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"2,143 ","15,772,021 ","13,892 ","105,399,315 ",451 ,"11,565,837 ","3,048 ","78,334,948 ","1,692 ","4,206,184 ","10,844 ","27,064,367 "
公共計,"1,114 ","5,995,930 ","6,902 ","38,965,887 ",179 ,"2,647,371 ","1,217 ","18,152,124 ",935 ,"3,348,559 ","5,685 ","20,813,763 "
ドルフィン,5 ,"3,478 ",32 ,"20,902 ",-,-,-,-,5 ,"3,478 ",32 ,"20,902 "
芝浦ふ頭,34 ,"81,721 ",224 ,"575,844 ",-,-,-,-,34 ,"81,721 ",224 ,"575,844 "
芝浦物揚場,28 ,"12,621 ",171 ,"78,482 ",-,-,-,-,28 ,"12,621 ",171 ,"78,482 "
日の出ふ頭,9 ,"5,779 ",50 ,"37,774 ",-,-,-,-,9 ,"5,779 ",50 ,"37,774 "
竹芝ふ頭,215 ,"427,321 ","1,121 ","2,433,610 ",-,-,-,-,215 ,"427,321 ","1,121 ","2,433,610 "
品川岸壁,148 ,"1,666,898 ","1,011 ","10,909,036 ",76 ,"787,723 ",517 ,"5,209,216 ",72 ,"879,175 ",494 ,"5,699,820 "
　品川コンテナ,79 ,"752,766 ",539 ,"4,940,014 ",73 ,"746,677 ",494 ,"4,896,392 ",6 ,"6,089 ",45 ,"43,622 "
　品川外貿,3 ,"41,046 ",23 ,"312,824 ",3 ,"41,046 ",23 ,"312,824 ",-,-,-,-
　品川内貿,66 ,"873,086 ",449 ,"5,656,198 ",-,-,-,-,66 ,"873,086 ",449 ,"5,656,198 "
晴海ふ頭,15 ,"76,075 ",55 ,"1,034,203 ",1 ,"60,154 ",23 ,"918,242 ",14 ,"15,921 ",32 ,"115,961 "
月島ふ頭,5 ,"1,969 ",24 ,"8,811 ",-,-,-,-,5 ,"1,969 ",24 ,"8,811 "
漁業基地,3 ,"3,522 ",16 ,"22,321 ",-,-,-,-,3 ,"3,522 ",16 ,"22,321 "
10号西岸壁,83 ,"922,298 ",501 ,"5,429,252 ",-,-,-,-,83 ,"922,298 ",501 ,"5,429,252 "
10号東岸壁,32 ,"14,173 ",215 ,"95,805 ",-,-,-,-,32 ,"14,173 ",215 ,"95,805 "
東京港フェリーふ頭,31 ,"391,716 ",202 ,"2,552,472 ",-,-,-,-,31 ,"391,716 ",202 ,"2,552,472 "
多目的ふ頭,7 ,"11,156 ",14 ,"36,859 ",1 ,"1,920 ",1 ,"1,920 ",6 ,"9,236 ",13 ,"34,939 "
辰巳ふ頭,80 ,"27,206 ",582 ,"205,638 ",-,-,-,-,80 ,"27,206 ",582 ,"205,638 "
青海コンテナふ頭（公共）,145 ,"1,712,615 ",923 ,"10,719,480 ",92 ,"1,666,431 ",594 ,"10,433,080 ",53 ,"46,184 ",329 ,"286,400 "
有明ふ頭,8 ,"5,579 ",43 ,"35,763 ",-,-,-,-,8 ,"5,579 ",43 ,"35,763 "
大井水産物ふ頭,-,-,5 ,"418,561 ",-,-,5 ,"418,561 ",-,-,-,-
大井食品ふ頭（OL）,13 ,"41,920 ",139 ,"475,624 ",2 ,"40,245 ",21 ,"457,107 ",11 ,"1,675 ",118 ,"18,517 "
大井食品ふ頭（OM）,6 ,"55,658 ",34 ,"308,570 ",6 ,"55,658 ",34 ,"308,570 ",-,-,-,-
大井食品ふ頭（ON）,-,-,3 ,"34,052 ",-,-,3 ,"34,052 ",-,-,-,-
若洲内貿ふ頭,13 ,"130,442 ",84 ,"842,856 ",-,-,-,-,13 ,"130,442 ",84 ,"842,856 "
15号地木材ふ頭,14 ,"37,677 ",38 ,"237,550 ",1 ,"35,240 ",7 ,"231,032 ",13 ,"2,437 ",31 ,"6,518 "
若洲建材ふ頭,41 ,"23,120 ",289 ,"165,275 ",-,-,-,-,41 ,"23,120 ",289 ,"165,275 "
大井建材ふ頭,82 ,"48,368 ",578 ,"334,723 ",-,-,-,-,82 ,"48,368 ",578 ,"334,723 "
城南島建設発生土ふ頭,56 ,"36,503 ",295 ,"193,450 ",-,-,-,-,56 ,"36,503 ",295 ,"193,450 "
中央防波堤内側ばら物ふ頭,9 ,"5,737 ",37 ,"154,697 ",-,-,12 ,"140,344 ",9 ,"5,737 ",25 ,"14,353 "
中央防波堤内側建設発生土ふ頭,-,-,22 ,"30,751 ",-,-,-,-,-,-,22 ,"30,751 "
中央防波堤内側内貿ふ頭,23 ,"243,495 ",144 ,"1,524,339 ",-,-,-,-,23 ,"243,495 ",144 ,"1,524,339 "
官公庁（晴海）,2 ,"5,200 ",11 ,"25,532 ",-,-,-,-,2 ,"5,200 ",11 ,"25,532 "
官公庁（月島）,6 ,"1,186 ",32 ,"6,176 ",-,-,-,-,6 ,"1,186 ",32 ,"6,176 "
官公庁（有明）,1 ,"2,497 ",7 ,"17,479 ",-,-,-,-,1 ,"2,497 ",7 ,"17,479 "
東京港埠頭㈱計,401 ,"8,840,958 ","2,605 ","59,734,306 ",246 ,"8,633,622 ","1,654 ","58,153,652 ",155 ,"207,336 ",951 ,"1,580,654 "
青海コンテナふ頭(埠頭㈱),81 ,"2,018,998 ",522 ,"13,165,440 ",67 ,"2,006,429 ",436 ,"13,082,115 ",14 ,"12,569 ",86 ,"83,325 "
お台場ライナーふ頭,33 ,"269,661 ",242 ,"1,693,313 ",11 ,"202,586 ",80 ,"1,149,983 ",22 ,"67,075 ",162 ,"543,330 "
大井コンテナふ頭,287 ,"6,552,299 ","1,841 ","44,875,553 ",168 ,"6,424,607 ","1,138 ","43,921,554 ",119 ,"127,692 ",703 ,"953,999 "
民間計,628 ,"935,133 ","4,385 ","6,699,122 ",26 ,"284,844 ",177 ,"2,029,172 ",602 ,"650,289 ","4,208 ","4,669,950 "
(注) 実績の無いけい留施設は表示なし,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
