 3-(2)海上出入貨物品種別表,,,,,,,,,,,,,,,(単位：トン）
品種,,合計,,輸出,,,,輸入,,,,移出,,移入,
,,,,計,,コンテナ,,計,,コンテナ,,,,,
,,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計
合計,,"7,921,074","51,696,211","1,106,244","7,287,000","1,066,185","6,982,357","3,258,592","20,868,319","3,173,474","20,144,804","1,402,449","8,898,246","2,153,789","14,642,646"
農水産品,,"506,892","3,332,940","22,364","163,799","22,334","163,696","452,584","2,947,122","388,949","2,455,587","18,091","103,135","13,853","118,884"
1,麦,"20,463","176,556",-,4,-,4,"14,624","124,560","3,111","15,931","1,278","7,263","4,561","44,729"
2,米,"6,869","43,224",354,"2,226",354,"2,226","2,880","14,803","2,880","14,803","2,370","18,555","1,265","7,640"
3,とうもろこし,"2,145","7,211",-,-,-,-,"2,145","6,872","2,145","6,872",-,339,-,-
4,豆類,"18,684","108,928",81,286,81,286,"16,688","97,137","16,688","97,137","1,495","8,905",420,"2,600"
5,その他雑穀,485,"5,685",-,-,-,-,420,"4,290",420,"4,290",30,"1,195",35,200
6,野菜・果物,"164,565","1,155,403","1,204","13,631","1,174","13,528","151,934","1,074,194","99,812","691,288","9,063","41,069","2,364","26,509"
7,綿花,146,413,71,149,71,149,75,234,75,234,-,-,-,30
8,その他農産品,"25,453","150,682",752,"5,770",752,"5,770","23,908","141,267","23,908","141,267",698,"2,790",95,855
9,羊毛,30,334,-,-,-,-,30,313,30,313,-,21,-,-
10,その他畜産品,"171,325","1,014,348","2,486","20,903","2,486","20,903","164,762","968,243","164,762","968,243",977,"9,369","3,100","15,833"
11,水産品,"96,727","670,156","17,416","120,830","17,416","120,830","75,118","515,209","75,118","515,209","2,180","13,629","2,013","20,488"
林産品,,"109,365","682,505","1,562","12,423","1,562","11,717","96,293","608,799","87,133","557,180","10,317","44,625","1,193","16,658"
12,原木,62,"3,957",32,"2,177",32,"2,177",30,"1,678",30,"1,678",-,22,-,80
13,製材,"93,519","584,073","1,491","9,941","1,491","9,235","82,527","526,562","73,367","474,943","8,887","36,403",614,"11,167"
14,樹脂類,"7,816","50,943",11,162,11,162,"6,840","43,421","6,840","43,421",565,"4,660",400,"2,700"
15,木材チップ,480,"4,431",15,106,15,106,405,"3,647",405,"3,647",-,30,60,648
16,その他林産品,"1,119","6,257",-,4,-,4,180,910,180,910,835,"3,375",104,"1,968"
17,薪炭,"6,369","32,844",13,33,13,33,"6,311","32,581","6,311","32,581",30,135,15,95
鉱産品,,"475,457","3,411,888","2,224","14,017","2,224","14,017","29,040","281,733","29,032","187,713","4,861","61,717","439,332","3,054,421"
18,石炭,"4,147","81,065",225,262,225,262,"3,922","80,783","3,922","31,402",-,-,-,20
19,鉄鉱石,-,60,-,-,-,-,-,60,-,60,-,-,-,-
20,金属鉱,650,"3,505",-,3,-,3,390,"2,802",390,"2,802",260,700,-,-
21,砂利・砂,"340,241","2,350,855",-,378,-,378,"1,872","12,900","1,872","12,900",115,"23,634","338,254","2,313,943"
22,石材,"80,996","598,994",361,"3,462",361,"3,462","8,755","57,162","8,747","57,154",150,"1,533","71,730","536,837"
23,原油,300,"1,541",-,-,-,-,300,"1,541",300,"1,541",-,-,-,-
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,石灰石,"20,165","140,949",-,-,-,-,22,"1,056",22,"1,056",45,430,"20,098","139,463"
26,原塩,"1,486","8,671",4,32,4,32,"1,442","7,479","1,442","7,479",-,20,40,"1,140"
27,非金属鉱物,"27,472","226,248","1,634","9,880","1,634","9,880","12,337","117,950","12,337","73,319","4,291","35,400","9,210","63,018"
金属機械工業品,,"2,654,981","17,473,300","465,479","3,060,342","462,265","3,040,161","791,201","5,067,874","783,297","5,013,615","749,090","4,949,309","649,211","4,395,775"
28,鉄鋼,"6,269","55,166","2,133","24,016","2,133","14,860","3,076","22,390","3,076","17,661",250,"1,740",810,"7,020"
29,鋼材,"130,622","898,049","20,755","145,312","20,755","145,265","15,470","92,173","10,290","70,716","3,039","12,338","91,358","648,226"
