（輸出）,, 5-(2)外貿コンテナ貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"1,066,185",98.1%,"6,982,357",94.9%,100.0%
1,アメリカ,"286,466",129.0%,"1,787,364",114.4%,25.6%
2,中国,"238,206",71.4%,"1,773,949",86.4%,25.4%
,(香港),"30,703",86.1%,"237,386",87.1%,3.4%
3,タイ,"67,914",90.0%,"480,709",84.8%,6.9%
4,ベトナム,"72,329",170.0%,"390,034",112.8%,5.6%
5,台湾,"44,761",90.3%,"319,418",85.9%,4.6%
6,オランダ,"47,454",104.5%,"285,073",91.8%,4.1%
7,韓国,"40,939",91.2%,"266,238",90.9%,3.8%
8,マレーシア,"33,566",69.5%,"248,596",80.7%,3.6%
9,インドネシア,"39,611",86.7%,"228,402",91.7%,3.3%
10,インド,"33,908",120.2%,"211,569",112.4%,3.0%
11,ドイツ,"21,329",112.0%,"140,407",105.5%,2.0%
12,フィリピン,"21,575",115.9%,"130,616",90.8%,1.9%
13,シンガポール,"19,287",98.3%,"127,389",94.3%,1.8%
14,イギリス,"15,539",115.2%,"84,740",81.8%,1.2%
15,カナダ,"10,071",65.6%,"78,561",86.9%,1.1%
16,ロシア,"9,812",135.6%,"58,070",104.0%,0.8%
17,アラブ首長国,"6,963",138.7%,"40,225",92.2%,0.6%
18,ブラジル,"7,524",128.2%,"39,413",89.4%,0.6%
19,フランス,"5,853",99.3%,"33,908",83.6%,0.5%
20,オーストラリア,"4,789",122.3%,"27,991",92.2%,0.4%
,その他,"38,289",104.9%,"229,685",79.2%,3.3%
,,,,,,
