"施設名称","施設所在地","施設方書","施設電話番号","施設開設日","診療科目名称","緯度","経度"
"橋本整骨院","東京都港区赤坂一丁目1番17号","細川ビル412",,"2015/9/29","柔道整復","35.670979","139.743988"
"あかさか二丁目接骨院","東京都港区赤坂二丁目8番15号","オリエントニュー赤坂101","03-5575-7775","2015/4/21","柔道整復","35.671762","139.739876"
"赤坂ＮＥＰ‘Ｓ整骨院","東京都港区赤坂二丁目14番33号","栄屋清水ビル301","03-3587-2146","2010/10/1","柔道整復","35.672798","139.73772"
"越前谷整骨院","東京都港区赤坂二丁目20番16号","第3村嶋ビル1階","050-1474-5383","2018/9/13","柔道整復","35.669031","139.738812"
"赤坂島田整骨院","東京都港区赤坂三丁目10番5号","赤坂クインビル5階","03-3583-1996","1978/9/25","柔道整復","35.675956","139.736921"
"赤坂てんほう整骨院","東京都港区赤坂三丁目16番5号","ユタカ産業ビル503","03-5545-5267","2023/7/23","柔道整復","35.674794","139.736662"
"グリュック整骨院","東京都港区赤坂三丁目21番5号","三銀ビル106","03-6441-0057","2017/7/24","柔道整復","35.676791","139.735964"
"整骨院はぐるま堂","東京都港区赤坂三丁目21番5号","三銀ビル605","03-6435-5867","2018/10/1","柔道整復","35.676791","139.735964"
"赤坂テイクキュア接骨院","東京都港区赤坂三丁目21番12号","スリーリバースビル地下1階","03-3586-4588","2007/8/1","柔道整復","35.676401","139.735774"
"ほぐほぐ整骨院","東京都港区赤坂四丁目1番4号","堀江ビル1階","03-3589-3939","2014/7/1","柔道整復","35.676606","139.735435"
"龍王赤坂接骨院","東京都港区赤坂四丁目2番32号","末広ビル302","03-3587-0796","1986/8/5","柔道整復","35.675508","139.73572"
"下村接骨院","東京都港区赤坂四丁目11番9号",,"03-3586-3690","1998/6/24","柔道整復","35.673565","139.733602"
"赤坂ヒルズ整骨院","東京都港区赤坂六丁目15番12号","富岳ビル1階","03-3586-2017","2020/2/1","柔道整復","35.668887","139.732531"
"赤坂山王整骨院","東京都港区赤坂七丁目10番6号","ストークビル赤坂405号室","03-3588-8588","2023/10/1","柔道整復","35.6697","139.732771"
"ゆめや接骨院","東京都港区麻布十番一丁目5番24号","第三長門ビル201","03-6434-7838","2015/5/1","柔道整復","35.657099","139.733010"
"麻布十番七面坂整骨院","東京都港区麻布十番二丁目8番2号",,"03-6676-1151","2016/9/12","柔道整復","35.655770","139.734076"
"やまと接骨院","東京都港区麻布十番二丁目8番8号","麻布十番ミレニアムタワー401号","03-6722-6166","2021/1/12","柔道整復","35.655329","139.734766"
