"年月[西暦]","調査項目","設問","住宅関連のサービス","選択肢","件数[人]","(全体)[%]","(除不)[%]"
"202003","生活状況等について","Q4. 港区で行われている住宅関連のサービスについておたずねします。知っているサービス、利用したことがあるサービス（過去１年以内）、今後利用したいサービスそれぞれについて、あてはまるものに○をつけてください。（項目ア～エについて「１」～「４」に○を１つずつ）","ア．公営住宅の優先入居","利用したことがある","10","4.1","5.0"
"202003","生活状況等について","Q4. 港区で行われている住宅関連のサービスについておたずねします。知っているサービス、利用したことがあるサービス（過去１年以内）、今後利用したいサービスそれぞれについて、あてはまるものに○をつけてください。（項目ア～エについて「１」～「４」に○を１つずつ）","ア．公営住宅の優先入居","今後利用したい","35","14.3","17.3"
"202003","生活状況等について","Q4. 港区で行われている住宅関連のサービスについておたずねします。知っているサービス、利用したことがあるサービス（過去１年以内）、今後利用したいサービスそれぞれについて、あてはまるものに○をつけてください。（項目ア～エについて「１」～「４」に○を１つずつ）","ア．公営住宅の優先入居","知っているが利用したいと思わない","65","26.5","32.2"
"202003","生活状況等について","Q4. 港区で行われている住宅関連のサービスについておたずねします。知っているサービス、利用したことがあるサービス（過去１年以内）、今後利用したいサービスそれぞれについて、あてはまるものに○をつけてください。（項目ア～エについて「１」～「４」に○を１つずつ）","ア．公営住宅の優先入居","知らない","92","37.6","45.5"
"202003","生活状況等について","Q4. 港区で行われている住宅関連のサービスについておたずねします。知っているサービス、利用したことがあるサービス（過去１年以内）、今後利用したいサービスそれぞれについて、あてはまるものに○をつけてください。（項目ア～エについて「１」～「４」に○を１つずつ）","ア．公営住宅の優先入居","無回答","43","17.6",
"202003","生活状況等について","Q4. 港区で行われている住宅関連のサービスについておたずねします。知っているサービス、利用したことがあるサービス（過去１年以内）、今後利用したいサービスそれぞれについて、あてはまるものに○をつけてください。（項目ア～エについて「１」～「４」に○を１つずつ）","イ．住宅設備改善および日常生活用具の給付","利用したことがある","21","8.6","10.5"
"202003","生活状況等について","Q4. 港区で行われている住宅関連のサービスについておたずねします。知っているサービス、利用したことがあるサービス（過去１年以内）、今後利用したいサービスそれぞれについて、あてはまるものに○をつけてください。（項目ア～エについて「１」～「４」に○を１つずつ）","イ．住宅設備改善および日常生活用具の給付","今後利用したい","42","17.1","21.0"
"202003","生活状況等について","Q4. 港区で行われている住宅関連のサービスについておたずねします。知っているサービス、利用したことがあるサービス（過去１年以内）、今後利用したいサービスそれぞれについて、あてはまるものに○をつけてください。（項目ア～エについて「１」～「４」に○を１つずつ）","イ．住宅設備改善および日常生活用具の給付","知っているが利用したいと思わない","36","14.7","18.0"
"202003","生活状況等について","Q4. 港区で行われている住宅関連のサービスについておたずねします。知っているサービス、利用したことがあるサービス（過去１年以内）、今後利用したいサービスそれぞれについて、あてはまるものに○をつけてください。（項目ア～エについて「１」～「４」に○を１つずつ）","イ．住宅設備改善および日常生活用具の給付","知らない","101","41.2","50.5"
"202003","生活状況等について","Q4. 港区で行われている住宅関連のサービスについておたずねします。知っているサービス、利用したことがあるサービス（過去１年以内）、今後利用したいサービスそれぞれについて、あてはまるものに○をつけてください。（項目ア～エについて「１」～「４」に○を１つずつ）","イ．住宅設備改善および日常生活用具の給付","無回答","45","18.4",
"202003","生活状況等について","Q4. 港区で行われている住宅関連のサービスについておたずねします。知っているサービス、利用したことがあるサービス（過去１年以内）、今後利用したいサービスそれぞれについて、あてはまるものに○をつけてください。（項目ア～エについて「１」～「４」に○を１つずつ）","ウ．障害者住宅","利用したことがある","6","2.4","3.0"
"202003","生活状況等について","Q4. 港区で行われている住宅関連のサービスについておたずねします。知っているサービス、利用したことがあるサービス（過去１年以内）、今後利用したいサービスそれぞれについて、あてはまるものに○をつけてください。（項目ア～エについて「１」～「４」に○を１つずつ）","ウ．障害者住宅","今後利用したい","39","15.9","19.7"
"202003","生活状況等について","Q4. 港区で行われている住宅関連のサービスについておたずねします。知っているサービス、利用したことがあるサービス（過去１年以内）、今後利用したいサービスそれぞれについて、あてはまるものに○をつけてください。（項目ア～エについて「１」～「４」に○を１つずつ）","ウ．障害者住宅","知っているが利用したいと思わない","52","21.2","26.3"
