和暦（年次）・(各年1月1日),西暦（年次）・(各年1月1日),総数／人口(人),総数／増減数(人),男女別／男／人口(人),男女別／男／増減数(人),男女別／女／人口(人),男女別／女／増減数(人),地域別／区部／人口(人),地域別／区部／増減数(人),地域別／市部／人口(人),地域別／市部／増減数(人),地域別／町村部／人口(人),地域別／町村部／増減数(人)
昭和32,1957,8259474,-,4252152,-,4007322,-,7142559,-,1035603,-,81312,-
昭和33,1958,8524433,264959,4399593,147441,4124840,117518,7359266,216707,1084404,48801,80763,-549
昭和34,1959,8828705,304272,4560824,161231,4267881,143041,7598964,239698,1146960,62556,82781,2018
昭和35,1960,9106349,277644,4706355,145531,4399994,132113,7796178,197214,1227950,80990,82221,-560
昭和36,1961,9398171,291822,4863570,157215,4534601,134607,8008586,212408,1308113,80163,81472,-749
昭和37,1962,9665590,267419,4998400,134830,4667190,132589,8185654,177068,1399742,91629,80194,-1278
昭和38,1963,9932080,266490,5126640,128240,4805440,138250,8334768,149114,1517438,117696,79874,-320
昭和39,1964,10197370,265290,5258077,131437,4939293,133853,8463088,128320,1654529,137091,79753,-121
昭和40,1965,10385484,188114,5339109,81032,5046375,107082,8526980,63892,1777881,123352,80623,870
昭和41,1966,10616733,231249,5448650,109541,5168083,121708,8623568,96588,1912874,134993,80291,-332
昭和42,1967,10719948,103215,5483591,34941,5236357,68274,8622063,-1505,2018455,105581,79430,-861
昭和43,1968,10842612,122664,5537715,54124,5304897,68540,8631734,9671,2131602,113147,79276,-154
昭和44,1969,10997792,155180,5614252,76537,5383540,78643,8663875,32141,2254989,123387,78928,-348
昭和45,1970,11109453,111661,5661730,47478,5447723,64183,8658399,-5476,2372639,117650,78415,-513
昭和46,1971,11199482,90029,5698395,36665,5501087,53364,8635657,-22742,2485182,112543,78643,228
昭和47,1972,11294572,95090,5733611,35216,5560961,59874,8614935,-20722,2600164,114982,79473,830
昭和48,1973,11360670,66098,5754890,21279,5605780,44819,8581836,-33099,2698177,98013,80657,1184
昭和49,1974,11389985,29315,5757906,3016,5632079,26299,8526782,-55054,2781335,83158,81868,1211
昭和50,1975,11392619,2634,5749636,-8270,5642983,10904,8464344,-62438,2845544,64209,82731,863
昭和51,1976,11415440,22821,5751520,1884,5663920,20937,8428840,-35504,2903544,58000,83056,325
昭和52,1977,11422580,7140,5747803,-3717,5674777,10857,8370514,-58326,2968766,65222,83300,244
昭和53,1978,11426018,3438,5742701,-5102,5683317,8540,8315625,-54889,3026817,58051,83576,276
昭和54,1979,11430896,4878,5743483,782,5687413,4096,8272317,-43308,3074418,47601,84161,585
昭和55,1980,11422630,-8266,5735817,-7666,5686813,-600,8229494,-42823,3108524,34106,84612,451
昭和56,1981,11415037,-7593,5730387,-5430,5684650,-2163,8193860,-35634,3135505,26981,85672,1060
昭和57,1982,11431882,16845,5738532,8145,5693350,8700,8174924,-18936,3169979,34474,86979,1307
昭和58,1983,11479125,47243,5766030,27498,5713095,19745,8181242,6318,3209608,39629,88275,1296
昭和59,1984,11543806,64681,5802089,36059,5741717,28622,8201584,20342,3253194,43586,89028,753
昭和60,1985,11612356,68550,5837114,35025,5775242,33525,8223199,21615,3299545,46351,89612,584
昭和61,1986,11682315,69959,5873396,36282,5808919,33677,8243292,20093,3348841,49296,90182,570
昭和62,1987,11740896,58581,5905397,32001,5835499,26580,8251910,8618,3398317,49476,90669,487
昭和63,1988,11740361,-535,5908098,2701,5832263,-3236,8205865,-46045,3443016,44699,91480,811
昭和64,1989,11718720,-21641,5897900,-10198,5820820,-11443,8150115,-55750,3476579,33563,92026,546
平成2,1990,11698060,-20660,5883398,-14502,5814662,-6158,8091701,-58414,3513779,37200,92580,554
平成3,1991,11684927,-13133,5872424,-10974,5812503,-2159,8045577,-46124,3546414,32635,92936,356
平成4,1992,11683316,-1611,5865617,-6807,5817699,5196,8012523,-33054,3577677,31263,93116,180
平成5,1993,11666227,-17089,5850386,-15231,5815841,-1858,7969439,-43084,3603748,26071,93040,-76
平成6,1994,11627577,-38650,5824125,-26261,5803452,-12389,7913299,-56140,3620949,17201,93329,289
平成7,1995,11598634,-28943,5803315,-20810,5795319,-8133,7871159,-42140,3634040,13091,93435,106
平成8,1996,11587726,-10908,5791829,-11486,5795897,578,7846487,-24672,3647690,13650,93549,114
平成9,1997,11602642,14916,5793911,2082,5808731,12834,7846823,336,3662487,14797,93332,-217
平成10,1998,11641308,38666,5808485,14574,5832823,24092,7863301,16478,3685048,22561,92959,-373
平成11,1999,11694934,53626,5832504,24019,5862430,29607,7892267,28966,3709849,24801,92818,-141
平成12,2000,11750351,55417,5857130,24626,5893221,30791,7921476,29209,3736208,26359,92667,-151
平成13,2001,11823029,72678,5892229,35099,5930800,37579,7967602,46126,3762984,26776,92443,-224
平成14,2002,11907350,84321,5932231,40002,5975119,44319,8023202,55600,3792262,29278,91886,-557
平成15,2003,11996211,88861,5973910,41679,6022301,47182,8081959,58757,3822699,30437,91553,-333
平成16,2004,12074598,78387,6008358,34448,6066240,43939,8129801,47842,3854036,31337,90761,-792
平成17,2005,12161029,86431,6047173,38815,6113856,47616,8183907,54106,3887161,33125,89961,-800
平成18,2006,12247024,85995,6087228,40055,6159796,45940,8247810,63903,3910232,23071,88982,-979
平成19,2007,12339259,92235,6130991,43763,6208268,48472,8318841,71031,3931755,21523,88663,-319
平成20,2008,12433235,93976,6175811,44820,6257424,49156,8387659,68818,3957693,25938,87883,-780
平成21,2009,12517299,84064,6216067,40256,6301232,43808,8451067,63408,3978689,20996,87543,-340
平成22,2010,12591643,74344,6249973,33906,6341670,40438,8502527,51460,4001781,23092,87335,-208
平成23,2011,12646745,55102,6269830,19857,6376915,35245,8541979,39452,4017752,15971,87014,-321
平成24,2012,12686067,39322,6283796,13966,6402271,25356,8575228,33249,4024146,6394,86693,-321
平成25,2013,12740088,54021,6306859,23063,6433229,30958,8624309,49081,4029607,5461,86172,-521
平成26,2014,12807631,67543,6335735,28876,6471896,38667,8685756,61447,4036448,6841,85427,-745
平成27,2015,12880144,72513,6366590,30855,6513554,41658,8751735,65979,4043532,7084,84877,-550
平成28,2016,12966307,86163,6404647,38057,6561660,48106,8827070,75335,4054848,11316,84389,-488
平成29,2017,13043707,77400,6438100,33453,6605607,43947,8892312,65242,4067867,13019,83528,-861
平成30,2018,13115848,72141,6466115,28015,6649733,44126,8956636,64324,4076373,8506,82839,-689
平成31,2019,13189049,73201,6495215,29100,6693834,44101,9021427,64791,4085767,9394,81855,-984
令和2,2020,13257596,68547,6522813,27598,6734783,40949,9084642,63215,4092190,6423,80764,-1091
令和3,2021,13297089,39493,6537442,14629,6759647,24864,9115890,31248,4101271,9081,79928,-836
令和4,2022,13277052,-20037,6522919,-14523,6754133,-5514,9092428,-23462,4105528,4257,79096,-832
令和5,2023,13260553,-16499,6509894,-13025,6750659,-3474,9083767,-8661,4098680,-6848,78106,-990
令和6,2024,13264486,3933,6507674,-2220,6756812,6153,9100160,16393,4087157,-11523,77169,-937
,,,,,,,,,,,,,
住民基本台帳による東京都の世帯と人口　令和6年1月,,,,,,,,,,,,,
時系列　第３表　 男女別人口及び地域別人口（日本人）　(昭和32年～令和6年),,,,,,,,,,,,,
