年度,区分,受験者数Ａ,合格者数Ｂ,倍率Ａ/Ｂ（倍）
平成14年度,区分1,1078,777,1.4
平成14年度,区分2／小学校,531,441,1.2
平成14年度,区分2／中学校,401,324,1.2
平成14年度,区分2／高等学校,206,165,1.2
平成14年度,区分2／盲・ろう・養護学校,42,30,1.4
平成14年度,区分2／計,1180,960,1.2
平成14年度,合計,2258,1737,1.3
平成15年度,区分1,721,584,1.2
平成15年度,区分2／小学校,265,214,1.2
平成15年度,区分2／中学校,216,176,1.2
平成15年度,区分2／高等学校,128,99,1.3
平成15年度,区分2／盲・ろう・養護学校,26,18,1.4
平成15年度,区分2／計,635,507,1.3
平成15年度,合計,1356,1091,1.2
平成16年度,区分1,378,329,1.1
平成16年度,区分2／小学校,134,113,1.2
平成16年度,区分2／中学校,124,103,1.2
平成16年度,区分2／高等学校,72,63,1.1
平成16年度,区分2／盲・ろう・養護学校,19,17,1.1
平成16年度,区分2／計,349,296,1.2
平成16年度,合計,727,625,1.2
平成17年度,区分1,355,332,1.1
平成17年度,区分2／小学校,147,130,1.1
平成17年度,区分2／中学校,123,110,1.1
平成17年度,区分2／高等学校,91,81,1.1
平成17年度,区分2／盲・ろう・養護学校,28,27,1
平成17年度,区分2／計,389,348,1.1
平成17年度,合計,744,680,1.1
