年度,選考種別,受験者数Ａ,最終合格者数Ｂ,倍率A/B(倍),
平成12年度,Ａ選考,833,107,7.8,
平成12年度,Ｂ選考／小学校,520,164,3.2,
平成12年度,Ｂ選考／中学校,373,30,12.4,
平成12年度,Ｂ選考／高等学校,154,36,4.3,
平成12年度,Ｂ選考／盲･ろう･養護学校,37,10,3.7,
平成12年度,Ｂ選考／Ｂ選考合計,1084,240,4.5,
平成12年度,Ａ・Ｂ選考合計,1917,347,5.5,
平成13年度,Ａ選考,655,128,5.1,
平成13年度,Ｂ選考／小学校,453,137,3.3,
平成13年度,Ｂ選考／中学校,363,40,9.1,
平成13年度,Ｂ選考／高等学校,131,35,3.7,
平成13年度,Ｂ選考／盲･ろう･養護学校,32,8,4.0,
平成13年度,Ｂ選考／Ｂ選考合計,979,220,4.5,
平成13年度,Ａ・Ｂ選考合計,1634,348,4.7,
平成14年度,Ａ選考,531,125,4.2,
平成14年度,Ｂ選考／小学校,414,181,2.3,
平成14年度,Ｂ選考／中学校,376,41,9.2,
平成14年度,Ｂ選考／高等学校,126,36,3.5,
平成14年度,Ｂ選考／盲･ろう･養護学校,31,8,3.9,
平成14年度,Ｂ選考／Ｂ選考合計,947,266,3.6,
平成14年度,Ａ・Ｂ選考合計,1478,391,3.8,
平成15年度,Ａ選考,390,130,3.0,
平成15年度,Ｂ選考／小学校,344,156,2.2,
平成15年度,Ｂ選考／中学校,377,30,12.6,
平成15年度,Ｂ選考／高等学校,119,24,5.0,
平成15年度,Ｂ選考／盲･ろう･養護学校,30,6,5.0,
平成15年度,Ｂ選考／Ｂ選考合計,870,216,4.0,
平成15年度,Ａ・Ｂ選考合計,1260,346,3.6,
平成16年度,Ａ選考,258,108,2.4,
平成16年度,Ｂ選考／小学校,297,125,2.4,
平成16年度,Ｂ選考／中学校,410,39,10.5,
平成16年度,Ｂ選考／高等学校,129,10,12.9,
平成16年度,Ｂ選考／盲･ろう･養護学校,35,5,7.0,
平成16年度,Ｂ選考／Ｂ選考合計,871,179,4.9,
平成16年度,Ａ・Ｂ選考合計,1129,287,3.9,
平成17年度,Ａ選考,188,86,2.2,
平成17年度,Ｂ選考／小学校,275,143,1.9,
平成17年度,Ｂ選考／中学校,433,100,4.3,
平成17年度,Ｂ選考／高等学校,155,21,7.4,
平成17年度,Ｂ選考／盲･ろう･養護学校,46,7,6.6,
平成17年度,Ｂ選考／Ｂ選考合計,909,271,3.4,
平成17年度,Ａ・Ｂ選考合計,1097,357,3.1,
