"年月[西暦]","施設名称","施設所在地","施設方書","施設電話番号","発生日","旧名称","緯度","経度"
"202305","神谷町内科・循環器・糖尿病クリニック","東京都港区虎ノ門五丁目6番7号","1階",,"2023/5/16","神谷町内科・セカンドオピニオンクリニック","35.662916","139.742619"
"202305","医療法人社団紡潤会　トキノクリニックｂｙウィルＡＧＡ","東京都港区南青山三丁目18番19号","南青山キミジマビル4階、5階","03-5860-6556","2023/3/30","医療法人社団紡潤会　マグマクリニックｂｙウィルＡＧＡ","35.665264","139.712988"
"202306","ＮＡクリニック","東京都港区赤坂一丁目12番32号","アーク森ビル24階",,"2023/6/19","センクサスクリニック","35.667113","139.740135"
"202306","バストクリニック東京","東京都港区西麻布三丁目17番15号","中島ビル2階","03-6386-8676","2023/3/15","ＴＨＥ　ＣＬＩＮＩＣ　東京　Ａｎｎｅｘ","35.658437","139.724990"
"202306","Ｍｏｎａ青山クリニック","東京都港区南青山二丁目2番15号","ウィン青山332","03-5050-4247","2023/6/1","一般社団法人Ｍｅｄｉｖａｔｅ　ラボーテクリニック","35.671444","139.723779"
"202306","ＳＢＣイテウォンビューティークリニック南青山院","東京都港区南青山五丁目6番26号","青山246ビル8階","050-5865-5210","2023/4/14","湘南美容クリニック南青山院","35.663998","139.711929"
"202307","キュアステーション六本木クリニック","東京都港区六本木七丁目15番17号","ユニ六本木ビル6階D号室・E号室","03-3475-5800","2023/7/1","DMC新六本木クリニック","35.662292","139.729638"
"202310","たかとく内科びようクリニック","東京都港区港南二丁目6番10号","三矢ビル4階","03-6712-3364","2023/10/16","猿田彦内科びようクリニック","35.628782","139.74233"
"202310","ＴＯＰＰＡＮグループ健康保険組合　芝浦診療所","東京都港区芝浦三丁目19番26号","5階","03-5418-3687","2023/10/1","トッパングループ健康保険組合　芝浦診療所","35.641625","139.749813"
"202310","ＴＯＰＰＡＮグループ健康保険組合　汐留診療所","東京都港区東新橋一丁目7番3号","(18階)","03-6253-5712","2023/10/1","トッパングループ健康保険組合　汐留診療所","35.662954","139.759145"
"202310","アイエスクリニック六本木","東京都港区六本木七丁目4番4号","六本木アートシェル5階","03-6432-9625","2023/10/1","アートセルクリニック六本木","35.665588","139.728784"
"202402","イーメディカルクリニック麻布","東京都港区麻布十番一丁目7番11号","麻布井上ビル2階","050-5530-0965","2024/2/15","ＣＬＩＮＩＣ　ｂｙ　Ｅ　２ｎｄ","35.656315","139.734587"
"202402","芝浦健診クリニック","東京都港区芝浦三丁目18番17号","東京港健保会館 3階","03-5765-7171","2024/2/13","メディカル　インスペクション　芝浦","35.641909","139.750549"
"202402","ＨＡＡＢエッグクリニック","東京都港区南青山二丁目22番19号","アドバンテック南青山ビル5階8階9階10階","03-5412-0125","2024/2/1","南青山ＨＡＡＢビューティークリニック","35.670814","139.719580"
"202402","医療法人社団ペリカン　六本木駅ビルクリニック","東京都港区六本木七丁目14番11号","メトロシティ六本木5階","03-6910-5256","2024/1/12","医療法人社団ペリカン　六本木ペリカンこころクリニック","35.663195","139.731574"
"202403","品川心療内科ゆうメンタルクリニック品川院","東京都港区港南二丁目3番1号","大信秋山ビル5階","03-5460-8877","2024/3/1","医療法人社団上桜会　ゆうメンタルクリニック品川院","35.629253","139.742969"
"202403","Ｔｏｋｙｏ　Ｂｅａｕｔｙ　Ｍａｓｔｅｒ　ｃｌｉｎｉｃ","東京都港区六本木七丁目8番8号","ミクニ六本木ビル4階","03-6434-0758","2024/3/1","Ｂｕｔｔｅｒｆｌｙ　Ｃｌｉｎｉｃ","35.664847","139.730098"

"診療所名称変更一覧(令和6年3月31日現在)","Ver202403",,,,,,,
