区分１,区分２,区分３,30,29,28,27,26
定例監査,本庁,対象（箇所）,137,137,137,137,141
定例監査,本庁,実施,137,137,137,137,141
定例監査,事業所,対象（箇所）,742,744,745,737,738
定例監査,事業所,実施,312,311,320,301,304
定例監査,計,対象（箇所）,879,881,882,874,879
定例監査,計,実施,449,448,457,438,445
定例監査,計,実施率（％）,51.1,50.9,51.8,50.1,50.6
定例監査,指摘事項（件）,,111,143,112,111,84
定例監査,意見・要望事項（件）,,4,10,4,4,0
工事監査,実施件数（件）,,1574,1631,1684,1688,1558
工事監査,金額（百万円）,,955869,1008883,687675,512983,477924
工事監査,指摘事項（件）,,29,28,31,36,27
工事監査,意見・要望事項（件）,,0,1,3,1,0
財政援助団体等監査,対象団体数,,5208,4983,4249,4075,4083
財政援助団体等監査,実施団体数,,184,145,154,165,135
財政援助団体等監査,実施率（％）,,3.5,2.9,3.6,4,3.3
財政援助団体等監査,指摘事項（件）,,66,52,82,56,63
財政援助団体等監査,意見・要望事項（件）,,4,9,5,2,6
行政監査,指摘事項（件）,,11,15,0,24,11
行政監査,意見・要望事項（件）,,29,5,7,11,0
決算審査,各会計歳入歳出,対象会計数,16,16,16,16,16
決算審査,各会計歳入歳出,指摘事項（件）,13,19,18,14,12
決算審査,各会計歳入歳出,意見・要望事項（件）,0,0,0,0,0
決算審査,公営企業各会計,対象会計数,11,11,11,11,11
決算審査,公営企業各会計,指摘事項（件）,3,0,1,0,0
決算審査,公営企業各会計,意見・要望事項（件）,0,0,0,0,0
随時監査,指摘事項（件）,,-,-,-,-,-
随時監査,意見・要望事項（件）,,-,-,-,-,-
合計,指摘事項（件）,,233,257,244,241,197
合計,意見・要望事項（件）,,37,25,19,18,6
住民監査請求に基づく監査,請求件数（件）,,8,21,29,13,9
住民監査請求に基づく監査,監査実施せず（件）,,8,18,23,13,8
住民監査請求に基づく監査,監査実施,勧告（件）,0,0,1,0,0
住民監査請求に基づく監査,監査実施,理由なし（件）,0,3,5,0,1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
