区分１,区分２,区分３,29,28,27,26,25
定例監査,本庁,対象（箇所）,137,137,137,141,142
定例監査,本庁,実施,137,137,137,141,142
定例監査,事業所,対象（箇所）,744,745,737,738,755
定例監査,事業所,実施,311,320,301,304,305
定例監査,計,対象（箇所）,881,882,874,879,897
定例監査,計,実施,448,457,438,445,447
定例監査,計,実施率（％）,50.9,51.8,50.1,50.6,49.8
定例監査,指摘事項（件）,,143,112,111,84,89
定例監査,意見・要望事項（件）,,10,4,4,0,0
工事監査,実施件数（件）,,1631,1684,1688,1558,1650
工事監査,金額（百万円）,,1008883,687675,512983,477924,359389
工事監査,指摘事項（件）,,28,31,36,27,25
工事監査,意見・要望事項（件）,,1,3,1,0,0
財政援助団体等監査,対象団体数,,4983,4249,4075,4083,3675
財政援助団体等監査,実施団体数,,145,154,165,135,147
財政援助団体等監査,実施率（％）,,2.9,3.6,4,3.3,4
財政援助団体等監査,指摘事項（件）,,52,82,56,63,60
財政援助団体等監査,意見・要望事項（件）,,9,5,2,6,0
行政監査,指摘事項（件）,,15,0,24,11,15
行政監査,意見・要望事項（件）,,5,7,11,0,0
決算審査,歳入歳出各会計,対象会計数,16,16,16,16,16
決算審査,歳入歳出各会計,指摘事項（件）,19,18,14,12,18
決算審査,歳入歳出各会計,意見・要望事項（件）,0,0,0,0,0
決算審査,公営企業各会計,対象会計数,11,11,11,11,11
決算審査,公営企業各会計,指摘事項（件）,0,1,0,0,4
決算審査,公営企業各会計,意見・要望事項（件）,0,0,0,0,0
随時監査,指摘事項（件）,,-,-,-,-,-
随時監査,意見・要望事項（件）,,-,-,-,-,-
合計,指摘事項（件）,,257,244,241,197,211
合計,意見・要望事項（件）,,25,19,18,6,0
住民監査請求に基づく監査,請求件数（件）,,21,29,13,9,8
住民監査請求に基づく監査,監査実施せず（件）,,18,23,13,8,8
住民監査請求に基づく監査,監査実施,勧告（件）,0,1,0,0,0
住民監査請求に基づく監査,監査実施,理由なし（件）,3,5,0,1,0
