区分１,区分２,区分３,28,27,26,25,24
定例監査,本庁,対象（箇所）,137,137,141,142,140
定例監査,本庁,実施,137,137,141,142,140
定例監査,事業所,対象（箇所）,745,737,738,755,759
定例監査,事業所,実施,320,301,304,305,298
定例監査,計,対象（箇所）,882,874,879,897,899
定例監査,計,実施,457,438,445,447,438
定例監査,計,実施率（％）,51.8,50.1,50.6,49.8,48.7
定例監査,指摘事項（件）,,112,111,84,89,120
定例監査,意見・要望事項（件）,,4,4,0,0,6
工事監査,実施件数（件）,,1684,1688,1558,1650,1635
工事監査,金額（百万円）,,687675,512983,477924,359389,402178
工事監査,指摘事項（件）,,31,36,27,25,28
工事監査,意見・要望事項（件）,,3,1,0,0,0
財政援助団体等監査,対象団体数,,4249,4075,4083,3675,4159
財政援助団体等監査,実施団体数,,154,165,135,147,158
財政援助団体等監査,実施率（％）,,3.6,4,3.3,4,3.8
財政援助団体等監査,指摘事項（件）,,82,56,63,60,57
財政援助団体等監査,意見・要望事項（件）,,5,2,6,0,0
行政監査,指摘事項（件）,,0,24,11,15,17
行政監査,意見・要望事項（件）,,7,11,0,0,0
決算審査,歳入歳出各会計,対象会計数,16,16,16,16,17
決算審査,歳入歳出各会計,指摘事項（件）,18,14,12,18,14
決算審査,歳入歳出各会計,意見・要望事項（件）,0,0,0,0,0
決算審査,公営企業各会計,対象会計数,11,11,11,11,11
決算審査,公営企業各会計,指摘事項（件）,1,0,0,4,3
決算審査,公営企業各会計,意見・要望事項（件）,0,0,0,0,3
随時監査,指摘事項（件）,,-,-,-,-,-
随時監査,意見・要望事項（件）,,-,-,-,-,-
合計,指摘事項（件）,,244,241,197,211,239
合計,意見・要望事項（件）,,19,18,6,0,9
住民監査請求に基づく監査,請求件数（件）,,29,13,9,8,9
住民監査請求に基づく監査,監査実施せず（件）,,23,13,8,8,6
住民監査請求に基づく監査,監査実施,勧告（件）,1,0,0,0,0
住民監査請求に基づく監査,監査実施,理由なし（件）,5,0,1,0,3
