第2号様式の2（第12条第3項）,,,,,,,,
東京都鉄骨溶接部検査機関登録簿（令和６年４月18日現在）,,,,,,,,
番号,検査機関の名称,検査機関の代表者名,検査機関の所在地,登録の番号,登録年月日,有効期限,登録　事業所数,付帯条件
1,(株)ジャスト,角田　賢明,神奈川県横浜市青葉区あざみ野南2丁目4-1,検-14-(6)-1,令和3年12月1日,令和6年11月30日,9,"　本社
　千葉営業所
　名古屋営業所
　大阪営業所
　長野営業所
　仙台営業所
　山口営業所
　新潟営業所
　群馬営業所"
2,エンジニアリングサービス(株),中島　泰明,東京都大田区大森北1丁目11-5,検-14-(6)-3,令和3年12月1日,令和6年11月30日,1,　本社
3,(株)インテック,石川　洋,東京都中央区勝どき3丁目5-4,検-14-(6)-7,令和3年12月1日,令和6年11月30日,1,　本社
4,第一検査(株),木村　成晴,東京都文京区本郷3丁目4-5　3.4.5ビル,検-14-(6)-9,令和3年12月1日,令和6年11月30日,1,　本社
5,北日本非破壊検査(株),北村　真,新潟県新潟市東区南紫竹1丁目2-14,検-14-(6)-12,令和3年12月1日,令和6年11月30日,1,　本社
6,非破壊検査(株),山口　多賀幸,大阪府大阪市西区北堀江1丁目18-14,検-14-(6)-13,令和3年12月1日,令和6年11月30日,2,"　京葉事業部
　検査工務部"
7,綜合非破壊検査(株),熊谷　昌之,東京都台東区元浅草3-13-12Ｕビル,検-14-(6)-15,令和3年12月1日,令和6年11月30日,1,　本社
8,(株)エスティエス,丸山　貴恵,長野県安曇野市豊科4503-19,検-14-(6)-18,令和3年12月1日,令和6年11月30日,1,　本社
9,(株)ディーアイジェクト,土井　義夫,神奈川県川崎市川崎区旭町2丁目18-6,検-14-(6)-19,令和3年12月1日,令和6年11月30日,1,　本社
10,札幌インスペクション(株),名畑　拓,北海道札幌市東区伏古10条3丁目10-14,検-14-(6)-20,令和3年12月1日,令和6年11月30日,1,　本社
11,富士検査(株),高橋　辰夫,埼玉県草加市稲荷1丁目1-1,検-14-(6)-22,令和3年12月1日,令和6年11月30日,1,　本社
12,(株)関東エンジニアリングサービス,上野　道昭,茨城県水戸市大塚町字大塚1284-1,検-14-(6)-24,令和3年12月1日,令和6年11月30日,1,　本社
13,(株)構造エンジニアリング,宮沢　洋一,静岡県三島市新谷42-1,検-14-(6)-27,令和3年12月1日,令和6年11月30日,1,　本社
14,(株)相模理工,井上　 巧,神奈川県相模原市南区相模台三丁目17番9号,検-14-(6)-28,令和3年12月1日,令和6年11月30日,1,　本社
15,ソニック(株),山本　浩太,神奈川県横浜市旭区都岡町16-32,検-14-(6)-29,令和3年12月1日,令和6年11月30日,1,　本社
16,日本工業検査(株),小野　晃彦,神奈川県川崎市川崎区本町1-5-16,検-15-(6)-32,令和3年12月1日,令和6年11月30日,1,　建築検査部
17,エース・エンジニヤリング(株),神林 吉治,大阪府大阪市大正区南恩加島二丁目8番11号,検-15-(6)-36,令和3年12月1日,令和6年11月30日,2,"　大阪本社
　東京支社"
18,(株)さくら非破壊検査,佐藤　仁郎,北海道札幌市東区北23条東7丁目3-10,検-23-(3)-40,令和3年12月1日,令和6年11月30日,1,　本社
19,(株)建材サービスセンター,斉藤　昌稔,東京都板橋区双葉町40-10,検-27-(2)-42,令和3年12月1日,令和6年11月30日,1,　本社
20,溶接検査(株),辻迫　隆美,宮城県多賀城市八幡2丁目16-10,検-28-(2)-43,令和4年12月1日,令和7年11月30日,1,　本社
21,(有)アクトエイションハート,尾形　源,千葉県香取市虫幡1291,検-1-(1)-44,令和4年12月1日,令和7年11月30日,1,　本社
22,(株)アイティーエス,宮野　満,千葉県千葉市若葉区西都賀5-38-1,検-3-(0)-45,令和3年12月1日,令和6年11月30日,1,　本社
23,(株)スルガ検査,沖津　博斗,静岡県沼津市足高322-39,検-6-(0)-46,令和6年4月11日,令和9年4月10日,1,　本社
,（備　考）登録の番号は、検－登録年度－（更新回数）－整理番号　を示している。,,,,,,,
,,,,,,,,
,,,,,,,,
