第2号様式の1（第12条第3項関係）,,,,,,,,
東京都試験機関（Ｂ類）登録簿 （令和５年12月１日現在）,,,,※試験機関（Ｂ類）とは、建築基準法施行令第74条及び第76条の規定に基づくコンクリートの強度試験のうち、設計基準強度Fcが36Ｎ／mm2を超えるコンクリートに対する強度試験を行うことができる機関である。）,,,,
№,登録の分類,試験機関の名称,試験機関の代表者名,試験機関の所在地,登録の番号,登録年月日,有効期限,付帯条件
1,Ⅰ－Ｂ,(公財)東京都防災・建築まちづくりセンター,田中　幸一郎,東京都品川区東大井1丁目12-20,試Ｂ-15-(7)-1,令和4年12月1日,令和7年11月30日,―
2,Ⅰ－Ｂ,(一財)建材試験センター　工事材料試験所　武蔵府中試験室,赤城　立也,東京都府中市四谷6丁目31-10,試Ｂ-15-(7)-3,令和5年12月1日,令和8年11月30日,―
3,Ⅰ－Ｂ,(一財)建材試験センター　工事材料試験所　浦和試験室,藤巻　敏之,埼玉県さいたま市桜区中島2丁目12-8,試Ｂ-15-(6)-4,令和3年12月1日,令和6年11月30日,―
4,Ⅰ－Ｂ,(一財)日本品質保証機構　関東マテリアルテクノ試験所,伊東　誠,東京都品川区東大井1丁目8-12,試Ｂ-26-(2)-15,令和3年12月1日,令和6年11月30日,―
5,Ⅲ－Ｂ,(株)複合材料研究所　,稲垣　栄,東京都江戸川区東小松川4丁目46-1,試Ｂ-15-(6)-8,令和3年12月1日,令和6年11月30日,―
6,Ⅲ－Ｂ,(株)日東コンクリート技術事務所,高橋　光広,埼玉県三郷市谷口221,試Ｂ-15-(7)-9,令和4年12月1日,令和7年11月30日,―
7,Ⅲ－Ｂ,三友エンジニヤリング(株)　構造材料試験所,後藤　篤,千葉県市川市塩浜2丁目1-3,試Ｂ-15-(7)-10,令和5年12月1日,令和8年11月30日,―
8,Ⅲ－Ｂ,東京検査(株)　建材研究所,小山　善行,東京都町田市金森4丁目13-13,試Ｂ-15-(6)-11,令和3年12月1日,令和6年11月30日,―
9,Ⅲ－Ｂ,(株)クォリティー,國廣　秀行,東京都江戸川区臨海町6丁目3-9,試Ｂ-15-(7)-13,令和5年12月1日,令和8年11月30日,―
10,Ⅲ－Ｂ,(株)テストサービス　材料試験所,阿部　一志,東京都板橋区大山金井町47-12,試Ｂ-27-(3)-16,令和4年12月1日,令和7年11月30日,―
11,Ⅲ－Ｂ,(株)東京建材検査サービス,松橋　幹次,埼玉県八潮市浮塚899,試Ｂ-3-(0)-17,令和3年12月1日,令和6年11月30日,―
,,,（備　考）登録の番号は、試（登録の分類）－登録年度－（更新回数）－整理番号　を示している。,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
