第2号様式の2（第12条第3項）,,,,,,,,
東京都鉄筋継手検査機関登録簿（令和５年12月１日現在）,,,,,,,,
番号,検査機関の名称,検査機関の代表者名,検査機関の所在地,登録の番号,登録年月日,有効期限,"登録
事業所数",付帯条件
1,(株)ジャスト,角田　賢明,神奈川県横浜市青葉区あざみ野南2-4-1,筋-27-(2)-1,令和3年12月1日,令和6年11月30日,1,　本社
2,(株)日東コンクリート技術事務所,高橋　光広,埼玉県三郷市谷口221,筋-27-(2)-2,令和3年12月1日,令和6年11月30日,1,　本社
3,富士検査(株),高橋　辰夫,埼玉県草加市稲荷1-1-1,筋-27-(2)-3,令和3年12月1日,令和6年11月30日,1,　本社
4,三友エンジニヤリング(株)　構造材料検査事業部,紅林　誠,千葉県市川市塩浜2-1-3,筋-27-(2)-4,令和3年12月1日,令和6年11月30日,1,　本社
5,(株)インテック,石川　洋,東京都中央区勝どき3-5-4,筋-27-(2)-5,令和3年12月1日,令和6年11月30日,1,　本社
6,(株)相模理工,井上　巧,神奈川県相模原市南区相模台3-17-9,筋-27-(2)-6,令和3年12月1日,令和6年11月30日,1,　本社
7,(株)関東エンジニアリングサービス,上野　道昭,茨城県水戸市大塚町字大塚1284-1,筋-27-(2)-7,令和3年12月1日,令和6年11月30日,1,　本社
8,東京検査(株),小山　善行,東京都町田市金森4-13-13,筋-27-(2)-8,令和3年12月1日,令和6年11月30日,1,　本社
9,エンジニアリングサービス(株),中島　泰明,東京都大田区大森北1-11-5,筋-27-(2)-9,令和3年12月1日,令和6年11月30日,1,　本社
10,(株)東京建材検査サービス,松橋　幹次,埼玉県八潮市浮塚899,筋-27-(2)-10,令和3年12月1日,令和6年11月30日,1,　本社
11,(株)アディック,加藤　和彦,東京都世田谷区代沢4-28-3,筋-27-(2)-12,令和3年12月1日,令和6年11月30日,1,　本社
12,日本工業検査(株),小野　晃彦,神奈川県川崎市川崎区本町1-5-16,筋-27-(2)-13,令和3年12月1日,令和6年11月30日,1,　建築検査部
13,(株)ディーアイジェクト,土井　義夫,神奈川県川崎市川崎区旭町2-18-6,筋-27-(2)-14,令和3年12月1日,令和6年11月30日,1,　本社
14,(株)建材サービスセンター,斉藤　昌稔,東京都板橋区双葉町40-10,筋-27-(2)-16,令和3年12月1日,令和6年11月30日,1,　本社
15,(株)検査サービス,逸見　大地,東京都港区西麻布1-4-36ロジマン西麻布516,筋-27-(2)-17,令和3年12月1日,令和6年11月30日,1,　本社
16,ソニック(株),山本　浩太,神奈川県横浜市旭区都岡町16-32,筋-28-(2)-18,令和4年12月1日,令和7年11月30日,1,　本社
17,(株)クォリティー,國廣　秀行,東京都江戸川区臨海町6-3-9,筋-28-(2)-20,令和4年12月1日,令和7年11月30日,1,　本社
18,(株)テストサービス,奥平　昌道,東京都板橋区大山金井町47-12,筋-29-(1)-21,令和3年12月1日,令和6年11月30日,1,　本社
19,(株)サンテクノス,秦　正樹,島根県松江市西嫁島1丁目2番9号,筋-1-(1)-22,令和4年12月1日,令和7年11月30日,1,　関東事業所
20,(有)京浜材料試験,本田　吉郎,神奈川県川崎市川崎区浅野町6-16,筋-1-(1)-23,令和4年12月1日,令和7年11月30日,1,　本社
,（備　考）登録の番号は、筋－登録年度－（更新回数）－整理番号　を示している。,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
