第2号様式の1（第12条第3項関係）,,,,,,,,
東京都試験機関（Ａ類）登録簿 （令和６年７月１日現在）,,,,※試験機関（Ａ類）とは、建築基準法施行令第74条及び第76条の規定に基づくコンクリートの強度試験のうち、設計基準強度Fcが36Ｎ／mm2以下のコンクリートに対する強度試験を行うことができる機関である。）,,,,
№,登録の分類,試験機関の名称,試験機関の代表者名,試験機関の所在地,登録の番号,登録年月日,有効期限,付帯条件
1,Ⅰ－Ａ,(公財)東京都防災・建築まちづくりセンター,田中　幸一郎,東京都品川区東大井1丁目12-20,試Ａ-14-(7)-1,令和4年12月1日,令和7年11月30日,―
2,Ⅰ－Ａ,(一財)建材試験センター　工事材料試験所　武蔵府中試験室,赤城　立也,東京都府中市四谷6丁目31-10,試Ａ-14-(7)-3,令和5年12月1日,令和8年11月30日,―
3,Ⅰ－Ａ,(一財)建材試験センター　工事材料試験所　浦和試験室,藤巻　敏之,埼玉県さいたま市桜区中島2丁目12-8,試Ａ-14-(6)-4,令和3年12月1日,令和6年11月30日,―
4,Ⅰ－Ａ,(一財)建材試験センター　工事材料試験所　横浜試験室,高藤　典明,神奈川県横浜市港北区新吉田東8丁目31-8,試Ａ-14-(7)-5,令和4年12月1日,令和7年11月30日,―
5,Ⅰ－Ａ,(一財)建材試験センター　工事材料試験所　船橋試験室,秋山　隆文,千葉県船橋市藤原3丁目18-26,試Ａ-14-(7)-7,令和5年12月1日,令和8年11月30日,―
6,Ⅰ－Ａ,(一財)日本品質保証機構　関東マテリアルテクノ試験所　,伊東　誠,東京都品川区東大井1丁目8-12,試Ａ-14-(6)-8,令和3年12月1日,令和6年11月30日,―
7,Ⅰ－Ａ,(一社)建築研究振興協会　戸田試験所,齋藤　幸弘,埼玉県戸田市新曽2213,試Ａ-14-(6)-9,令和3年12月1日,令和6年11月30日,―
8,Ⅰ－Ａ,(一財)日本品質保証機構　関東マテリアルテクノ試験所　横浜試験室,菅谷　千代子,神奈川県横浜市港北区新羽町174-2,試Ａ-29-(2)-35,令和5年12月1日,令和8年11月30日,―
9,Ⅲ－Ａ,(株)複合材料研究所,稲垣　栄,東京都江戸川区東小松川4丁目46-1,試Ａ-14-(6)-14,令和3年12月1日,令和6年11月30日,―
10,Ⅲ－Ａ,(株)日東コンクリート技術事務所,高橋　光広,埼玉県三郷市谷口221,試Ａ-14-(7)-16,令和4年12月1日,令和7年11月30日,―
