地点,路線名,環境基準/要請限度昼間(デシベル),環境基準/要請限度夜間(デシベル),現況(実測)昼間(デシベル),現況(実測)夜間(デシベル),今回計画昼間(デシベル),今回計画夜間(デシベル),既定計画昼間(デシベル),既定計画夜間(デシベル),今回-既定昼間(デシベル),今回-既定夜間(デシベル)
1,都道環状三号線・首都高速9号線,70/75,65/70,71,68,71.2,67.2,71.0,66.9,0.2,0.3
2,臨港道路新木場・若洲線,(70/75),(65/70),66,64,67.8,64.8,66.6,63.6,1.2,1.2
3,東京港臨海道路,(70/75),(65/70),73,69,64.1,62.3,63.4,61.6,0.7,0.7
4,臨港道路城南島・大井1号線,(70/75),(65/70),73,68,74.7,69.8,74.2,69.2,0.5,0.6
5,臨港道路大井ふ頭その1線,70/75,65/70,70,69,69.7,67.1,69.2,66.6,0.5,0.5
6,臨港道路大井2号線,70/75,65/70,64,61,66.1,60.6,65.8,60.3,0.3,0.3
7,都道環状六号線,70/75,65/70,69,65,68.3,63.2,68.3,63.2,0.0,0.0
8,都道品川埠頭線,70/75,65/70,64,60,69.6,63.2,69.6,63.2,0.0,0.0
9,臨港道路青海縦貫線,(70/75),(65/70),69,64,70.0,65.0,69.3,64.3,0.7,0.7
10,臨港道路有明ふ頭連絡線,(70/75),(65/70),64,61,69.3,65.7,68.3,64.7,1.0,1.0
11,臨港道路有明南縦貫線,(70/75),(65/70),64,59,61.9,55.6,61.6,55.3,0.3,0.3
