,NNE,NE,ENE,E,ESE,SE,SSE,S,SSW,SW,WSW,W,WNW,NW,NNW,N,total
波向なし,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78148
0.00～0.20,,,,,,,,,,,,,,,,,0
0.21～0.40,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
0.41～0.60,78,134,398,501,266,273,529,1592,395,35,18,18,24,30,28,54,4373
0.61～0.80,31,57,248,302,87,59,262,1598,474,18,5,5,7,11,12,23,3199
0.81～1.00,5,9,55,37,8,6,36,546,248,1,1,1,2,5,5,8,973
1.01～1.20,0,1,8,9,1,3,13,162,94,0,0,1,0,0,0,0,292
1.21～1.40,0,0,2,6,0,0,8,64,33,0,0,0,0,0,0,0,113
1.41～1.60,0,0,0,6,1,0,4,40,8,0,0,0,0,0,0,0,59
1.61～1.80,0,0,1,1,0,0,2,16,1,0,0,0,0,0,0,1,22
1.81～2.00,0,0,0,1,0,0,0,6,1,0,0,0,0,0,0,0,8
2.01～2.50,0,0,1,1,2,0,1,11,0,0,0,0,0,0,0,0,16
2.51～3.00,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3
3.01～3.50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3.51～,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
total,114,201,713,867,366,341,855,4038,1254,54,24,25,33,46,45,86,87210
