地区名,No,名称,海浜延長（ｍ）,主要な用途,規模の考え方,配置の考え方
南部地区,A,東京港野鳥公園,850[既定計画],海浜(干潟),東京港野鳥公園の南側水域に海浜を確保,東京港野鳥公園と一体的に配置
南部地区,B,城南島海浜公園,600[新規計画],海浜,城南島海浜公園の北側水域に海浜を確保,城南島海浜公園と一体的に配置
南部地区,,城南島海浜公園,500[既設],海浜,-,城南島海浜公園と一体的に配置
南部地区,c,東海ふ頭公園,900[新規計画],海浜,東海ふ頭公園の西側水域に海浜を確保,京浜運河を中心とする生物生息環境ネットワ一クとして配置
南部地区,,大井ふ頭中央海浜公園,1500[既設],海浜,-,京浜運河を中心とする生物生息環境ネットワ一クとして配置
南部地区,D,京浜運河緑道公園,850[新規計画],海浜,京浜運河緑道公園の西側水域の南部に海浜を確保,京浜運河を中心とする生物生息環境ネットワ一クとして配置
中部地区,,お台場海浜公園,1400[既設],海浜,,
東部地区,E,辰巳の森海浜公園,520[既定計画],海浜,辰巳の森海浜公園の東側水域に海浜を確保,辰巳の森海浜公園と一体的に配置
中央防波堤地区,F,海の森公園,400[新規計画],海浜,海の森公園の東側水域に海浜を確保,海の森公園と一体的に配置
中央防波堤地区,,中央防波堤沖,1000[既設],海浜(磯浜),新海面処分場の緩傾斜護岸の水深の浅い部分を活用,港内における生物環境ネットワークの外縁部として配置
