項目,単位,判定基準値,H23.8St.1,H24.1St.1,H23.8St.2,H24.1St.2,H23.8St.3,H24.1St.3
アルキル水銀化合物,mg/L,検出されないこと,<0.0005,<0.0005,<0.0005,<0.0005,<0.0005,<0.0005
水銀又はその化合物,mg/L,0.005,<0.0005,<0.0005,<0.0005,<0.0005,<0.0005,<0.0005
カドミウム又はその化合物,mg/L,0.1,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001
鉛又はその化合物,mg/L,0.1,<0.005,<0.005,<0.005,<0.005,<0.005,<0.005
有機りん化合物,mg/L,1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1
六価クロム化合物,mg/L,0.5,<0.04,<0.04,<0.04,<0.04,<0.04,<0.04
ひ素又はその化合物,mg/L,0.1,0.008,<0.005,<0.005,<0.005,<0.005,<0.005
シアン化合物,mg/L,1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1
ポリ塩化ビフェニル,mg/L,0.003,<0.0005,<0.0005,<0.0005,<0.0005,<0.0005,<0.0005
銅又はその化合物,mg/L,3,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01
亜鉛又はその化合物,mg/L,2,<0.01,<0.01,0.01,<0.01,0.01,0.01
ふっ化物,mg/L,15,0.3,0.2,0.6,0.4,0.7,0.5
トリクロロエチレン,mg/L,0.3,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
テトラクロロエチレン,mg/L,0.1,<0.0005,<0.0005,<0.0005,<0.0005,<0.0005,<0.0005
ベリリウム又はその化合物,mg/L,2.5,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01
クロム又はその化合物,mg/L,2,<0.03,<0.03,<0.03,<0.03,<0.03,<0.03
ニッケル又はその化合物,mg/L,1.2,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01
バナジウム又はその化合物,mg/L,1.5,0.06,0.01,0.03,<0.01,<0.01,<0.01
有機塩素化合物,mg/kg,40,3,4,<2,<2,6,<2
ジクロロメタン,mg/L,0.2,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
四塩化炭素,mg/L,0.02,<0.0005,<0.0005,<0.0005,<0.0005,<0.0005,<0.0005
"1,2ージクロロエタン",mg/L,0.04,<0.0004,<0.0004,<0.0004,<0.0004,<0.0004,<0.0004
"1,1ージクロロエチレン",mg/L,1,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
"シスー1,2ージクロロエチレン",mg/L,0.4,<0.004,<0.004,<0.004,<0.004,<0.004,<0.004
"1,1,1ートリクロロエタン",mg/L,3,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001
"1,1,2ートリクロロエタン",mg/L,0.06,<0.0006,<0.0006,<0.0006,<0.0006,<0.0006,<0.0006
"1,3ージクロロプロベン",mg/L,0.02,<0.0002,<0.0002,<0.0002,<0.0002,<0.0002,<0.0002
チウラム,mg/L,0.06,<0.0006,<0.0006,<0.0006,<0.0006,<0.0006,<0.0006
シマジン,mg/L,0.03,<0.0003,<0.0003,<0.0003,<0.0003,<0.0003,<0.0003
チオベンカルブ,mg/L,0.2,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
ベンゼン,mg/L,0.1,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001
セレン又はその化合物,mg/L,0.1,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001
