台帳コード,施設名称,記号,延長,水深,席数,船型（D/W）,備考
C-4-34,青海コンテナふ頭第3パース,A3,350.00,-15.0,1,50000,
C-4-35,青海コンテナふ頭第4パース,A4,350.00,-15.0,1,50000,
C-4-31-1,大井コンテナふ頭,O1,330.00,-15.0,1,50000,
C-4-30,大井コンテナふ頭,O2,330.00,-15.0,1,50000,
C-4-30-1,大井コンテナふ頭,O3,354.00,-15.0,1,50000,
C-4-30-2,大井コンテナふ頭,O7,350.00,-15.0,1,50000,
C-1-13,お台場ふ頭（ライナー）,AA-AI,1800.00,-10.0,9,15000,
C-1-25,10号地その1有明3丁目,KK,400.00,-7.5,3,5000,
C-1-27,10号地その1有明3丁目,KN,390.00,-7.5,5,1500,
C-1-28,10号地その1有明3丁目,KN,173.00,-7.5,2,2000,
C-1-29,10号地その1有明3丁目,KN,246.00,-7.5,1,2000,
C-4-42,品川ふ頭,SB,106.00,-7.5,1,2075,※1
C-1-22,大井建材,OOA,70.00,-5.0,1,1500,
C-1-24,大井建材,OOB.OOC,140.00,-5.0,2,500,
C-1-39,若洲,LLA,70.00,-5.0,1,1000,
C-1-40,若洲,LLB,70.00,-5.0,1,1000,
C-1-41,若洲内貿特殊品ふ頭,LM,80.00,-4.5,1,1000,
C-4-77,中防内側外貿雑貨ふ頭,X3,260.00,-10.0,1,15000,
C-1-30,砂町北運河,U2,60.00,-3.0,1,900,※1
C-1-31,砂町北運河,U3,60.00,-4.0,1,499,※1
C-1-32,砂町北運河,U4,67.49,-4.0,1,499,※1
C-1-48-1,東京サービスステーション（若洲）,LE,200.00,-12.0,1,7809(G/T),
C-1-48-2,東京サービスステーション（若洲）,LF,70.00,-4.5,1,,
C-1-49,東京サービスステーション（若洲）,LG,60.00,-4.0,1,199(G/T),
C-3-09,大井ふ頭その一,OA,20.00,-8.5,1,2926,
C-3-10,品川ふ頭,SA,20.00,-4.0,1,500,
C-3-11,品川ふ頭,SL,11.00,-8.0,1,8400,
C-3-12,品川ふ頭,SM,21.80,-5.0,1,699,
C-3-21,品川ふ頭,SO,20.00,-4.5,1,800,
C-3-23,品川ふ頭,SN,9.00,-5.5,1,1000,
C-3-28,東雲二丁目地先(11号地),C1,49.50,-8.0,1,7000,
C-1-23,大井建材西側,OOA,40.00,-5.0,1,350,
C-5-28,クリスタル（京浜運河）,,50.00,-3.0,1,346,※1
C-5-35,パレットタウン海上パス発着施設,,20.00,-3.0,,,
