内航フィーダー貨物,種別,実績値Ｈ１３/2001,実績値Ｈ１4/2002,実績値Ｈ１5/2003,実績値Ｈ１6/2004,実績値Ｈ１7/2005,実績値Ｈ１8/2006,実績値Ｈ１9/2007,実績値Ｈ20/2008,実績値Ｈ21/2009,実績値基準年Ｈ22/2010,実績値（参考）Ｈ２２/2011,実績値（参考）Ｈ23/2012,推計値/目標年Ｈ３７/2025,推計方法
移出（千ＴＥＵ）,実入,23,17,12,15,19,26,33,38,36,44,43,55,44,1ＴＥＵ当りトン数より
移出（千ＴＥＵ）,空,13,20,17,17,9,28,124,144,157,201,211,229,201,空コンテナ比率より
移出（千ＴＥＵ）,合計,36,37,28,32,27,53,157,182,192,245,254,284,245,
移入（千ＴＥＵ）,実入,19,19,20,24,22,36,45,78,65,58,61,57,58,1ＴＥＵ当りトン数より
移入（千ＴＥＵ）,空,8,4,1,3,14,18,16,2,2,3,4,1,3,空コンテナ比率より
移入（千ＴＥＵ）,合計,27,23,21,27,36,54,61,80,67,61,65,58,61,
合計（千ＴＥＵ）,実入,42,36,32,39,41,61,79,116,101,102,104,112,102,
合計（千ＴＥＵ）,空,21,23,18,20,23,46,140,146,158,204,215,230,204,
合計（千ＴＥＵ）,合計,63,59,50,59,63,107,218,262,259,305,319,342,305,
空コンテナ比率（％）,移出,37,53,59,53,31,52,79,79,81,82,83,81,82,Ｈ２２実績
空コンテナ比率（％）,移入,30,17,5,10,39,34,26,3,3,4,6,2,4,Ｈ２２実績
空コンテナ比率（％）,合計,34,39,36,33,36,43,64,56,61,67,67,67,,
1ＴＥＵ辺りトン数（実入）,移出,10.72,14.66,18.12,17.00,12.30,9.49,9.02,13.01,10.59,11.72,11.28,10.82,11.72,Ｈ２２実績
2ＴＥＵ辺りトン数（実入）,移入,10.07,11.48,13.11,13.28,9.95,8.26,9.13,8.90,9.29,10.50,10.14,10.11,10.50,Ｈ２２実績
3ＴＥＵ辺りトン数（実入）,合計,10.43,13.00,14.94,14.73,11.04,8.78,9.08,10.25,9.75,11.03,10.61,10.46,,
