番号,種リ,ふ頭名,水深（m）,バース数,延長（m）,10m岸壁換算バース数,備考
1,既設,芝浦内貿雑貨,7.5,5,650,3.8,
2,既設（工事中含む）・既定計画,品川内貿ユニット,8.5,3,690,4.1,S1：既設S2：既設（工事中）S3：既定計画
3,既定計画,日の出貨客船,7.5,1,155,0.9,
4,既定計画,竹芝ふ頭,7.5,1,155,0.9,
5,既設,大井食品,11.0,2,380,2.2,
6,既定計画,晴海物資補給岸壁,10.0,1,225,1.3,
7,既設,10号地その1西側多目的,7.5,1,180,1.1,
8,既設（工事中）,10号地その2フェリー,8.5,1,270,1.6,
9-1,既定計画,10号地その2内貿ユニット,9.0,4,920,5.4,
9-2,今回計画,10号地その2内貿ユニット,9.0,2,460,2.7,
10,既定計画,10号地その1東側多目的,8.5,1,230,1.4,
11,既定計画,新客船,11.5,1,240,1.4,
12,既設,辰巳内貿雑貨,5.0,2,160,0.9,
13-1,既設,中防内内貿ユニット,9.0,1,230,1.4,
13-2,既設の変更計画,中防内内貿ユニット,9.0,1,230,1.4,幹線貨物輸送対応ターミナルヘ用途変更
14,既定計画の削除,15号地内貿ユニット,9.0,1,220,1.3,15号地内貿ユニット計画削除に伴う配置変更
合計,,,-,26,4945,29.1,
