外内別,種別,実績値H13,実績値H14,実績値H15,実績値H16,実績値H17,実績値H18,実績値H19,実績値H20,実績値H21,実績値H22,実績値(参考)H23,実績値(参考)H24,推計値H30代後半
外貿,公共(千トン),38028,39784,43281,45841,46477,45835,46101,45110,40677,45135,46833,47394,68748
外貿,公共コンテナ(千トン),34746,37111,40189,42972,43281,42987,43421,42782,38228,42819,44695,45302,66234
外貿,公共在来(千トン),3282,2673,3092,2869,3197,2848,2680,2328,2449,2316,2138,2091,2513
外貿,専用(千トン),36,26,48,113,32,23,10,9,7,15,8,6,15
内貿,公共(千トン),29613,28957,30979,31691,32329,32120,29042,24415,20870,22264,26041,24340,29359
内貿,公共ユニット(千トン),5877,6382,7697,8761,9499,9420,10865,9470,8880,8638,9692,9865,12389
内貿,公共在来(千トン),7401,6912,6740,6455,6701,6462,6828,6387,4776,5446,5759,5528,6254
内貿,公共国際フィーダー(千トン),435,468,477,576,448,538,715,1187,983,1123,1100,1168,3659
内貿,公共内航フェリー(千トン),15900,15195,16066,15899,15681,15699,10634,7370,6231,7057,9491,7779,7057
内貿,専用(千トン),14358,13753,14161,13770,13190,12833,12475,11820,10859,10099,10512,11047,10125
合計,合計(千トン),82035,82520,88469,91415,92028,90811,87628,81354,72413,77513,83395,82786,108246
合計,合計外貿(千トン),38064,39810,43329,45954,46509,45858,46112,45119,40684,45150,46841,47399,68763
合計,合計内貿(千トン),43971,42710,45139,45461,45519,44953,41517,36235,31729,32363,36553,35387,39484
