表皿75波向別周期出現頻度表,NNE,NE,ENE,E,ESE,SE,SSE,S,SSW,SW,WSW,W,ＷＮＷ,NW,NNW,N,total
波向なし,,,,,,,,,,,,,,,,,78148
0～1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1～2.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3
2.1～3.0,102,165,479,588,294,231,315,654,170,34,14,18,29,37,36,69,3235
3.1～4.0,12,36,231,270,67,107,507,2986,905,19,10,6,4,9,8,16,5193
4.1～5.0,0,0,2,7,4,3,33,371,177,1,0,0,0,0,0,1,599
5.1～6.0,0,0,1,2,0,0,0,26,2,0,0,0,0,0,0,0,31
6.1～7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.1～8.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
8.1～,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
total,114,201,713,867,366,341,855,4038,1254,54,24,25,33,46,45,86,87210
