地区名,種類,種別,処分必要量（万m3）,既存の処分地の容量（万m3）,新規対応必要量（万m3）,備考
中央防波堤外側地区,廃棄物系/一般廃棄物産業廃棄物上下水スラッジ,管理型,221,221,0,
中央防波堤外側地区,土砂系/しゅんせつ土建設発生土,安定型,0,0,0,
中央防波堤外側地区,合計,安定型,0,0,0,
中央防波堤外側地区,合計,管理型,221,221,0,
中央防波堤外側地区,合計,計,221,221,0,
新海面処分場地区,廃棄物系/一般廃棄物産業廃棄物上下水スラッジ,管理型,3924,1486,2438,廃棄物系（管理型）処分必要量4577（全体量）-653（処分実績）=3924土砂系（安定型）処分必要量2293（全体量）-86（処分実績）=2207土砂系（管理型）処分必要量5167（全体量）-2265（処分実績）=2902
新海面処分場地区,土砂系/しゅんせつ土建設発生土,安定型,2207,817,1390,廃棄物系（管理型）処分必要量4577（全体量）-653（処分実績）=3924土砂系（安定型）処分必要量2293（全体量）-86（処分実績）=2207土砂系（管理型）処分必要量5167（全体量）-2265（処分実績）=2902
新海面処分場地区,土砂系/しゅんせつ土建設発生土,管理型,2902,153,2749,廃棄物系（管理型）処分必要量4577（全体量）-653（処分実績）=3924土砂系（安定型）処分必要量2293（全体量）-86（処分実績）=2207土砂系（管理型）処分必要量5167（全体量）-2265（処分実績）=2902
新海面処分場地区,合計,安定型,2207,817,1390,廃棄物系（管理型）処分必要量4577（全体量）-653（処分実績）=3924土砂系（安定型）処分必要量2293（全体量）-86（処分実績）=2207土砂系（管理型）処分必要量5167（全体量）-2265（処分実績）=2902
新海面処分場地区,合計,管理型,6826,1639,5187,廃棄物系（管理型）処分必要量4577（全体量）-653（処分実績）=3924土砂系（安定型）処分必要量2293（全体量）-86（処分実績）=2207土砂系（管理型）処分必要量5167（全体量）-2265（処分実績）=2902
新海面処分場地区,合計,計,9033,2456,6577,廃棄物系（管理型）処分必要量4577（全体量）-653（処分実績）=3924土砂系（安定型）処分必要量2293（全体量）-86（処分実績）=2207土砂系（管理型）処分必要量5167（全体量）-2265（処分実績）=2902
中央防波堤地区（合計）,廃棄物系/一般廃棄物産業廃棄物上下水スラッジ,管理型,4145,1707,2438,
中央防波堤地区（合計）,土砂系/しゅんせつ土建設発生土,安定型,2207,817,1390,
中央防波堤地区（合計）,土砂系/しゅんせつ土建設発生土,管理型,2902,153,2749,
中央防波堤地区（合計）,合計,安定型,2207,817,1390,
中央防波堤地区（合計）,合計,管理型,7047,1860,5187,
中央防波堤地区（合計）,合計,計,9254,2677,6577,
