名称,級別,総面積（m2）,構造,主要取扱品種
品川ふ頭内貿上屋,1級,14974,鉄筋コンクリート造,紙・パルプ
品川ふ頭内貿自動車上屋,自動車,8677,鉄筋コンクリート造(屋上部),商用車
品川ふ頭,1棟,23651,,
芝浦内貿1号上屋,1級,8601,鉄筋コンクリート造3階建のうち1階,紙・パルプ、食料品
芝浦内貿2号上屋,1級,8317,鉄筋コンクリート造3階建のうち1階,紙・パルプ
芝浦内貿3号上屋,1級,5086,鉄筋コンクリート造3階建のうち1階,紙・パルプ
芝浦ふ頭,3棟,22004,,
竹芝内貿上屋,3級,2150,鉄筋コンクリート造平屋建,日用品
日の出2号上屋,3級,2160,鉄筋造平屋建,化学薬品
日の出3号上屋,3級,2160,鉄筋造平屋建,化学薬品
日の出4号上屋,3級,2124,鉄筋造平屋建,化学薬品
日の出南上屋,2級,1890,鉄筋コンクリート造,塩
日の出ふ頭,4棟,8334,,
10号地ふ頭1号上屋,2級,6522,鉄骨造平屋建一部2階建,日用品・飲料
10号地ふ頭2号上屋,2級,6522,鉄骨造平屋建一部2階建,日用品・飲料
10号地ふ頭3号上屋,2級,6522,鉄骨造平屋建一部2階建,紙・パルプ
10号地ふ頭4号上屋,2級,14250,鉄骨造一部2階建,紙・パルプ
10号地ふ頭5号上屋,2級,6768,鉄骨造,紙・パルプ
10号地ふ頭6号上屋,2級,6818,鉄骨造平屋建一部2階建,紙・パルプ
10号地ふ頭自動車上屋,自動車,16715,軽量鉄骨造平屋建3棟,商品車
10号地ふ頭,9棟,64115,,
大井海貨1号上屋,1級,7627,鉄筋コンクリート造3階建のうち1階,日用品
大井海貨2号上屋,1級,5485,鉄筋コンクリート造3階建のうち1階,日用品
大井海貨3号上屋,1級,5102,鉄筋コンクリート造3階建のうち1階,日用品
大井海貨4号上屋,1級,5139,鉄筋コンクリート造3階建のうち1階,日用品
大井海貨5号上屋,1級,6129,鉄筋コンクリート造5階建のうち1階,日用品
大井海貨,5棟,29481,,
大井冷蔵1号上屋,冷蔵,7044,鉄筋コンクリート造5階建のうち1階,水産物
大井冷蔵2号上屋,冷蔵,7044,鉄筋コンクリート造5階建のうち1階,水産物
大井冷蔵3号上屋,冷蔵,7010,鉄筋コンクリート造5階建のうち1階,水産物
大井冷蔵,3棟,21099,（水産物用荷役施設）,
大井青果1号上屋,食品,3478,鉄筋コンクリート造4階建のうち1階,果物、野菜
大井食品2号上屋,食品,7301,鉄筋コンクリート造5階建のうち1階,
大井食品,2棟,10779,,
青海流通1号上屋,特級,9523,鉄筋コンクリート造4階建のうち1階,事務用機器
青海流通2号上屋,特級,9523,鉄筋コンクリート造4階建のうち1階,事務用機器
青海流通センター,2棟,19047,,
ばら物1号上屋,ばら物,960,鉄骨造,
ばら物2号上屋,ばら物,960,鉄骨造,
ばら物3号上屋,ばら物,498,鉄骨造ポリエステル布張,コークス、金属鉱
ばら物4号上屋,ばら物,498,鉄骨造ポリエステル布張,
ばら物5号上屋,ばら物,498,鉄骨造ポリエステル布張,
中防防波堤内側ばら物,5棟,3414,,
辰巳内貿雑貨上屋,1級,3600,鉄骨造,雑貨
計,36棟,207673,管理者：東京都,
