波高(cm),22年（）内は％,23年（）内は％,24年（）内は％,累年（）内は％
25cm未満,1537(72.3),5104(59.4),5563(63.9),12204(62.8)
25～50,526(24.7),3012(35.0),2716(31.2),6254(32.2)
50～75,60(2.8),420(4.9),363(4.2),843(4.3)
75～100,4(0.2),51(0.6),37(0.4),92(0.5)
100～125,,5(0.1),10(0.1),15(0.1)
125～150,,2(0.0),5(0.1),7(0.0)
150～175,,1(0.0),5(0.1),6(0.0)
175～200,,2(0.0),2(0.0),4(0.0)
200～225,,1(0.0),,1(0.0)
225～250,,,,0(0.0)
250～275,,,,0(0.0)
275～300,,,,0(0.0)
300cm以上,,,,0(0.0)
合計,2127,8598,8701,19426
規定数,2208,8760,8784,19752
測得率,96.3,98.2,99.1,98.3
