時点,世帯数,人員,保護率=(保護人員／推計人口)×1000
1955/12/31,380,1137,18.7
1956/12/31,341,1023,16.5
1957/12/31,373,971,15.2
1958/12/31,397,977,15
1959/12/31,519,1060,15.7
1960/12/31,535,1195,14.2
1961/12/31,604,1224,14.3
1962/12/31,662,1398,13.8
1963/12/31,631,1329,12.6
1964/12/31,637,1378,11.1
1965/12/31,681,1401,11.1
1966/12/31,683,1408,10.4
1967/12/31,788,1601,10.7
1968/12/31,886,1869,12.3
1969/12/31,915,1819,11.5
1970/12/31,950,1774,10.8
1971/12/31,965,1783,10.5
1972/12/31,986,1797,10.3
1974/3/31,938,1764,9.9
1975/3/31,993,1867,10.3
1976/3/31,1081,2010,11
1977/3/31,1089,2012,11
1978/3/31,1130,2083,11
1979/3/31,1215,2261,12
1980/3/31,1228,2308,12.2
1981/3/31,1261,2397,12.5
1982/3/31,1301,2486,12.9
1983/3/31,1351,2567,13.2
1984/3/31,1411,2672,13.5
1985/3/31,1487,2833,14.1
1986/3/31,1498,2782,13.8
1987/3/31,1482,2577,12.5
1988/3/31,1421,2477,12
1989/3/31,1401,2422,11.8
1990/3/31,1374,2351,11.4
1991/3/31,1308,2082,9.9
1992/3/31,1216,1889,8.9
1993/3/31,1179,1804,8.4
1994/3/31,1173,1818,8.5
1995/3/31,1226,1909,8.8
1996/3/31,1278,2018,9.3
1997/3/31,1315,2083,9.5
1998/3/31,1379,2203,9.9
1999/3/31,1456,2295,10.3
2000/3/31,1533,2168,9.7
2001/3/31,1681,2386,10.5
2002/3/31,1830,2630,11.3
2003/3/31,1948,2851,12.2
2004/3/31,2116,3096,13.1
2005/3/31,2283,3370,14
2006/3/31,2342,3413,13.9
2007/3/31,2389,3473,14.1
2008/3/31,2503,3583,14.4
2009/3/31,2586,3698,14.8
2010/3/31,2887,4082,16.1
2011/3/31,3211,4481,17.6
2012/3/31,3383,4721,18.5
2013/3/31,3547,4905,19.2
2014/3/31,3716,5165,20.1
2015/3/31,3885,5359,20.7
2016/3/31,4020,5452,21
2017/3/31,4032,5424,20.8
2018/3/31,4011,5287,20.2
2019/3/31,4041,5275,20.1
2020/3/31,4054,5245,19.9
2021/3/31,4098,5236,19.9
2022/3/31,4081,5152,19.6
2023/3/31,4047,5018,19.2
2024/3/31,4003,4936,18.8
