年度,総数,老齢福祉年金,老齢特別給付金(再掲),老齢特別給付金,障害基礎年金,母子福祉年金
1960/3/31,986,882,…,…,46,58
1961/3/31,1100,955,…,…,58,87
1962/3/31,1229,1056,…,…,60,113
1963/3/31,1311,1124,…,…,64,123
1964/3/31,1479,1286,…,…,67,126
1965/3/31,1546,1394,…,…,79,73
1966/3/31,1628,1478,…,…,90,60
1967/3/31,1685,1531,…,…,106,48
1968/3/31,1754,1592,…,…,120,42
1969/3/31,2023,1853,…,…,144,26
1970/3/31,2147,1986,…,0,143,18
1971/3/31,2344,2182,…,0,149,13
1972/3/31,2466,2302,…,0,155,9
1973/3/31,3008,2836,…,0,166,6
1974/3/31,3947,3214,…,560,168,5
1975/3/31,3938,3440,…,283,213,2
1976/3/31,3819,3584,…,0,234,1
1977/3/31,3752,3469,…,1,282,0
1978/3/31,3725,3395,…,1,328,1
1979/3/31,3665,3311,1,…,352,2
1980/3/31,3609,3209,1,…,399,1
1981/3/31,3539,3098,1,…,441,0
1982/3/31,3437,2933,1,…,504,0
1983/3/31,3223,2679,1,…,544,0
1984/3/31,3071,2502,1,…,569,0
1985/3/31,2889,2290,0,…,599,0
1986/3/31,2768,2129,0,…,639,0
1987/3/31,2595,1928,0,…,667,0
1988/3/31,2420,1718,0,…,702,…
1989/3/31,2289,1579,…,…,710,…
1990/3/31,2173,1462,…,…,711,…
1991/3/31,2087,1358,…,…,729,…
1992/3/31,1896,1114,…,…,782,…
1993/3/31,1757,945,…,…,812,…
1994/3/31,1695,838,…,…,857,…
1995/3/31,689,689,…,…,…,…
1996/3/31,603,603,…,…,…,…
1997/3/31,526,526,…,…,…,…
1998/3/31,453,453,…,…,…,…
1999/3/31,367,367,…,…,…,…
2000/3/31,311,311,…,…,…,…
2001/3/31,257,257,…,…,…,…
2002/3/31,198,198,…,…,…,…
2003/3/31,164,164,…,…,…,…
2004/3/31,132,132,…,…,…,…
2005/3/31,109,109,…,…,…,…
2006/3/31,88,88,…,…,…,…
2007/3/31,64,64,…,…,…,…
2008/3/31,44,44,…,…,…,…
2009/3/31,30,30,…,…,…,…
2010/3/31,19,19,…,…,…,…
2011/3/31,11,11,…,…,…,…
2012/3/31,9,9,…,…,…,…
2013/3/31,4,4,…,…,…,…
2014/3/31,2,2,…,…,…,…
2015/3/31,1,1,…,…,…,…
2016/3/31,1,1,…,…,…,…
2017/3/31,1,1,…,…,…,…
2018/3/31,0,0,…,…,…,…
2019/3/31,0,0,…,…,…,…
2020/3/31,0,0,…,…,…,…
2021/3/31,0,0,…,…,…,…
2022/3/31,0,0,…,…,…,…
2023/3/31,0,0,…,…,…,…
2024/3/31,0,0,…,…,…,…
