年度,登録数,狂犬病予防注射済票交付数_1回目,狂犬病予防注射済票交付数_2回目,死亡届出数
1973,5062,4059,3632,415
1974,4571,3992,3630,457
1975,4256,3710,3398,354
1976,4415,3737,3606,240
1977,4308,3497,3425,279
1978,4343,3688,3336,285
1979,4283,3602,3364,289
1980,4045,3429,3247,350
1981,4251,3471,3256,227
1982,4444,3610,3411,187
1983,4602,3800,3605,101
1984,4815,4034,3805,77
1985,4745,4554,0,99
1986,4815,4655,0,133
1987,5071,4849,0,182
1988,5187,5000,0,227
1989,5312,5193,…,146
1990,5407,5243,…,215
1991,5423,5229,…,193
1992,5420,5221,…,358
1993,5340,5151,…,283
1994,5339,5162,…,259
1995,5419,5111,…,108
1996,5960,5031,…,173
1997,6369,5106,…,289
1998,6547,5014,…,378
1999,6718,4971,…,370
2000,6780,4470,…,236
2001,7198,4985,…,432
2002,7546,5177,…,497
2003,7611,5137,…,446
2004,7282,5539,…,1061
2005,7388,5754,…,765
2006,7758,5873,…,432
2007,7931,6658,…,670
2008,8349,6815,…,423
2009,8643,7143,…,471
2010,8969,7203,…,470
2011,9339,7278,…,409
2012,9474,7492,…,554
2013,9661,7602,…,486
2014,9759,7363,…,575
2015,9945,7428,…,524
2016,9537,6716,…,562
2017,9711,7282,…,454
2018,9443,7281,…,656
2019,9265,7194,…,710
2020,9374,7124,…,645
2021,9497,7365,…,646
2022,9954,7327,…,731
2023,9869,7291,…,728
