年度,指導日数,受診者数,乳幼児の予防歯科_実施回数,乳幼児の予防歯科_受診者,幼児歯科健診_実施回数,幼児歯科健診_受診者,親と子の歯みがき教室_実施回数,親と子の歯みがき教室_受診者,予防歯科教室_実施回数,予防歯科教室_受診者
1979,99,1570,…,…,…,…,…,220,…,…
1980,100,1601,…,…,…,…,…,196,…,…
1981,100,1361,…,…,…,…,…,185,…,…
1982,100,1229,…,…,…,…,…,172,…,…
1983,97,1788,…,…,…,…,…,244,…,…
1984,97,2797,…,…,…,…,…,67,…,…
1985,97,3396,…,…,…,…,…,81,…,…
1986,82,3275,…,…,…,…,…,73,…,…
1987,97,3847,…,…,…,…,…,76,…,…
1988,136,4243,…,…,…,…,…,75,…,…
1989,137,4353,…,…,…,…,…,97,…,…
1990,133,4295,…,…,…,…,…,114,…,…
1991,134,4198,…,…,…,…,…,125,…,…
1992,133,4210,…,…,…,…,…,127,…,…
1993,131,4091,…,…,…,…,…,183,…,…
1994,127,3956,…,…,…,…,…,163,…,…
1995,127,4006,…,…,…,…,…,183,…,…
1996,110,3177,…,…,…,…,…,177,…,…
1997,…,…,72,2741,24,717,24,290,…,…
1998,…,…,68,2466,24,1386,24,281,…,…
1999,…,…,58,2173,24,1705,16,268,…,…
2000,…,…,49,1965,30,1754,16,275,…,…
2001,…,…,49,1971,60,1883,12,273,…,…
2002,…,…,49,1805,60,1821,15,420,…,…
2003,…,…,46,1125,60,2004,12,253,…,…
2004,…,…,0,0,60,2422,12,250,48,660
2005,…,…,0,0,60,2270,12,256,48,795
2006,…,…,0,0,72,2195,12,257,48,724
2007,…,…,0,0,72,2115,12,276,48,653
2008,…,…,…,…,72,2447,12,264,48,690
2009,…,…,…,…,72,2401,12,253,48,601
2010,…,…,…,…,72,2462,12,278,48,758
2011,…,…,…,…,72,2662,12,256,48,707
2012,…,…,…,…,72,2710,12,285,42,656
2013,…,…,…,…,72,2618,12,278,42,638
2014,…,…,…,…,94,3565,11,249,…,…
2015,…,…,…,…,96,3852,12,294,…,…
2016,…,…,…,…,96,3909,12,278,…,…
2017,…,…,…,…,95,3719,11,244,…,…
2018,…,…,…,…,96,3524,12,221,…,…
2019,…,…,…,…,90,2944,11,185,…,…
2020,…,…,…,…,21,518,4,44,…,…
2021,…,…,…,…,96,2178,12,111,…,…
2022,…,…,…,…,96,2333,12,115,…,…
2023,…,…,…,…,98,2304,12,119,…,…
