年度,総数(稼働単位),講堂(稼働単位),研修室(稼働単位),小ホール(稼働単位),音楽室(稼働単位),工房(稼働単位),その他(稼働単位)
1993,6766,257,1848,524,1932,574,1631
1994,9696,266,2851,696,2455,1046,2382
1995,9564,238,2679,698,2448,1187,2314
1996,9700,247,2780,742,2483,1216,2232
1997,9706,252,2695,805,2610,1085,2259
1998,10024,225,2678,804,2613,1185,2519
1999,10081,210,2595,862,2693,1161,2560
2000,10531,173,2911,875,2720,1126,2726
2001,11060,143,3091,853,2674,1177,3122
2002,11218,130,3313,883,2674,1133,3085
2003,11488,152,3375,907,2627,1117,3310
2004,11545,127,3285,907,2678,1174,3374
2005,11891,155,3236,903,2684,1210,3703
2006,11616,155,3204,914,2584,1214,3545
2007,11753,184,3084,938,2597,1276,3674
2008,11449,118,3147,937,2515,1177,3555
2009,11062,129,2994,930,2496,1103,3410
2010,10641,146,2864,877,2519,1038,3197
2011,11018,144,2925,923,2644,1008,3374
2012,10877,119,2950,931,2609,948,3320
2013,11332,161,3259,948,2621,914,3429
2014,12305,210,3416,979,2734,1288,3678
2015,10956,135,3412,937,1991,850,3631
2016,11034,213,3227,701,2731,840,3322
2017,11245,199,3243,891,2740,825,3347
2018,10510,181,3084,823,2568,756,3098
2019,9335,146,2953,516,2365,627,2728
2020,4102,60,1646,287,863,234,1012
2021,6436,143,2487,532,1371,395,1508
2022,8485,220,2984,669,1955,619,2038
2023,8621,262,2834,729,1858,673,2265
