時点,被保険者数,第1号被保険者,第2号被保険者(認定者)
2002/3/31,33999,33786,213
2003/3/31,35424,35206,218
2004/3/31,36586,36337,249
2005/3/31,37956,37728,228
2006/3/31,39594,39359,235
2007/3/31,41106,40883,223
2008/3/31,42604,42361,243
2009/3/31,44332,44084,248
2010/3/31,45597,45339,258
2011/3/31,46327,46064,263
2012/3/31,47624,47353,271
2013/3/31,49589,49329,260
2014/3/31,51416,51147,269
2015/3/31,53197,52938,259
2016/3/31,54542,54264,278
2017/3/31,55598,55317,281
2018/3/31,56402,56125,277
2019/3/31,57030,56765,265
2020/3/31,57698,57445,253
2021/3/31,58188,57922,266
2022/3/31,58474,58204,270
2023/3/31,58784,58516,268
2024/3/31,59232,58958,274
