年度,件数,費用額(円),保険者負担額(円),一部負担金(円),他法負担額_合算額(円),他法負担額_他法優先額(円),他法負担額_国保優先額(円)
1974,273518,1673434335,1164756971,428589236,79142787,10633087,68509700
1975,284615,2076992913,1449701125,533677260,93614528,8512957,85101571
1976,296954,2465849016,1719588708,555030720,191229588,12112648,179116940
1977,305220,2945304301,2053823745,652154920,239325636,13991459,225334177
1978,317118,3537209588,2464931074,773292154,298986360,18732095,280254265
1979,333660,4144420997,2889145173,896627609,358648215,20264464,338383751
1980,347841,4650260737,3242860689,987941972,420458076,24196250,396261826
1981,367265,5198613326,3629867536,1099960843,468784947,17062464,451722483
1982,370848,5497352720,3832710117,1158244065,506398538,27107529,479291009
1983,299136,3915971996,2730365149,1025304704,160302143,20153976,140148167
1984,312906,4174547091,2936601423,1056985808,180959860,22312874,158646986
1985,319647,4605884793,3282915105,1146377525,176592163,17825249,158766914
1986,335399,5055435166,3608212430,1257382088,189840648,21978669,167861979
1987,342690,5301548276,3786083718,1329724061,185740497,22308134,163432363
1988,350890,5464702411,3901782128,1362340768,200579515,29023009,171556506
1989,358405,5789664600,4143321853,1432385154,213957593,23351142,190606451
1990,361425,6086035218,4352085293,1494117973,239831952,26584825,213247127
1991,381302,6506067550,4657229661,1568075024,280762865,32691872,248070993
1992,385869,7008504300,5013858067,1608918048,385728185,41457609,344270576
1993,399079,7256658088,5192712957,1649122208,414822923,36167566,378655357
1994,424224,7991419703,5715988473,1796914345,478516885,45458066,433058819
1995,447004,8370134467,6015281731,1856569841,498282895,14287760,483995135
1996,481689,8967129679,6429790585,1985672162,551666932,-23890,551690822
1997,508017,9325279915,6626047883,2112974946,586257086,0,586257086
1998,558859,9618078063,6791884394,2221168579,605025090,0,605025090
1999,588200,10049689235,7084042284,2316426562,649220389,0,649220389
2000,616214,10541738779,7427913252,2469593244,644232283,0,644232283
2001,656734,10894992918,7665481857,2618305123,611205938,0,611205938
2002,620994,10170472006,7181673885,2449634803,539163318,0,539163318
2003,733331,12198793853,8677772808,3009351617,511669428,0,511669428
2004,794105,13198621309,9527535617,3185306570,485779122,0,485779122
2005,873777,14628078955,10725033508,3442643459,460401988,0,460401988
2006,919188,14982512106,11117908884,3522524442,342078780,0,342078780
2007,959478,16026616078,11927062777,3827663785,271889516,0,271889516
2008,972216,16506730486,11997339457,4014877247,494513782,0,494513782
2009,977017,16596022856,12063841567,4007501610,532993805,0,532993805
2010,998537,17134091250,12436446768,4118250829,579393653,0,579393653
2011,1032267,17818533749,12930798650,4129690027,758045072,0,758045072
2012,1040346,18464188411,13405541671,4182059614,876587126,0,876587126
2013,1043434,18918235130,13746052873,4261756490,910425767,0,910425767
2014,1041138,18658337977,13579436370,4174768059,904133548,0,904133548
2015,1016357,18857810894,13745643191,4263835701,870341729,0,870341729
2016,980559,18352822088,13350991725,4215913689,815541840,0,815541840
2017,944378,18098383745,13207347791,4171927014,754878478,0,754878478
2018,921456,17885897152,13049465983,4200766180,677924379,0,677924379
2019,901564,17917102678,13057741167,4273780476,618849919,0,618849919
2022,842183,18015806355,13161160144,4221315785,645120828,0,645120828
2023,835446,17746529282,12991545476,4166070641,626957761,0,626957761
