時点,世帯数,被保険者数,加入率(％)_世帯,加入率(％)_被保険者
1955/3/31,3351,16594,29,31
1956/3/31,3355,16637,26.7,29.1
1957/3/31,3745,17774,28.2,29.4
1958/3/31,3725,17581,26.1,27.4
1959/3/31,3691,17243,24.1,25.6
1960/3/31,3732,17163,22.4,23.9
1961/3/31,4728,18790,24.3,23.5
1962/3/31,5318,20386,24.2,23.2
1963/3/31,5751,21437,22.9,22.3
1964/3/31,6254,22527,22.1,21.4
1965/3/31,7044,24654,19.5,20.7
1966/3/31,7828,26554,19.7,20.9
1967/3/31,8897,29024,20.4,21.1
1968/3/31,10103,32148,22.3,22.5
1969/3/31,11061,34826,22.3,23.3
1970/3/31,11768,36620,22.9,23.8
1971/3/31,12813,39904,23.2,24.8
1972/3/31,13778,42464,24.1,24.2
1973/3/31,14597,44494,24.9,26.2
1974/3/31,15645,46420,25.79,26.88
1975/3/31,16227,47800,26.35,27.13
1976/3/31,17015,48683,27,27.18
1977/3/31,17603,49135,27.77,27.26
1978/3/31,18701,50638,29.32,28.04
1979/3/31,19280,51166,29.67,27.95
1980/3/31,19972,51744,30.12,27.94
1981/3/31,20452,51849,30.43,27.85
1982/3/31,21028,52174,30.73,27.78
1983/3/31,21323,52123,30.63,27.5
1984/3/31,21939,52756,30.83,27.4
1985/3/31,22614,53332,31.2,27.2
1986/3/31,23332,53872,31.3,27.3
1987/3/31,23990,54343,31.3,27.1
1988/3/31,24644,54502,31.7,26.9
1989/3/31,24979,54068,31.6,26.6
1990/3/31,25369,53985,31.5,26.3
1991/3/31,25997,54046,31.6,26.2
1992/3/31,26689,54258,31.8,26
1993/3/31,27559,54755,32.1,26
1994/3/31,28782,56147,33,26.5
1995/3/31,30184,57994,34.2,27.3
1996/3/31,31556,59778,35.3,27.9
1997/3/31,32982,61928,36.3,29
1998/3/31,34721,64425,37.5,30
1999/3/31,36435,67337,38.6,31
2000/3/31,38111,70271,39.8,32.1
2001/3/31,39582,72529,40.7,32.8
2002/3/31,41642,75723,42,32.7
2003/3/31,43533,78914,42.8,34.7
2004/3/31,44646,80739,43.1,35.1
2005/3/31,45597,81779,43.1,34.9
2006/3/31,46737,82885,42.8,34.3
2007/3/31,47016,82453,43,34
2008/3/31,47032,81599,42.4,33.9
2009/3/31,38705,64995,34.5,26.8
2010/3/31,39123,65517,33.3,26.2
2011/3/31,39279,65790,33.3,26.2
2012/3/31,39245,65480,33.2,26.1
2013/3/31,39249,64975,33.4,25.8
2014/3/31,39105,64236,32.9,25.3
2015/3/31,38770,62502,32.2,24.5
2016/3/31,38262,60415,31.4,23.5
2017/3/31,36778,57112,30,22.1
2018/3/31,35994,54778,29.1,21.2
2019/3/31,35222,52838,28.2,20.4
2020/3/31,34878,51470,27.5,19.8
2023/3/31,33236,47681,25.8,18.4
2024/3/31,32639,46409,25.1,17.9
