年度,総数_人員,総数_金額(×1000円),生活扶助費_人員,生活扶助費_金額(×1000円),住宅扶助費_人員,住宅扶助費_金額(×1000円),教育扶助費_人員,教育扶助費_金額(×1000円),介護扶助費_人員,介護扶助費_金額(×1000円),医療扶助費_人員,医療扶助費_金額(×1000円),生業扶助費_人員,生業扶助費_金額(×1000円),出産扶助費_人員,出産扶助費_金額(×1000円),葬祭扶助費_人員,葬祭扶助費_金額(×1000円),施設事務費_人員,施設事務費_金額(×1000円),その他_人員,その他_金額(×1000円)
1958,23863,45694,10100,12924,6963,1290,3267,869,…,…,3037,29608,19,52,4,10,33,94,440,847,0,0
1959,24286,47962,10234,13629,7261,1550,3193,935,…,…,3105,30900,10,11,4,5,25,65,454,869,0,0
1960,30020,62405,12305,18799,6757,1514,3682,1149,…,…,3943,36508,11,49,4,14,23,86,3295,4286,0,0
1961,32933,82714,14688,29387,6832,2869,4185,2188,…,…,3915,42087,8,118,0,0,29,113,3276,5952,0,0
1962,35773,99230,16214,39972,7567,3874,4289,2734,…,…,4500,47264,39,406,5,23,43,191,3116,4766,0,0
1963,35359,105025,15321,45911,8010,5338,3980,2871,…,…,5137,45951,45,491,9,41,24,114,2833,4308,0,0
1964,40663,119037,15936,51655,9937,7031,6924,3145,…,…,5453,52333,55,427,4,26,35,192,2319,4227,0,0
1965,31751,140700,15805,53711,3107,9796,6838,3539,…,…,5531,70791,69,492,0,0,39,215,181,1173,181,982
1966,38368,159253,15814,63636,9440,12423,6690,3466,…,…,6132,77398,43,447,3,28,36,281,210,1575,0,0
1967,41603,193673,17042,78290,10652,15898,6810,3963,…,…,6783,92608,27,327,1,14,27,224,261,2348,0,0
1968,48806,256918,18868,109873,13698,21968,7267,4445,…,…,8646,117429,18,260,5,62,38,343,266,2539,0,0
1969,53223,293265,20482,123021,14048,25238,7399,4995,…,…,10079,132910,72,816,9,65,47,515,356,4021,731,1680
1970,49336,354639,20861,131560,12333,25937,3791,5923,…,…,11324,184473,48,485,2,21,37,448,309,4206,940,1544
1971,44190,431851,21537,154997,4834,29596,4316,7080,…,…,12230,232711,44,361,3,45,39,523,299,5045,888,1494
1972,45087,518951,21682,180566,5127,35346,4192,9367,…,…,12798,285668,32,302,0,0,31,591,347,7568,879,1542
1973,49016,615030,24488,224135,5191,41083,3760,7916,…,…,13005,326890,38,336,0,0,34,673,390,10154,2110,3843
1974,48090,809564,23855,280331,5633,51100,3840,9333,…,…,13604,435540,46,296,0,0,30,799,354,13324,728,18841
1975,54330,1110900,24678,368699,6354,65584,4399,12495,…,…,15425,631585,56,308,0,0,39,1529,340,14945,3039,15754
1976,57757,1349787,25358,401269,6945,85146,4530,14507,…,…,17223,810354,45,635,1,1,32,1635,364,18948,3259,17292
1977,0,1618932,25508,471253,7336,108463,4841,16399,…,…,19508,975970,29,369,1,110,44,3045,323,20415,3525,22908
1978,0,1799661,25890,564906,7957,137650,5236,20633,…,…,19898,1023947,49,868,0,0,32,2501,330,23187,5566,25969
1979,…,1998309,26987,650100,8541,167107,5869,24685,…,…,20234,1103656,31,444,0,0,40,3323,332,24548,6412,24446
1980,…,2258879,27358,713800,9174,195551,6450,26973,…,…,21660,1267130,59,1089,2,231,45,3807,331,26379,6324,23919
1981,…,2446948,28580,825921,10047,231119,7548,29269,…,…,22093,1303953,60,756,1,110,36,3228,314,25719,6454,26871
1982,…,2518917,29151,927759,10694,259930,7698,31003,…,…,21952,1239565,74,1368,1,130,43,3813,334,28252,6647,27097
1983,…,2758888,28676,985594,10848,290401,7511,30394,…,…,24213,1388875,91,1622,0,0,36,3540,334,29050,6736,29412
1984,…,2913830,28784,1050808,11751,328417,7255,31681,…,…,25556,1434836,60,846,0,0,40,3681,335,30413,6879,33148
1985,…,3036846,33442,1087462,12800,359416,7292,31570,…,…,27798,1487826,89,1366,0,0,40,4171,313,29026,7021,36010
1986,…,3127607,31864,1053871,12750,370861,5152,29642,…,…,27545,1596504,117,1481,1,156,44,4801,323,31346,6588,38944
1987,…,3057790,30567,1011586,12601,380538,4869,27430,…,…,27448,1563800,155,2071,0,0,38,4175,333,33185,6377,35005
1988,…,3043113,28897,1021961,12235,391303,4471,25829,…,…,26752,1530860,178,2339,0,0,36,3612,298,31635,6041,35574
1989,…,3006980,27410,1018487,12228,399216,3888,23521,…,…,25898,1492469,195,3426,0,0,42,5053,296,32381,4074,32424
1990,…,2982647,26189,982002,11689,400086,3382,20267,…,…,25908,1504092,200,2116,0,0,43,5538,322,37702,3882,30844
1991,…,3001257,24223,981098,11229,391545,2867,17924,…,…,25847,1537508,54,966,0,0,40,5150,315,37368,3656,29698
1992,…,3013983,22518,967972,10681,400778,2308,15104,…,…,25315,1543049,55,853,0,0,38,4630,325,42183,3754,39414
1993,…,2965657,22331,960164,10403,411230,2195,14259,…,…,24934,1492895,48,688,0,0,45,5852,313,41718,3536,38851
1994,…,3070449,22227,1010408,10767,449432,2009,13286,…,…,26584,1509884,80,942,0,0,46,6195,332,45382,3441,34920
1995,…,3285348,23473,1089042,11733,490522,1813,12975,…,…,28093,1614539,41,1271,0,0,40,5768,315,44431,3331,26800
1996,…,3483672,24619,1147439,12031,529030,1977,13014,0,0,32390,1718871,55,487,0,0,42,6502,302,44144,3396,24185
1997,…,3520258,25656,1225613,12479,570212,1757,14111,0,0,33797,1641609,24,171,0,0,28,4716,250,38832,3478,24994
1998,…,3806000,27266,1315188,13267,593018,1744,15819,0,0,37564,1810496,7,57,1,113,62,10738,244,38226,3684,22345
1999,…,4073367,25649,1344758,14337,635186,2410,16028,0,0,44413,2010169,3,88,1,68,51,8817,234,36422,3683,21831
2000,…,4292594,27472,1472712,15895,720586,2326,15404,1242,30782,47441,1982557,2,92,1,136,50,9091,231,38894,3836,22340
2001,…,4806979,30237,1631510,17426,801444,2889,18777,1513,31742,54002,2246528,4,116,1,5,59,10600,247,42641,4204,23616
2002,…,5241597,32666,1754409,18793,868002,3254,21214,2001,55818,66316,2462543,10,408,1,197,64,11921,247,40753,4576,26332
2003,…,5440746,35660,1924691,20529,959971,3612,23558,2574,66435,68119,2389352,12,963,2,389,44,8137,246,39441,4988,27809
2004,…,6015634,45649,2033143,22675,1040308,7105,25389,5869,68707,82415,2765878,27,1187,1,5,77,13193,171,37686,5354,30138
2005,…,6205780,46731,2074094,24223,1102983,7535,28527,6738,86399,87850,2839137,2438,12619,1,104,86,14460,216,35462,1230,11995
2006,…,6205385,47893,2075616,25016,1136697,7680,28691,7542,92180,83000,2791141,2972,12654,1,240,87,16987,217,36616,1420,14563
