年度,件数,高額療養費(円),1件当たり高額療養費(円)
1974,1517,37318674,24600.31246
1975,2481,74899245,30189.13543
1976,3468,108177249,31192.97837
1977,3190,118585089,37174.00909
1978,4341,182532201,42048.42225
1979,5126,238819772,46589.88919
1980,5937,298708407,50313.02122
1981,6557,335076159,51102.05262
1982,7421,405214596,54603.77254
1983,3856,215368775,55852.89808
1984,3715,211183974,56846.29179
1985,4248,295009606,69446.70574
1986,5184,343152844,66194.60725
1987,5405,379670506,70244.31193
1988,5560,367408997,66080.75486
1989,5790,397773820,68700.14162
1990,6008,442552568,73660.54727
1991,6192,457638741,73908.06541
1992,6618,515782676,77936.33666
1993,6792,538467450,79279.65989
1994,7073,609447515,86165.34922
1995,6859,566604844,82607.50022
1996,7201,625868438,86914.10054
1997,7478,662478380,88590.31559
1998,7523,675258956,89759.26572
1999,7624,708048750,92871.03227
2000,7625,754587526,98962.29849
2001,7820,756909260,96791.46547
2002,8089,749959848,92713.54284
2003,9166,847651592,92477.80842
2004,10763,905697658,84149.18313
2005,12173,927470435,76190.78576
2006,13596,980894216,72145.79406
2007,15362,1041102026,67771.25544
2008,19570,1225542644,62623.53827
2009,19816,1238824957,62516.39872
2010,20293,1326392373,65362.06441
2011,21892,1424078078,65050.15887
2012,23657,1576815309,66653.22353
2013,23983,1633818257,68124.01522
2014,25237,1602018891,63478.97496
2015,28566,1700617924,59532.9386
2016,31854,1747344424,54854.78822
2017,31885,1712081401,53695.51203
2018,31698,1779965375,56153.87012
2019,32060,1836692334,57289.21815
2022,33398,1873456623,56094.87463
2023,33205,1905446722,57384.33134
