年度,市長への手紙(通),陳情・要望(通),広聴会参加者(市政を語る会・市長を囲む会)(人),施設・庁内見学会参加者(人),納涼市政相談
1963,0,…,0,280,0
1964,0,…,0,…,98
1965,92,…,593,282,224
1966,385,50,…,454,102
1967,341,76,586,668,78
1968,890,63,…,418,27
1969,1189,62,176,656,155
1970,1369,63,…,629,181
1971,599,82,467,1183,150
1972,1117,141,508,1178,181
1973,717,208,325,968,174
1974,756,388,277,1109,248
1975,610,232,291,760,151
1976,353,183,233,644,86
1977,366,201,252,582,121
1978,193,114,156,351,89
1979,198,105,192,309,46
1980,323,144,625,425,30
1981,262,89,799,502,26
1982,132,122,592,537,55
1983,106,98,608,295,39
1984,79,98,581,379,…
1985,62,104,699,331,…
1986,195,130,604,213,…
1987,181,225,562,159,…
1988,112,154,540,255,…
1989,114,197,559,805,…
1990,65,143,536,872,…
1991,188,203,492,854,…
1992,191,208,498,955,…
1993,158,169,505,471,…
1994,273,171,460,545,…
1995,312,195,449,650,…
1996,301,76,488,436,…
1997,352,95,600,592,…
1998,254,82,531,445,…
1999,258,92,0,522,…
2000,625,78,497,411,…
2001,502,53,543,304,…
2002,525,89,519,194,…
2003,589,76,105,176,…
2004,552,60,391,173,…
2005,486,62,532,83,…
2006,544,75,528,255,…
2007,475,50,97,93,…
2008,365,57,501,138,…
2009,427,62,534,163,…
2010,474,69,535,552,…
2011,396,51,96,229,…
2012,449,57,675,268,…
2013,313,47,662,205,…
2014,282,49,623,204,…
2015,305,51,360,140,…
2016,277,47,348,398,…
2017,274,44,303,360,…
2018,224,50,241,189,…
2019,221,42,221,319,…
2020,238,84,112,0,…
2021,217,64,148,0,…
2022,467,70,193,70,…
2023,325,61,161,202,…
