年度,利用日数,総数(人),大人(人),子ども(人),幼児(人),1日当たりの平均利用者数
1985,93,1709,1229,427,53,18.37634409
1986,343,8622,6861,1498,263,25.13702624
1987,344,9945,7823,1803,319,28.90988372
1988,343,10239,8025,1865,349,29.85131195
1989,343,10912,8442,2068,402,31.81341108
1990,343,11503,8889,2225,389,33.53644315
1991,344,11409,8900,2143,366,33.16569767
1992,343,12064,9567,2079,418,35.17201166
1993,330,10820,8659,1816,345,32.78787879
1994,335,10815,8470,1948,397,32.28358209
1995,344,10402,8245,1834,323,30.23837209
1996,331,9632,7554,1773,305,29.09969789
1997,343,9337,7292,1737,308,27.22157434
1998,343,8955,7129,1567,259,26.10787172
1999,344,8413,6689,1482,242,24.45639535
2000,343,7347,5836,1298,213,21.41982507
2001,343,7094,5646,1272,176,20.68221574
2002,337,7114,5458,1419,237,21.10979228
2003,344,6661,5271,1193,197,19.36337209
2004,343,6481,5099,1197,185,18.89504373
2005,341,6873,5509,1171,193,20.15542522
2006,343,6214,4962,1053,199,18.11661808
2007,308,5697,4467,1073,157,18.49675325
2008,344,5722,4337,1197,188,16.63372093
2009,343,5901,4616,1116,169,17.20408163
2010,343,5341,4190,994,157,15.57142857
2011,344,5927,4496,1266,165,17.22965116
2012,343,5902,4478,1258,166,17.20699708
2013,343,5744,4377,1186,181,16.74635569
2014,199,3037,2278,674,85,15.26130653
2015,344,5826,4558,1131,137,16.93604651
2016,343,5757,4550,1083,124,16.78425656
2017,343,5829,4558,1133,138,16.9941691
2018,343,5517,4290,1108,119,16.0845481
2019,344,5451,4271,1054,126,15.84593023
2020,196,2102,1682,378,42,10.7244898
2021,123,1428,1130,269,29,11.60976
2022,343,4604,3803,746,55,13.42274
2023,250,4451,3635,760,56,17.804
